name	username	rating	price	age	comment
Kevin Johnson	kevin_johnson_2626	15.0	40.1	46.2	'''Note: Senior interesting huge avoid	 then Perform'''
Kayla Oneill	kayla_oneill_2712	7.0	24.1	86.2	'''Wonder law none down couple guess; Bill leader 	 Music share claim white economic minute'''
Timothy English	timothy_english_1763	31.0	50.1	34.2	'''Majority peace happy	 Form In religious'''
Monica Wallace	monica_wallace_6766	37.0	82.1		'''Find strategy full model: Little event	 Truth either leg any'''
Renee Rowe	renee_rowe_9826	84.0	1.1	74.2	'''Yes service exactly theory story mention; Between Mr left use 	 By study music ability'''
David Richards	david_richards_4095	1.0	63.1	42.2	'''Table big traditional public; Speak control among 	 Property her'''
Alexis Willis	alexis_willis_7420	33.0	93.1	52.2	'''Set report; Hotel ten operation can place page 	 Land'''
Todd Rosario	todd_rosario_1761	84.0	10.1	66.2	'''National top hear	 Avoid woman work election Democrat Attack discussion pretty'''
Natalie Diaz	natalie_diaz_2867	58.0	53.1	95.2	'''Particularly bank: Western look	 Present five brother instead paper'''
Nancy Stokes	nancy_stokes_2790	70.0	18.1	49.2	'''Energy; Standard 	 Mother want'''
Brian Doyle	brian_doyle_8854	65.0	42.1	98.2	'''(Walk off cold whatever major) 	 Difficult very and Officer about clearly blood truth'''
Jamie Lopez	jamie_lopez_4912	79.0	5.1	68.2	'''Product newspaper big price: Involve paper stand end their	 Throughout standard bit'''
Joseph Howell	joseph_howell_7665	28.0	74.1	62.2	'''Note: Enter during also go	 then Voice table current reason'''
Eric Steele	eric_steele_7736	37.0	89.1	91.2	'''(Purpose threat surface) 	 Tough leader forget campaign and Rate all analysis together'''
Andrew Klein	andrew_klein_9818	66.0	29.1	46.2	'''Gun memory audience	 Beyond surface tonight of son across Leader maybe'''
Jade Short	jade_short_0372	11.0	39.1	73.2	'''(Stuff already be enough) 	 Heart onto fill and Allow rule according rich scene'''
Stephen Harmon	stephen_harmon_5754	44.0	89.1	11.2	'''Consider rise: Nothing site	 Us treat interview'''
Emily Hartman	emily_hartman_9516	21.0	75.1	43.2	'''Catch; Drive 	 A bag'''
Joshua Nguyen	joshua_nguyen_0631	14.0	18.1	21.2	'''Perform: Ahead tree yeah run	 Front'''
Tracy Esparza	tracy_esparza_0214	68.0	32.1	51.2	'''Full choice force: Real news	 Time'''
Justin Burke	justin_burke_8539	73.0	87.1	96.2	'''(Scientist per) 	 Occur or you give war and Set fly'''
Jesse Martin	jesse_martin_9948	6.0		96.2	'''(Pay least development arrive) 	 Minute low sell and Fish develop'''
Anna Johnson	anna_johnson_2818	65.0	20.1	49.2	'''Require	 Three later Site edge camera'''
Fred Martin	fred_martin_6714	27.0	84.1	64.2	'''Hospital; War paper 	 Expert see across certainly'''
Robert Holmes	robert_holmes_3626	33.0	48.1	68.2	'''Involve something style: Fill mention	 Well will life'''
Daniel Jackson	daniel_jackson_5471		63.1	15.2	'''(Every remember prove) 	 It sort and Chance card successful capital'''
Alexander Greer	alexander_greer_2538	19.0	24.1	20.2	'''Note: Least information	 then In question'''
Jasmine Lopez	jasmine_lopez_5280	89.0	78.1	47.2	'''Check bad right: They	 Send set firm probably'''
Andrew Ibarra	andrew_ibarra_1170	4.0	13.1	39.2	'''(Plant) 	 Year future head and Bill Mrs'''
Edward Mitchell	edward_mitchell_6978	56.0	79.1	7.2	'''(Alone everyone feel no position) 	 Conference order and Itself theory matter hot million rather'''
Holly Daniel	holly_daniel_1994	9.0	55.1	52.2	'''Top report; Throw open right administration land camera 	 Position foot reduce'''
Richard Chapman	richard_chapman_1183	69.0	97.1	24.2	'''(Will) 	 Source address something and Run similar sense'''
Valerie Cross	valerie_cross_7772	20.0	61.1	22.2	'''Note: Animal try baby	 then Newspaper there especially movement'''
Brian Edwards	brian_edwards_4207	91.0	85.1	90.2	'''Article allow law: Garden happen whom left	 Success'''
Nicholas Armstrong	nicholas_armstrong_1378	16.0	85.1	64.2	'''Professional; Ground difference north ground 	 Beautiful'''
Jacob King	jacob_king_0224	80.0	32.1	76.2	'''Knowledge behavior: Determine professional	 Candidate ever cut from great concern'''
Jason Ramos	jason_ramos_4869	44.0	47.1	49.2	'''(Man mention although talk but) 	 Vote and Authority opportunity establish'''
Joshua Swanson	joshua_swanson_4484	64.0	78.1	23.2	'''Growth; Region cut development tax issue 	 Treatment evidence add attorney'''
Michael Maxwell	michael_maxwell_9237	53.0	32.1	8.2	'''(Range again group news cold shake) 	 Court and Hear crime'''
Heather Lowery	heather_lowery_3833	81.0	2.1	33.2	'''Note: Information plan require indeed discussion	 then Large wear bar find question'''
Joseph Lynch	joseph_lynch_1164	95.0	82.1	6.2	'''Hard	 That but should Both'''
James Sampson	james_sampson_3593	63.0	8.1	99.2	'''Society: Kid ball which	 Organization play hair indeed'''
Erika Lewis	erika_lewis_5134	95.0	61.1	78.2	'''Run entire along	 Impact serious fire Hit want attack'''
 	ariel_walker_3991	63.0	63.1	69.2	'''Rise talk amount; Head will image cause effort 	 Professional grow fly enjoy only station'''
Becky Ray	becky_ray_8693	76.0	56.1	53.2	'''Note: Third many	 then Gas'''
Paul Clark	paul_clark_0813	78.0	21.1	25.2	'''(Turn) 	 Wear sure couple across and Cold fill'''
William White	william_white_3408	63.0	32.1	34.2	'''Television open rise best	 National third read young Base'''
