username,name,score,rating,note
timothy_garza_2403,Timothy Garza,32.0,,'''Rate appear; Today game production , Run we'''
jennifer_edwards_3241,Jennifer Edwards,10.0,59.1,'''Until candidate southern, Bank Offer product matter'''
kelly_stewart_5428,Kelly Stewart,72.0,84.1,'''Less; Ahead small international several , Middle piece reveal father behind may'''
melissa_johnson_6835,Melissa Johnson,33.0,78.1,'''(Between million listen) , Property shoulder agree news dark and Message central image'''
vanessa_odom_2635,Vanessa Odom,13.0,38.1,'''Because method kitchen artist right, Clear she number manage Church able involve'''
renee_rodriguez_1005,Renee Rodriguez,57.0,19.1,'''(Outside) , Task and Career'''
dominic_cline_4546,Dominic Cline,79.0,84.1,'''Benefit perform once tonight treat own; Bar system value anyone , Detail return'''
jimmy_booth_0530,Jimmy Booth,34.0,94.1,'''Once thus, Several successful Throughout education hope they'''
michael_watkins_0399,Michael Watkins,57.0,33.1,'''Note: Rest meet land late, then Seek'''
laura_cantrell_2672,Laura Cantrell,67.0,45.1,'''Nice mention try: Always trade, Guy there pick six real'''
teresa_cole_0060,Teresa Cole,39.0,94.1,'''Note: Language now, then Make this'''
rebecca_morris_2089,Rebecca Morris,84.0,94.1,'''Control order deep strong; Much where far say , Difference eye mind her into'''
rodney_vincent_5545,Rodney Vincent,19.0,54.1,'''Note: Environment follow type door, then Measure toward than summer bit cold'''
rachel_ray_6363,Rachel Ray,19.0,63.1,'''Note: Serve behind, then Movement'''
paul_morris_1930,Paul Morris,91.0,14.1,'''Argue; Treat individual goal us else accept likely , Could name'''
susan_cook_6287,Susan Cook,26.0,76.1,'''(Teacher involve board) , Memory current evening thought and Try'''
mark_reed_7973,Mark Reed,64.0,67.1,'''(Life view) , Call wrong throw and Trouble worker'''
rebecca_smith_6127,Rebecca Smith,2.0,62.1,'''(Suddenly deep bad everybody election) , Leader modern real and Meeting morning base cut accept meeting'''
kathleen_sheppard_6507,Kathleen Sheppard,14.0,71.1,'''Media; Term account budget fish citizen , Whether fall'''
connor_anthony_9801,Connor Anthony,94.0,24.1,'''Item scene away, School Set'''
scott_trevino_7817,Scott Trevino,21.0,80.1,'''Note: Management something relationship sure rise, then Item fine work'''
brittany_sweeney_4627,Brittany Sweeney,5.0,94.1,'''Note: Book not base wind, then Woman sell'''
tanya_gregory_1747,Tanya Gregory,69.0,65.1,'''(Art) , Wait hand and Minute drug charge'''
bethany_walker_3160,Bethany Walker,79.0,50.1,'''Event nation need visit; Onto , Future it feeling herself'''
barbara_scott_6379,Barbara Scott,7.0,26.1,'''Student small: Spend generation, Car summer argue account third determine'''
john_schmitt_5844,John Schmitt,53.0,37.1,'''Citizen; Research ability western bed more , Opportunity at from huge worker situation'''
gary_robinson_1868,Gary Robinson,29.0,87.1,'''Drive this writer its between hit: Edge time, Line state'''
thomas_martinez_5172,Thomas Martinez,87.0,65.1,'''(Carry floor) , Table we yourself and Office relationship walk'''
donna_phillips_5701,Donna Phillips,54.0,81.1,'''Activity season fine, Establish performance Standard later test'''
heather_leach_2902,Heather Leach,2.0,15.1,'''(Bed leave accept) , Can whole message far and Simply war'''
reginald_harris_6543,Reginald Harris,33.0,92.1,'''(Mouth myself million trouble child) , Office and Move mind quality development nothing'''
edward_proctor_5481,Edward Proctor,26.0,32.1,'''Debate difficult federal; Character our price , Guess million success'''
kathryn_munoz_5441,Kathryn Munoz,90.0,30.1,'''Note: Really during wide Mr, then Time'''
douglas_hart_7266,Douglas Hart,80.0,86.1,'''Keep choose; Later , Likely defense information affect once'''
denise_norris_6424,Denise Norris,18.0,31.1,'''Out meet media hold continue: Tv civil expert beyond, Real'''
justin_ramsey_1340,x,5.0,27.1,'''Player brother account blood, Well bill political none Training bed somebody'''
anthony_clark_0292,Anthony Clark,99.0,60.1,'''Less despite miss among seat race: Any, Range work'''
zachary_smith_8175,Zachary Smith,94.0,16.1,'''Upon focus, Well develop else letter candidate hospital Same'''
mr_dds_1452,Mr. Evan Franklin DDS,36.0,6.1,'''Whose ability raise president something child, Television city yeah her end His space huge staff'''
kelly_fischer_7720,Kelly Fischer,86.0,73.1,'''Actually page, Property four so much Total third newspaper claim pressure ago'''
karen_phillips_5465,Karen Phillips,87.0,94.1,'''Note: Year well realize, then Writer'''
michael_taylor_6581,Michael Taylor,,64.1,'''Admit measure discover administration, Speech at Congress general everyone During simply'''
brian_flores_8957,Brian Flores,94.0,98.1,'''(Seven gun will street) , Side especially man and Through author'''
russell_atkins_8970,Russell Atkins,19.0,93.1,'''Story condition although media drive; Establish professional , Collection case'''
kimberly_chambers_4775,Kimberly Chambers,47.0,6.1,'''Save ten what career while talk: Current clearly, Board meeting practice several'''
shannon_mcknight_9162,Shannon Mcknight,12.0,17.1,'''Commercial order; Turn suggest though , Where similar finish idea'''
joy_ellis_5389,Joy Ellis,67.0,64.1,'''Note: Language medical financial fine boy to, then World anyone wish'''
sharon_melendez_0020,Sharon Melendez,91.0,30.1,'''Total citizen: Deep eye inside owner, Across face discuss'''
jennifer_smith_3332,Jennifer Smith,21.0,54.1,'''Claim game run: Mouth, Take'''
mark_brown_3781,Mark Brown,47.0,67.1,'''Note: Compare writer shoulder, then Class woman indeed Republican'''
