username,name,age,total_count,score,comment
michael_schneider_3391,Michael Schneider,51.0,30.1,63.2,'''(Truth manager decade) , Reflect and Sea respond among successful table'''
ruben_zhang_2550,Ruben Zhang,90.0,77.1,52.2,'''Forward fund include perhaps; Sometimes light arrive , Center'''
erin_rowland_3370,Erin Rowland,,,27.2,'''Note: Watch training several sense street, then Bed suddenly discussion show dog'''
chelsey_wells_5457,Chelsey Wells,39.0,20.1,97.2,'''Decision beat interest religious; Three help ever , Technology officer only interesting fill'''
jerome_roman_9004,Jerome Roman,13.0,25.1,35.2,'''Sing protect interest, History Test seat'''
bradley_lawrence_9681,Bradley Lawrence,3.0,83.1,56.2,'''(Song item) , Create financial when and Author spring'''
cindy_compton_1729,Cindy Compton,7.0,14.1,61.2,'''Can help: Car clearly poor, Expect watch to think'''
nicholas_nash_1923,Nicholas Nash,80.0,60.1,27.2,'''East set, Be whole pressure place Baby receive of save bill'''
scott_grant_4390,Scott Grant,12.0,41.1,43.2,'''But: Become four, Kid score central degree'''
cheryl_hodges_2955,Cheryl Hodges,37.0,15.1,70.2,'''Fire talk: Administration face, Small peace project'''
kristen_scott_1558,Kristen Scott,20.0,14.1,8.2,'''(Your compare) , Stuff and From every or six word'''
evan_riddle_1054,Evan Riddle,37.0,80.1,15.2,'''Quite marriage, Can stay produce Require finally impact movie'''
ronald_jimenez_9716,Ronald Jimenez,99.0,84.1,67.2,'''Commercial: Rest improve for win part, Threat surface with determine music'''
jeffrey_hale_5949,Jeffrey Hale,86.0,36.1,37.2,'''(These rise) , Act shoulder and Those right husband'''
michelle_hicks_5305,Michelle Hicks,10.0,23.1,89.2,'''(Old record) , Through yourself smile and Expect though community myself out'''
kristen_mack_3877,Kristen Mack,87.0,72.1,69.2,'''Quickly low kind approach if white; Capital , Week family bar ready eight'''
sarah_ford_8223,Sarah Ford,36.0,27.1,,'''Note: Range less avoid detail far, then Provide light'''
mr_ramirez_8050,Mr. Preston Ramirez,57.0,16.1,60.2,'''Top; Catch arrive product , Sign'''
melissa_carrillo_1665,Melissa Carrillo,70.0,82.1,24.2,'''Note: Face purpose, then About music above'''
edward_wiggins_4757,Edward Wiggins,14.0,6.1,97.2,'''Note: Nothing walk attorney hold car, then Eye tell'''
nancy_ruiz_1237,Nancy Ruiz,42.0,91.1,97.2,'''(Sort receive spend) , Soon and Office among policy month daughter until'''
ashley_montoya_5792,Ashley Montoya,42.0,12.1,87.2,'''Note: Personal real, then Your enjoy project machine common off'''
keith_andrews_1900,Keith Andrews,49.0,1.1,92.2,'''Return the may artist energy, Religious Democrat somebody Nor everybody'''
beth_holland_3924,Beth Holland,66.0,12.1,65.2,'''Project surface, Technology believe blood All character owner'''
jeff_stanley_9429,Jeff Stanley,48.0,32.1,69.2,'''Note: Bed network exist accept, then Gas service free'''
cole_west_3770,Cole West,7.0,70.1,85.2,'''(Point ahead) , Two operation success alone money billion and Moment action line'''
michelle_powell_6968,Michelle Powell,54.0,3.1,57.2,'''Contain meeting why agency she, Against land team Town'''
joann_schneider_8022,Joann Schneider,68.0,83.1,64.2,'''(Without middle pretty high) , Fire design public value particular and President your throughout'''
kevin_hernandez_1141,Kevin Hernandez,62.0,43.1,96.2,'''Note: Million, then Fund whether most'''
pamela_frank_2940,Pamela Frank,11.0,5.1,36.2,'''American official real cell mean its, Moment produce lay Chair growth class'''
michelle_barber_3503,Michelle Barber,4.0,94.1,46.2,'''Piece care leg; Believe where pick most however body , Wall scene girl after'''
angela_brock_8308,Angela Brock,5.0,69.1,33.2,'''(Home) , Talk say school debate and Impact'''
christopher_maxwell_4869,Christopher Maxwell,90.0,62.1,97.2,'''Far say team: Control clear use, Move street dog'''
andrew_rhodes_8535,Andrew Rhodes,96.0,68.1,54.2,'''Note: Sometimes produce section animal use another, then Allow follow be skill hear'''
dean_carter_4092,Dean Carter,54.0,6.1,69.2,'''Ever item; Weight soon reflect no , Late'''
adriana_king_4060,Adriana King,77.0,82.1,22.2,'''Note: Lead woman, then Head reduce politics'''
aaron_harmon_3999,Aaron Harmon,40.0,13.1,7.2,'''Possible moment face hard well television: Most pick trial, Customer right'''
samantha_palmer_5686,l,89.0,57.1,2.2,'''Time budget, Suggest Study itself media south international inside'''
anthony_barrera_4804,Anthony Barrera,31.0,85.1,51.2,'''South record result test; Tree forward , Media agree certain west'''
