# This is a comment line to skip
name;username;total_count;salary;price;note;description
Molly Wood;molly_wood_5507;59.0;16.1;79.2;"""(Fuga quibusdam) ; Pariatur velit recusandae and Animi quidem debitis""";"""Fugit doloribus rerum minima laboriosam: Rem quidem in quae; Consequatur ratione"""
Tom Jones;tom_jones_9089;52.0;55.1;79.2;"""Note: Veritatis ratione; then Magnam natus a beatae""";"""Beatae ut: Qui dolorum; Itaque illum temporibus nesciunt necessitatibus sed"""
Miss Joanna Holmes;miss_holmes_0408;71.0;26.1;65.2;"""Nostrum fuga maiores; Quis ; Repellendus ipsa facere""";"""Temporibus eum tenetur quae; Enim nisi occaecati eos odit iste ; Odio omnis error nobis tempora"""
Lisa Morris;lisa_morris_7430;49.0;98.1;93.2;"""Reiciendis ipsum; Maxime molestiae qui ; Libero temporibus saepe""";"""Mollitia ut error nisi neque optio; Quos doloremque iusto quasi a Perferendis inventore iste"""
Bruce Murphy;bruce_murphy_7642;6.0;96.1;60.2;"""(Ea soluta perferendis necessitatibus doloremque at) ; Quae explicabo and Neque eveniet perferendis""";"""Adipisci saepe fugit; Fuga rem ; Possimus veritatis"""
Tony Richardson;tony_richardson_4796;82.0;3.1;76.2;"""Nulla magnam: Aperiam id voluptates; Maiores animi iure minus""";"""Note: Quae harum; then Illum molestiae est vero"""
Mrs Lauren Taylor;mrs_taylor_5824;31.0;49.1;58.2;"""Ducimus doloribus modi; Voluptatibus facilis Dolorum asperiores nesciunt voluptatem alias optio""";"""Numquam in incidunt sapiente: Deleniti quaerat eveniet id; Rem perspiciatis et"""
Kyle Chambers-Cole;kyle_cole_4563;86.0;17.1;34.2;"""Note: Recusandae aliquid; then Assumenda""";"""Fugit numquam dignissimos suscipit dolor culpa; Alias consequuntur molestiae id ; Rem dolor ab"""
Dr Jordan Barnes;dr_barnes_2443;37.0;30.1;38.2;"""Aut modi natus debitis; Exercitationem esse Harum cupiditate provident reprehenderit""";"""(Modi adipisci quia) ; Porro ullam a laudantium itaque and Dolorum dolores qui maiores"""
Sara Davies;sara_davies_5022;66.0;25.1;45.2;"""Laborum ducimus: Quasi enim autem; Numquam maiores est porro sint""";"""Note: Cupiditate placeat quos iure laboriosam; then Cupiditate eum eius"""
Dr Raymond Barber;dr_barber_4177;29.0;67.1;40.2;"""Note: Quibusdam ad nulla; then Minus alias""";"""Ad minus: Et laborum aperiam doloremque possimus; Voluptates occaecati occaecati magnam"""
Denise Taylor;denise_taylor_4663;4.0;70.1;47.2;"""(Cum quis) ; Qui distinctio sapiente aliquid ea and At nisi cumque porro""";"""Note: Consequatur aspernatur; then Minus necessitatibus"""
Dr Gavin Dobson;dr_dobson_0645;46.0;47.1;47.2;"""(Rem nulla) ; Vitae eum ipsa dignissimos sequi and Ex ea""";"""Eligendi labore; Consequatur dolor necessitatibus delectus A commodi sunt cumque eaque harum"""
Paul Wilson-Woodward;paul_woodward_9882;24.0;67.1;48.2;"""(Iste distinctio fugit aliquid) ; Quasi vel vitae possimus and Ex sit alias ducimus""";"""(Nostrum ex maxime placeat ut sapiente hic) ; Libero totam eligendi quaerat ducimus voluptas and Dolorum assumenda magni"""
