name	score	total_count	remark	review
Jessica Watkins	99.0	99.1	"""Error cumque quaerat exercitationem: Ipsa	 Ea earum ab"""	"""Omnis at dolorem	 Temporibus possimus Molestias voluptatem"""
Bethan Ford	12.0	51.1	"""At expedita expedita	 Debitis Quisquam dicta illum natus esse"""	"""Quos laudantium	 Omnis vitae Doloremque ratione vel quo hic repellat"""
Dr Garry Harris	26.0	11.1	"""Dicta esse nemo unde officia reprehenderit; Officiis 	 Alias at in ipsam"""	"""Accusamus nobis	 Laudantium assumenda nemo Eligendi"""
Billy Thompson	20.0	1.1	"""Ad: Error ratione	 Pariatur in"""	"""Dolor ex at porro; Quas quaerat recusandae voluptate 	 Hic optio voluptates nihil"""
Lauren Armstrong	58.0	59.1	"""Note: Error quia placeat consectetur beatae	 then Temporibus velit"""	"""Ex perferendis numquam aut aut; Beatae tenetur praesentium cupiditate iusto 	 Vel quibusdam maiores modi eaque"""
Joel Ahmed	17.0	100.1	"""Nam: Nulla	 Voluptas laborum earum"""	"""(Molestiae quibusdam consequatur) 	 Mollitia facere commodi tempora and Natus dolorem"""
Jessica Sutton	38.0	94.1	"""Aspernatur quam ad veritatis; Fuga a mollitia ipsa 	 Voluptatum aspernatur"""	"""Odit eum accusantium; Quis architecto 	 Accusantium ipsam voluptatibus"""
Joanna Hudson	38.0	74.1	"""Note: Nulla officia sit	 then Ipsum tempora ad sint"""	"""Note: Dolores praesentium at	 then Numquam fugit possimus"""
Ruth Collier-Fraser	44.0	77.1	"""Autem	 Quam quisquam alias Quod ipsam fugit"""	"""Note: Ipsam assumenda	 then Quaerat excepturi"""
Dr Louise Ali	11.0	27.1	"""Iure	 Corporis expedita Incidunt pariatur libero minus"""	"""Labore natus; Deserunt porro sunt quam rem 	 Inventore iusto saepe"""
Caroline Elliott	97.0	13.1	"""(Molestiae eos) 	 Ex perferendis nisi rem earum and Earum quasi labore cupiditate"""	"""Note: Magni quia	 then Porro voluptatibus"""
Josh Dixon	32.0	51.1	"""Minima cum; Aspernatur vitae 	 Exercitationem velit"""	"""Minus ad molestias ducimus; Animi sint temporibus esse 	 Beatae odit"""
Mrs Holly Jackson	57.0	97.1	"""Note: Maxime sequi	 then Perspiciatis iusto"""	"""(Incidunt) 	 Expedita mollitia repudiandae molestias and Id recusandae laboriosam cupiditate"""
Dr Nigel Lloyd	9.0		"""Accusantium provident aut ratione corrupti; Aspernatur earum explicabo 	 Provident esse amet possimus nam"""	"""(Nobis id repudiandae accusamus quae) 	 Sit minus and Exercitationem maxime earum maxime"""
Mr Jordan Howard	12.0	38.1	"""Doloremque numquam iusto	 Ratione eaque sunt iusto Facere repudiandae consectetur distinctio consectetur"""	"""Qui	 Laboriosam soluta sapiente Quibusdam itaque"""
Ms Molly Knowles	51.0	11.1	"""Note: Cupiditate odit	 then Praesentium temporibus"""	"""Fuga exercitationem facilis quisquam cum nulla: Quidem atque	 Fuga magni molestias"""
Jacob Harper	94.0	41.1	"""Vel sapiente nam: Atque facere	 Corrupti dignissimos quisquam ex"""	"""Magni tempore laudantium commodi optio	 Necessitatibus quis maxime Iure fugit"""
Frank Mitchell	65.0	45.1	"""Dicta quas sint ut	 At ad voluptates Voluptate maxime"""	"""Laboriosam reprehenderit ex fugiat; Error dolorum 	 Omnis quasi perferendis vero quis"""
