name	salary	summary
John Dawson	19.0	"""(Rem adipisci quasi dignissimos) 	 Commodi doloremque and Id eligendi est"""
Dr Damien Wood	7.0	"""Note: Laborum dicta enim vel ducimus	 then Consequatur quisquam perferendis voluptas voluptate"""
Damian Walker	58.0	"""Voluptate beatae voluptate	 Adipisci iste similique Labore et"""
Teresa Hanson-Wilson	64.0	"""Error placeat voluptas	 Optio perferendis quisquam vitae Nulla tempora"""
Gail Phillips	50.0	"""Reprehenderit	 Quam totam sint reprehenderit Eaque voluptate laudantium explicabo"""
A	62.0	"""Note: Est alias aliquam velit	 then Cupiditate ea sint ullam"""
Sean Elliott	87.0	"""Note: Accusantium reprehenderit	 then Iste dignissimos facilis ducimus"""
Joshua Cooper	83.0	"""Laborum in eius eveniet	 Magnam possimus corporis impedit Optio dicta cupiditate ab"""
Dr Christine Ellis	8.0	"""(Placeat) 	 Fugit and Aliquid voluptas possimus"""
Dr Raymond Allen	80.0	"""Quam corrupti non sunt	 Voluptas eveniet Alias"""
Mrs Megan Patel	83.0	"""Note: Voluptas nam	 then Suscipit nesciunt consectetur fuga nemo occaecati"""
Abbie John	40.0	"""Quaerat rem ullam sunt: In velit vitae a harum	 Earum quis"""
Ms Lynn Morris	70.0	"""Note: Pariatur facere error	 then Voluptas placeat cupiditate quaerat quis"""
Georgina Jones	87.0	"""Consequatur; Optio voluptatem illum nesciunt libero magni 	 Reiciendis ad"""
Carol Barker	64.0	"""Et doloribus in: Nisi sequi	 Facilis quas"""
Stuart Collins	41.0	"""Consequuntur: Rerum	 Est hic perspiciatis ea"""
Sam Matthews	30.0	"""Saepe: Dicta	 Sed aut a nesciunt"""
Ms Ruth Wilson	95.0	"""(Dolore exercitationem occaecati) 	 Cupiditate non consequuntur and Exercitationem quas eius"""
Ms Hannah Akhtar	91.0	"""(Quam recusandae) 	 Saepe alias ipsam assumenda corrupti maxime and Quae eos officiis sunt id"""
Mr Mohammed Graham	19.0	"""Tempora est reiciendis	 Ea voluptatem porro Explicabo neque temporibus similique"""
Carol Lewis	98.0	"""(Vero aperiam repellat) 	 Praesentium and Temporibus eius eum"""
Ruth Brown	13.0	"""Minima laudantium officia veritatis: Voluptatem consectetur adipisci	 A eos iusto vero"""
Emma Clark	52.0	"""Suscipit vel; Velit 	 Sequi quam nulla"""
Shirley Woods	47.0	"""Ipsam vel hic; Eius nam sit 	 Iste iste nam reiciendis"""
Mrs Melissa Pearson	12.0	"""Natus voluptates	 Consequatur Repellat nam nobis enim rerum"""
Mr George Mitchell	35.0	"""(Doloribus ex voluptate) 	 Vel a minima incidunt a and Voluptatem sint quo"""
Lorraine Taylor	96.0	"""Ea quidem ipsum; Ipsum corporis 	 Velit quas beatae porro"""
Samuel Potter	23.0	"""Minus ipsum laboriosam	 Illum numquam Possimus nemo distinctio commodi nostrum quas"""
Vincent Richards-Mitchell	100.0	"""Quasi perspiciatis	 Minus a explicabo sed Quos culpa repudiandae"""
Ms Abbie Shepherd	14.0	"""Ratione delectus doloribus dicta: Quibusdam odio	 Itaque occaecati dolorum"""
Denise Whittaker	95.0	"""Inventore mollitia consequatur nisi veniam ab: Porro modi	 Debitis similique"""
Julian Morris	19.0	"""Note: Enim omnis	 then Corrupti"""
Arthur Page	37.0	"""(Culpa impedit distinctio) 	 Excepturi at hic quae molestias and Atque iusto rem dolores porro"""
Dr Shaun Young		"""Iusto iste neque animi	 Unde sunt possimus Dicta unde"""
Mr Owen Mann	64.0	"""Esse saepe nam corrupti quae	 Possimus asperiores impedit Excepturi numquam perspiciatis"""
Dawn Adams	100.0	"""Repudiandae voluptatum	 Atque labore Adipisci atque"""
