username	salary	summary
damian_burton_6501	64.0	'''Recusandae ratione molestiae nisi illum alias: Dolore expedita	 Quaerat dolor praesentium'''
eleanor_jenkins_2639	41.0	'''Quia laudantium eaque facilis dolore	 Adipisci Quam similique praesentium'''
max_hayes_7661	81.0	'''Officiis architecto atque	 Dolore earum ab corrupti omnis Eum occaecati quia'''
jean_hicks_5866		'''Note: Dolore dolore nihil numquam sed	 then Natus quidem adipisci nemo'''
natalie_newton_7502	4.0	'''(Qui) 	 Quos enim odio and Soluta impedit error'''
jamie_cox_8746	33.0	'''Eius odio ipsum	 Voluptatum error ad aliquam Quam'''
sandra_barrett_6680	20.0	'''Sapiente; Veritatis odit quas 	 Occaecati illo earum ducimus'''
joanna_clark_9595	49.0	'''Qui possimus; Iusto consectetur 	 Perspiciatis modi ab'''
molly_roberts_9374	81.0	'''Saepe: Eos ipsa quibusdam corrupti nobis architecto	 Tempore eius unde iure consequatur'''
eileen_howarth_6699	28.0	'''Distinctio id: Ipsum minus aliquam fugiat	 Eum optio omnis'''
mr_williams_3234	80.0	'''Nulla debitis adipisci	 Doloremque Qui architecto'''
dr_reed_7990	89.0	'''Ab voluptates; Amet quia 	 Debitis'''
ross_hope_0816	41.0	'''Facilis totam cumque	 Natus magnam consectetur consequuntur voluptates Perspiciatis cupiditate harum facere molestias culpa'''
rebecca_kirby_8655	34.0	'''Veniam vero quam; Inventore tempore nihil 	 Tempore quo quam minima et'''
ruth_hudson_4232	75.0	'''Note: Et at cum	 then Ex eaque error'''
joanne_walton_1922	20.0	'''Note: Natus blanditiis	 then Nulla natus'''
clare_neill_9373	18.0	'''Occaecati	 Dolores incidunt Nulla laborum placeat'''
amanda_turnbull_9646	75.0	'''Quod eius; Enim sit commodi modi 	 Expedita deserunt sit'''
molly_berry_0833	15.0	'''(Nam atque sed non) 	 Molestiae eligendi consectetur voluptates necessitatibus and Necessitatibus et fugit amet repellat in'''
sam_kaur_6474	17.0	'''Occaecati modi tempora porro; Et mollitia beatae 	 Libero veniam'''
dr_baker_8650	93.0	'''Nam exercitationem: Quod cum facere perspiciatis nisi reprehenderit	 Repellat'''
elaine_robinson_4282	88.0	'''Note: Animi perferendis	 then Blanditiis consequatur'''
abbie_shah_3640	60.0	'''Note: Laborum sint quia	 then Pariatur vitae'''
eileen_smith_7373	31.0	'''(Similique minus sapiente voluptatum error) 	 Reprehenderit quibusdam voluptatum and Corporis earum'''
liam_hardy_8890	11.0	'''Note: Dolor quam	 then Rerum earum modi vero'''
