# This is a comment line to skip
username;salary;note;remark
mr_gray_8121;100.0;"""(Facere quos) ; Doloremque ab and Consequuntur""";"""Inventore maiores unde pariatur; Sint quos rem cumque repudiandae Tempore consequatur"""
samantha_wilson_0370;80.0;"""Aperiam eos unde: Rerum ea; Similique""";"""Quam vitae; Enim adipisci nobis Suscipit perferendis nemo"""
mr_jones_4657;36.0;"""Quaerat fugit; Quos ; Dicta eos""";"""Architecto doloremque sint dolorem: Dignissimos expedita placeat; Labore enim beatae nam laboriosam"""
gerald_stevens_1960;;"""(Explicabo quis explicabo tenetur) ; Sunt nihil and Adipisci""";"""Nihil ea; Animi ducimus Soluta sequi"""
dr_harvey_4200;37.0;"""Asperiores illum magni; Id ex eius consequatur Aut assumenda debitis iusto""";"""Note: Consequuntur ipsa eligendi officiis explicabo; then Est reiciendis"""
ms_jackson_1662;100.0;"""Note: Libero; then Nostrum aliquam quod""";"""Id a; Ex eligendi ab ; Eligendi ipsam"""
sam_ward_8978;29.0;"""Cum at eos eos omnis harum; Atque ; Eum exercitationem cumque placeat""";"""Vel accusantium unde; Voluptatibus molestias illum Quibusdam adipisci nobis"""
mr_williams_8555;29.0;"""Labore nobis veniam; Tempore provident ; Porro numquam eius""";"""Magnam enim tenetur; Eius aspernatur sed ipsum ; Architecto saepe quam"""
jane_lyons_4177;98.0;"""Tempora reprehenderit; Ea cupiditate ; Odit qui dicta""";"""(Sed cumque culpa aperiam) ; Quae cupiditate ab id and Aperiam voluptates nesciunt esse"""
craig_wood_1176;55.0;"""(Itaque distinctio quaerat minus) ; Nulla ab and Sint corrupti""";"""Omnis veniam: Dolores beatae aut; Nulla illum"""
hugh_stephens_3149;37.0;"""(Cum officiis recusandae) ; Laborum asperiores quidem quas illum repellendus officiis and Sit assumenda""";"""Note: Esse excepturi; then Explicabo nihil veniam nihil libero"""
mr_king_0923;91.0;"""Note: Deserunt sunt magnam; then Consequatur nostrum""";"""Natus tempora aliquid consequatur eaque corrupti: Dolor beatae totam doloribus at; Officia omnis"""
ms_hall_2432;53.0;"""Dolores tempore; Vitae temporibus enim at ; Amet quis""";"""Veritatis repellat: Voluptas labore; Recusandae deleniti asperiores"""
gerard_harvey_4628;22.0;"""Sit recusandae hic: Occaecati cupiditate; Eaque molestias odio""";"""Autem autem in: Expedita blanditiis a rerum nostrum; Eaque omnis voluptate distinctio provident dicta"""
stewart_bailey_3549;56.0;"""Repellat quam magni: Sunt; Itaque doloribus""";"""Note: Dicta; then Modi iure aliquid asperiores"""
sophie_humphreys_0916;7.0;"""(Sed ut) ; Voluptates and Illo occaecati""";"""Blanditiis nostrum natus: Nihil incidunt; Ex"""
billy_wright_0086;47.0;"""Hic provident; Magnam impedit suscipit Minima dolor""";"""Inventore consequuntur provident consectetur quidem: Repellat facilis magni pariatur nihil voluptatum; Dolor delectus"""
mary_bowen_7633;21.0;"""(Iure) ; Est sint quae and Repellendus magni ipsam fugit et""";"""Optio dolorem; Quo ; Provident ex a"""
gerald_reeves_7091;52.0;"""(Totam quisquam vel cupiditate) ; Deleniti illum accusantium and Ratione architecto est fuga""";"""Note: Eum minima; then Illum doloremque ab saepe fuga"""
francis_jones_9817;2.0;"""(Quo accusantium) ; Quibusdam omnis eveniet placeat porro and Necessitatibus optio et ad excepturi""";"""Similique; Sit expedita Assumenda error esse repellendus"""
joan_shepherd_3355;97.0;"""Saepe nostrum; Modi rem non molestias commodi perspiciatis Impedit magni""";"""Minus maiores: Repudiandae harum; Odit minima perferendis corporis"""
richard_adams_4042;61.0;"""Note: Nam facilis; then Non aut ea odit""";"""Explicabo porro: Similique sapiente; Saepe"""
andrew_barrett_9111;22.0;"""(Possimus architecto tempora eligendi optio) ; Nulla repellat dolor numquam and Odit molestias""";"""Tempora eum asperiores porro; Amet Consequuntur impedit deleniti non ipsa"""
daniel_thomas_5267;26.0;"""Ipsa nobis sequi; Nemo eum architecto adipisci iste incidunt Soluta temporibus architecto veritatis voluptatem""";"""Magnam sint totam: Reiciendis; Provident alias"""
ruth_morris_1766;20.0;"""Note: Alias dolore; then Quasi sit quo amet""";"""Note: Sapiente quia quidem; then Natus tenetur ipsam"""
liam_alexander_4091;64.0;"""Id iure officia accusantium; Pariatur Rerum quae""";"""Numquam asperiores; Unde mollitia ; Nulla repudiandae unde a voluptas"""
suzanne_green_3676;95.0;"""(Eos) ; Hic at tempore ullam temporibus error and Ullam necessitatibus nobis""";"""Officia voluptatum; Hic eveniet sed libero ; Molestias iure deserunt"""
