username,name,price,note
troy_smith_4553,Troy Smith,94.0,"""Whole color effect chance miss plant: Up them, Method approach"""
sharon_miller_8521,Sharon Miller,77.0,"""(Would detail two fill) , Sort newspaper cause role drive and Federal keep bring effect"""
stephanie_smith_5038,Stephanie Smith,37.0,"""Business, Big work campaign Player both south four"""
david_brown_5799,David Brown,22.0,"""Against all away tough, Never interest Hit future"""
jacob_chang_3577,Jacob Chang,53.0,"""Together available admit; I whole , Nice"""
kristina_morales_8061,Kristina Morales,60.0,"""News wall ago open, Cost serious cell Drive like lay economy"""
carmen_gonzalez_6552,Carmen Gonzalez,97.0,"""Difference system new wear student: View here while want, Chance debate"""
danny_thomas_2458,Danny Thomas,,"""Feeling it: Wide sing need, Can after"""
diana_thompson_9869,Diana Thompson,43.0,"""Opportunity floor person too, Even law structure evening agreement total Maintain list trip range wide western"""
tammy_young_7127,Tammy Young,2.0,"""Natural test left change, West first film Base election"""
elizabeth_bailey_0356,Elizabeth Bailey,64.0,"""Way: Box network situation final natural city, The policy easy arm"""
robin_collins_8644,Robin Collins,46.0,"""(Wide contain) , Professor enjoy and Politics next system receive"""
shane_kent_6322,Shane Kent,59.0,"""Thousand career, Like Citizen"""
cindy_shelton_3353,Cindy Shelton,53.0,"""(Also adult again rise perform form) , Reduce state be will and Meeting"""
mary_alvarez_4388,Mary Alvarez,91.0,"""Movie music half: Bag common boy, One"""
roberto_beasley_6717,e,91.0,"""Bag tend benefit condition design head; All practice most strategy writer , Soon common six crime able"""
travis_smith_0055,Travis Smith,70.0,"""Participant, Onto financial Impact early teach father"""
mary_velez_1826,Mary Velez,89.0,"""Million run space; Still data particularly the dinner , Total everything save"""
jerry_rose_8702,Jerry Rose,54.0,"""(Remain tend vote) , Despite whom and Lay hear successful"""
lauren_davis_0146,Lauren Davis,61.0,"""Note: Provide attack night forget, then No"""
rachel_curtis_6615,Rachel Curtis,5.0,"""Trip believe conference: Ago arm notice, In ask however father civil artist"""
brian_porter_3785,Brian Porter,39.0,"""Lead seek: End easy, Work window or no again"""
shane_perry_0360,Shane Perry,17.0,"""Foreign task claim: Establish cut quite, Speech kitchen notice"""
eric_bates_0611,Eric Bates,49.0,"""Police, Trip you Race score value article your"""
derek_jacobson_9154,Derek Jacobson,53.0,"""Think film: Look standard, Walk rate consumer"""
eddie_poole_4763,Eddie Poole,34.0,"""Million it kid spring, He senior Science the woman"""
lauren_wright_1282,Lauren Wright,19.0,"""(Audience can) , Check relate page environment and Ok yourself"""
shane_jones_4331,Shane Jones,77.0,"""Already past no stage series guess; Product young , Despite role above"""
erik_gamble_7536,Erik Gamble,29.0,"""(Common) , Forward forget relate card and Standard kid energy"""
