# This is a comment line to skip
name	username	total_count	review
Renee Lawrence	renee_lawrence_8817	31.0	"""Note: Former father	 then Administration soldier"""
Nancy Page	nancy_page_6901	85.0	"""Usually understand here; On 	 Whether itself number record information"""
Kari Potts	kari_potts_4289	100.0	"""Industry five; Movement others amount become purpose bad 	 Final himself these"""
Shane Kennedy	shane_kennedy_1053	65.0	"""Friend attorney woman about; You along according technology to 	 And represent"""
Kevin Rangel	kevin_rangel_2379	100.0	"""Professional lead live woman: Trade set prevent everything son	 Down say heart oil response"""
Angela Lyons	angela_lyons_4088	30.0	"""Yourself; Black whole 	 Expect fast poor focus current someone"""
Monique Benton	monique_benton_8189	27.0	"""Ground: Cut look majority this authority career early	 Six evening"""
Tammy Hernandez	tammy_hernandez_1738	96.0	"""Piece run; South task 	 Southern question argue run not"""
Tamara Cook	tamara_cook_2237	59.0	"""Too treatment: Rather store	 After issue bed strong"""
Erika Hunt	erika_hunt_7242	97.0	"""(Knowledge wear) 	 Wide next and Try performance stand"""
Amanda Butler	amanda_butler_2697	26.0	"""Note: Remain see tree	 then Fast head thought produce"""
Roy Adams	roy_adams_4657	55.0	"""Strong issue short; Look toward challenge 	 Hard tree"""
Herbert James	herbert_james_3689	30.0	"""Usually through popular: Lead among change	 Expect firm"""
Christina Lopez	christina_lopez_9003	12.0	"""Note: Loss a push	 then Your"""
Lawrence Cole	lawrence_cole_7437	90.0	"""Seek market increase: Serious dinner kid painting dream	 Letter society"""
Jennifer Hernandez	jennifer_hernandez_1091	26.0	"""Mouth western teacher listen	 Throw law religious pretty plant your Later able"""
Destiny Owen	destiny_owen_1205	37.0	"""Large third accept remember prove	 So from Again consider personal"""
Timothy Stewart	timothy_stewart_0917	31.0	"""(Look talk) 	 South help how then and Again indeed beautiful be them"""
Dana Garcia	dana_garcia_6861	83.0	"""(Agency summer oil) 	 Choice despite and Military"""
Steven Calhoun	steven_calhoun_3958	55.0	"""Recognize knowledge; Mission second air leader 	 Admit so authority data"""
Jennifer West	jennifer_west_2172	45.0	"""Executive money question play	 Every religious deal agency Person"""
x	joseph_evans_7699		"""Subject figure simply herself	 Current well indeed Her prove window"""
Emily Ponce	emily_ponce_4318	22.0	"""Note: Man on cause hot rise	 then Threat often"""
William Hart	william_hart_8451	61.0	"""Beyond remember; East need later 	 Year"""
Paula Young	paula_young_1194	20.0	"""Recognize produce; Machine use window 	 Best store protect officer"""
Steven Martinez	steven_martinez_8369	42.0	"""(Reach watch position beyond seek first) 	 Practice term and Minute challenge question"""
Yesenia Williams	yesenia_williams_9837	49.0	"""Under fish: Thought computer form specific	 Common"""
Cheyenne Taylor	cheyenne_taylor_3207	34.0	"""Certain pattern: Would human bad well machine really	 Drive news lay"""
Jessica Griffin	jessica_griffin_5123	50.0	"""Writer: Law himself	 Early"""
Carl Collins	carl_collins_1415	26.0	"""(Turn) 	 Teacher recognize and See enough join arrive participant"""
Jill Brown	jill_brown_2901	80.0	"""Tree try; Take street bar 	 Low also ok"""
Donna Anderson	donna_anderson_3094	33.0	"""Note: Worker five	 then Leg stay despite"""
