username	name	salary	remark
danielle_burke_7074	Danielle Burke	64.0	"""Lay couple; Indicate so example special big 	 Race"""
david_serrano_3655	David Serrano	58.0	"""Note: Agency create water another your	 then Movie"""
amber_rodriguez_5838	Amber Rodriguez	100.0	"""(Another political give rich executive east) 	 Cultural sometimes policy and Actually"""
angela_long_0115	Angela Long	22.0	"""Store else: Some environment one	 Describe soon idea"""
ronnie_collins_6912	Ronnie Collins	45.0	"""Work grow get; Including what opportunity 	 Production enter affect"""
daniel_rivera_0074	Daniel Rivera	15.0	"""Author that; Expect seat 	 Television practice down"""
pamela_hodge_9519	Pamela Hodge	35.0	"""Law sign together myself it; Common late sit happen three computer 	 Mother water result nearly I"""
christine_adams_1043	Christine Adams	43.0	"""Indeed factor	 Bag animal against spend Economic"""
walter_obrien_5260	Walter Obrien	11.0	"""Note: Board deep safe family campaign set	 then Herself side"""
kathleen_perry_9689	Kathleen Perry	50.0	"""Note: We few wish	 then Sort"""
amanda_peterson_0893	Amanda Peterson	41.0	"""Learn occur: If now establish compare friend wall	 Travel card watch today result"""
angela_bishop_8072	Angela Bishop	80.0	"""Day develop part; Middle east 	 Feel"""
susan_prince_4932	Susan Prince	79.0	"""Note: Per day nothing everybody	 then General shake decision officer"""
norman_smith_9126	Norman Smith	27.0	"""Institution soldier sea: Media myself bring reveal	 Artist executive they"""
vanessa_williamson_1396	Vanessa Williamson	17.0	"""They nearly piece smile; Eye chair 	 Play"""
gary_clark_8631	Gary Clark	1.0	"""Same beautiful people; Wind present process practice break 	 Happy"""
cynthia_little_4649	Cynthia Little	88.0	"""Action history	 Thing trip Write music"""
molly_garcia_5953	Molly Garcia	41.0	"""Put whatever	 Look use Ten fear else quite"""
laura_rodriguez_0331	Laura Rodriguez	70.0	"""Strategy somebody whatever charge; Feel news service 	 Left enter law number"""
james_hale_0147	James Hale		"""Center budget charge themselves clearly fire	 Send maintain Lose character"""
alicia_mcfarland_2461	Alicia Mcfarland	63.0	"""International per teacher	 Heart campaign Conference drop young"""
carlos_walker_0018	Carlos Walker	24.0	"""Business why specific	 Reflect Suffer minute nearly onto television"""
eduardo_valdez_8880	Eduardo Valdez	24.0	"""(Always face run) 	 Language station bit and Party food shake"""
james_hill_7157	James Hill	60.0	"""Community manager	 Send candidate everyone church million Executive figure"""
jessica_williams_6247	Jessica Williams	2.0	"""Realize out affect everything; Admit 	 Later decide into"""
keith_shelton_0855	Keith Shelton	6.0	"""Tax force analysis region	 Common Himself"""
cindy_hughes_9705	Cindy Hughes	82.0	"""Popular against station; Simply community beyond large wife lose 	 Note price"""
mr_smith_4618	Mr. Richard Smith	26.0	"""(Themselves capital) 	 Energy chair whom group and Help sound economy"""
ronald_duncan_4972	Ronald Duncan	39.0	"""Team whom help; Measure find style attack 	 Kind on"""
kimberly_diaz_3078	e	22.0	"""Voice senior season son: Water book how	 Section full yes hit same tonight"""
christine_gardner_3608	Christine Gardner	30.0	"""Its; Customer worry 	 Ok less discuss available because"""
devin_jones_9184	Devin Jones	83.0	"""Become not call	 Physical house Into now same partner"""
holly_lee_8305	Holly Lee	46.0	"""Note: Company	 then Science almost real expect avoid hand"""
