# This is a comment line to skip
username;total_count;score;remark
jose_kirby_6887;42.0;48.1;'''Until career; Start pressure after Stop note'''
sarah_rodriguez_2390;19.0;85.1;'''(Imagine social right student whom material) ; Part everyone on and Commercial bring use'''
angela_warren_1573;49.0;43.1;'''Note: Give picture position community; then Success fact value pick that boy'''
mrs_howell_7321;65.0;9.1;'''Note: Game; then Relationship summer'''
adam_johnson_7590;10.0;13.1;'''Many wait lead; Response apply speak ; Accept'''
michael_green_1683;99.0;38.1;'''(Reach research memory) ; Same number box and Carry'''
george_md_7867;81.0;38.1;'''(Up arrive) ; Three article and Forget place later bill'''
dominic_schultz_9856;5.0;80.1;'''Note: Affect upon; then Cultural close any'''
luke_hughes_7843;83.0;3.1;'''Performance child: Citizen poor drug; Voice decision sing side'''
megan_morris_2669;90.0;3.1;'''(Stock my big) ; Challenge PM individual nation and For kind must'''
hector_barker_8110;44.0;68.1;'''(Notice truth) ; Hotel data and Artist be'''
rhonda_spears_0882;94.0;77.1;'''(Beat sort) ; Why notice concern and Example per billion employee until serious'''
ashley_russell_7682;93.0;59.1;'''Note: Movie fine such audience; then Partner something station'''
sharon_campbell_9318;42.0;20.1;'''Adult; Red quality Congress main particularly'''
stanley_king_5905;76.0;75.1;'''Defense night able discussion: Interview by; Particular eat'''
alexander_mendoza_5264;62.0;68.1;'''Note: Soon another; then Another TV'''
phillip_patton_4427;60.0;69.1;'''Rest hard; Free offer easy idea Four'''
mark_simpson_2028;20.0;77.1;'''(Public create realize surface) ; House serve claim certainly eat and Pm'''
frank_newman_3743;60.0;55.1;'''Upon indeed magazine friend; Card Thank remain'''
evan_thompson_0328;50.0;92.1;'''Leg long; Foot Moment purpose thus force agreement'''
jennifer_reyes_8162;81.0;64.1;'''(Describe interesting computer phone) ; Magazine and Son discuss assume somebody'''
mr_parks_2210;94.0;79.1;'''Truth water; Paper This seven'''
manuel_craig_3080;;97.1;'''In: Scientist street few recognize culture onto; Discover'''
barbara_house_1970;7.0;44.1;'''Serious or tough western help head: Open analysis gas; Shoulder there'''
kendra_dds_7096;61.0;59.1;'''Himself have: Vote later his create; Shoulder dinner relationship'''
chris_king_5817;26.0;76.1;'''Evening enter; Message safe ; American treat only'''
brandon_jackson_6459;57.0;100.1;'''Bring; Husband several call ; Type girl crime doctor'''
thomas_arnold_7152;23.0;27.1;'''(End president life writer white) ; Record off and Personal example really'''
melinda_smith_0938;63.0;67.1;'''Song; Scene after Because deep'''
krista_fields_7261;38.0;97.1;'''(Study prepare rock kind) ; Another and Effort race'''
justin_weaver_9134;56.0;3.1;'''(Way) ; Government carry discover and Investment baby'''
cynthia_paul_1734;91.0;;'''Cut detail opportunity five doctor; Concern century trial Yourself weight style husband'''
joshua_johnson_2133;92.0;42.1;'''Oil claim: Rate concern pretty town move once; Artist task put'''
krystal_english_3348;10.0;12.1;'''Which dark: Front nice old; Building management'''
travis_howard_3049;21.0;35.1;'''Recently should play; Manager Protect coach director entire president'''
traci_navarro_3821;76.0;41.1;'''(Pass discuss) ; Without campaign and Field present bar half Congress'''
annette_vance_8983;91.0;98.1;'''Reason; Tonight experience ; Set including live guy'''
amy_booker_1654;41.0;93.1;'''Night stay single; Especially single ; Simple including system'''
parker_hardy_2280;32.0;9.1;'''Sign set: Song fall; Address catch happen'''
mark_martinez_0869;86.0;5.1;'''Prepare trouble: Describe series record create keep; One soldier general face eat'''
