username;name;salary;total_count;rating;summary
leah_murphy_3519;Leah Murphy;81.0;36.1;4.2;'''Ducimus corporis beatae; Numquam Perferendis sit'''
grace_evans_1832;Grace Evans;82.0;60.1;42.2;'''Officiis ex cupiditate; Aspernatur esse alias ; Facilis provident'''
anthony_hall_9823;Anthony Hall;69.0;89.1;30.2;'''Quis dolor iste nemo doloremque perferendis; Sapiente adipisci velit ; Laudantium incidunt ipsum corrupti'''
wendy_cooper_3946;Wendy Cooke-Cooper;70.0;52.1;17.2;'''Possimus quasi expedita; Quisquam ; Ea dolorem fugit sapiente'''
bradley_davis_0995;Bradley Davis;;13.1;5.2;'''(At odio sint) ; Rem and Sunt doloremque'''
dr_taylor_5227;Dr Wayne Taylor;26.0;87.1;99.2;'''Exercitationem nihil ullam iste; Placeat assumenda non enim quidem quas Pariatur soluta'''
dr_donnell_2359;'Dr Martyn O''Donnell';24.0;70.1;20.2;'''Note: Inventore expedita; then Commodi soluta'''
kieran_williams_0034;Kieran Murray-Williams;81.0;8.1;66.2;'''Deserunt et; Aliquam itaque magnam Error dolor'''
arthur_taylor_6729;A;5.0;81.1;;'''Corrupti sit cupiditate voluptatem; Quibusdam veniam Pariatur dignissimos'''
dr_allan_6367;Dr Nathan Allan;95.0;45.1;50.2;'''Earum aspernatur; Occaecati Sit inventore rerum impedit'''
sophie_mills_1068;Sophie Mills;98.0;10.1;36.2;'''Note: Impedit; then Praesentium iusto dignissimos'''
mr_morrison_1612;Mr Damian Morrison;13.0;55.1;61.2;'''(Voluptatum) ; Voluptas eligendi ipsum explicabo ipsum and Quod'''
suzanne_andrews_4735;Suzanne Andrews;85.0;42.1;59.2;'''Nulla quas; Dolorem deleniti deserunt distinctio Iure'''
damian_lawson_5658;Damian Lawson;48.0;;62.2;'''Nulla porro aliquam; Iure quaerat doloremque impedit temporibus Necessitatibus dolorum veniam'''
eric_wade_1758;Eric Wade;3.0;59.1;90.2;'''(Tempora) ; Nemo distinctio reiciendis and Eligendi corrupti voluptatem quibusdam'''
lucy_glover_9204;Lucy Glover;70.0;5.1;18.2;'''Illum esse: Illo magnam; Eaque facere'''
stacey_rogers_6118;Stacey Rogers;43.0;23.1;45.2;'''Nobis ea exercitationem sint: Corporis; Aliquid odio excepturi sunt maxime'''
mr_patel_0093;Mr Benjamin Patel;41.0;32.1;83.2;'''Facere sint eveniet; Cumque Voluptate eveniet ullam magni'''
dr_chan_8607;Dr Bruce Chan;83.0;38.1;64.2;'''Recusandae pariatur iste occaecati; Adipisci et voluptatibus Magni repellat nulla'''
anne_hancock_0720;Anne Hancock;90.0;45.1;9.2;'''Nemo; Sapiente sequi eos Corporis'''
diane_evans_8365;Diane Townsend-Evans;74.0;50.1;67.2;'''Note: Porro; then Reiciendis id libero necessitatibus'''
dr_jones_4335;Dr Sheila Jones;62.0;67.1;67.2;'''Hic; Numquam itaque mollitia Numquam non quidem reiciendis quos'''
