# This is a comment line to skip
name,username,price,age,score,summary
x,anna_whitehouse_8651,75.0,39.1,74.2,"""Enim esse: Deserunt corporis ducimus, Expedita fugiat eius modi ipsam commodi"""
Mrs Karen Warren,mrs_warren_7724,51.0,55.1,20.2,"""(Optio mollitia) , Autem omnis and Quam nam autem ea ad"""
Shirley Austin-Carr,shirley_carr_7345,56.0,34.1,9.2,"""Adipisci dolore perspiciatis sint nisi eveniet, Nemo adipisci nulla facilis Nemo voluptates aliquam"""
Ms Hannah Willis,ms_willis_7179,17.0,44.1,96.2,"""Eligendi itaque corporis sit, Vitae Sequi molestias inventore doloremque"""
Sally Clarke,sally_clarke_9428,35.0,20.1,82.2,"""Eum eveniet, Facere similique qui Perferendis sint magnam tempore"""
Frank Martin,frank_martin_5203,23.0,18.1,39.2,"""Nulla occaecati, Illum eius Voluptas ipsum nostrum doloremque ab"""
Miss Chloe Brown,miss_brown_2111,36.0,11.1,29.2,"""Note: Architecto aspernatur ipsam dolorum fugit minima, then Sunt"""
Graham Jordan,graham_jordan_9020,4.0,54.1,46.2,"""Vero veritatis eum amet fugiat; Nostrum fugiat provident , Hic ut esse nisi"""
Suzanne Elliott,suzanne_elliott_5805,74.0,9.1,62.2,"""Note: Harum, then Ad totam"""
Stephen Read,stephen_read_6782,42.0,54.1,14.2,"""Maiores in omnis; Velit ad , Corporis autem"""
Linda Bryant,linda_bryant_9433,91.0,39.1,93.2,"""Rem, Libero voluptas Hic hic at blanditiis possimus"""
Samuel Wright,samuel_wright_1112,85.0,44.1,28.2,"""Mollitia maiores asperiores impedit, Est cum Dolorum est"""
Maurice Ward-Harper,maurice_harper_7404,52.0,44.1,78.2,"""(Nobis quasi nesciunt inventore) , Voluptas vero iste sit and Tempora earum amet"""
Mrs Nicola Akhtar,mrs_akhtar_7179,61.0,4.1,81.2,"""(Nobis voluptates explicabo laudantium) , Rerum quam doloremque iure and Illo vitae"""
Dr Richard Skinner,dr_skinner_7452,,,60.2,"""(Recusandae adipisci incidunt animi) , Aspernatur nihil provident and Unde doloremque"""
Miss Hilary Palmer,miss_palmer_9450,9.0,13.1,53.2,"""Architecto sit error sint ea quasi illum: Impedit, Assumenda ipsum"""
Gavin Parker,gavin_parker_4904,50.0,89.1,68.2,"""(Aperiam laboriosam incidunt adipisci consequuntur ad) , Atque natus maiores iure and Similique velit iste perspiciatis possimus placeat"""
Robin Barker,robin_barker_4219,11.0,79.1,58.2,"""In vel: Nisi expedita possimus expedita, Ipsam rerum"""
Jonathan Clarke,jonathan_clarke_6781,6.0,92.1,,"""Esse: Illum assumenda illo molestiae dolorum, Eveniet accusamus minus"""
Francesca Price,francesca_price_9004,58.0,71.1,8.2,"""Note: Facere rerum ex, then Sequi ipsum aliquid"""
Gareth Payne-Powell,gareth_powell_4657,55.0,77.1,77.2,"""Quaerat impedit illum quaerat: Harum aliquam, Culpa porro ipsa architecto"""
