# This is a comment line to skip
username,score,age,total_count,description
jon_walker_5065,41.0,38.1,86.2,"""Board reduce support actually project organization, Model Read election"""
joel_perez_8555,30.0,38.1,12.2,"""(Cause north explain) , Speech dark president and Hard play"""
michelle_nelson_8295,21.0,75.1,61.2,"""Note: Hope throughout page college matter team, then Food position two"""
sean_jackson_6393,16.0,26.1,29.2,"""Red big evidence, Summer minute modern population Central statement sport"""
barbara_smith_7330,35.0,97.1,8.2,"""(State analysis way) , Senior fight and Few parent PM race role cup"""
john_smith_8633,39.0,21.1,7.2,"""On accept history doctor, Get little Set successful meeting"""
emily_cardenas_6034,3.0,29.1,78.2,"""Meet opportunity forward eight; Yet dark , However whole thing group"""
lisa_jones_3251,49.0,81.1,61.2,"""Real; Just focus authority ten , Face"""
aaron_leonard_1490,20.0,58.1,80.2,"""(Hundred) , Sea describe and Wish feeling management present section"""
jamie_palmer_0505,54.0,,44.2,"""(Near so prove) , Without and Between"""
tyrone_king_0219,6.0,17.1,47.2,"""Note: Clearly team, then Keep then herself defense recent under"""
holly_gomez_2850,62.0,90.1,47.2,"""Note: Effect personal season board, then Central many right"""
james_nicholson_8664,47.0,5.1,50.2,"""(Source song) , Purpose catch and And laugh military staff fund"""
amber_stephens_3929,94.0,97.1,25.2,"""Case follow various boy, Agency find book Address"""
brittany_rodriguez_6201,20.0,71.1,85.2,"""Window, Never attention than five Measure"""
john_mcclure_8363,60.0,67.1,21.2,"""Note: Itself support if produce total, then More future"""
dr_brown_5701,95.0,12.1,60.2,"""Note: Last work rate, then Side property"""
amy_ruiz_0424,79.0,11.1,30.2,"""Society should probably according feeling among; All them use , Street country blood"""
jonathan_burke_0679,3.0,1.1,1.2,"""Goal window pretty: Maybe tax every, Various"""
hannah_parks_7741,43.0,11.1,23.2,"""Event buy guess smile, Figure should sign Time play order thank"""
spencer_rivera_2257,56.0,5.1,98.2,"""Note: Option serve, then Level leader"""
dustin_jackson_1949,31.0,64.1,85.2,"""Note: Send what soon friend low, then Organization young chair movement girl"""
katherine_pierce_5953,93.0,32.1,26.2,"""(Remember recognize) , Audience town Republican and Particular blood"""
leonard_warren_3906,14.0,23.1,77.2,"""International teacher baby, Police already Member article act"""
sonya_gray_0793,1.0,54.1,98.2,"""Myself point owner get risk; Whatever project , Design newspaper those"""
benjamin_carter_5221,78.0,40.1,100.2,"""(Machine other) , Physical and Themselves edge low indeed"""
elizabeth_lewis_0559,57.0,58.1,92.2,"""(Key close class) , Wall and Me information them price within"""
jill_smith_7398,80.0,54.1,61.2,"""Add seat field manage bad, Common air somebody recently Hair"""
ernest_holmes_5494,4.0,32.1,96.2,"""(Drug rest) , More and Religious girl economic blue"""
emily_jones_6738,40.0,39.1,46.2,"""Power number get; Wish identify , Low receive other"""
glenn_thompson_4501,75.0,29.1,90.2,"""Operation main, Look hard PM give meeting western Even inside writer"""
victoria_vazquez_3796,76.0,41.1,23.2,"""(Again child) , Green tree and Player"""
tyler_vasquez_0585,17.0,71.1,,"""Walk especially site reality right; Off yard rest activity , Decision line specific increase"""
michael_nelson_2805,4.0,46.1,9.2,"""Note: On prepare, then Face"""
lawrence_robbins_7563,2.0,31.1,15.2,"""(Section score avoid write) , Response week and Pattern debate strong thought win"""
william_dyer_0455,12.0,27.1,74.2,"""Part: Give create, Avoid"""
jason_wood_6903,54.0,10.1,38.2,"""Note: National state many, then During every second method example"""
linda_cruz_7397,31.0,54.1,68.2,"""Really evidence soon; No , Wind defense audience site probably"""
sandra_young_0428,,96.1,50.2,"""Note: Authority try, then This sort own list hour"""
andrew_nichols_9435,17.0,81.1,50.2,"""Many not; Anyone well Congress use , Weight"""
brian_meyer_7440,5.0,37.1,47.2,"""(Peace) , Choose cup development and Reflect attention source"""
wanda_thompson_4971,68.0,27.1,57.2,"""Note: Like rock, then Sister"""
