# This is a comment line to skip
username	name	rating	score	age	message
patricia_garcia_7380	Patricia Garcia	62.0	33.1	92.2	"""Note: Dream story	 then One"""
jeremy_olson_4551	Jeremy Olson	55.0	20.1	72.2	"""Another report less measure: Yeah character grow hold month	 Describe rich give owner"""
jason_yates_7409	Jason Yates	98.0	91.1	26.2	"""Paper wide wife step: Improve hand hit claim	 Sell least high live radio"""
jeanette_hernandez_9637	Jeanette Hernandez	79.0	49.1	65.2	"""Note: Alone continue against	 then Recently many race same out last"""
teresa_burns_7018	Teresa Burns	13.0	86.1	84.2	"""Continue easy paper; Management treatment 	 Most nice election war"""
geoffrey_sharp_8385	Geoffrey Sharp	35.0	61.1	13.2	"""Right: Force seven view today mind reduce	 Similar"""
kathy_brown_8973	Kathy Brown			51.2	"""Note: Age stand before	 then Forget chair"""
steven_valdez_4952	Steven Valdez	76.0	63.1	67.2	"""Design federal soldier: Would keep law	 Sound character song"""
elizabeth_fleming_7412	Elizabeth Fleming	94.0	47.1	80.2	"""Somebody: Hair their	 Book likely operation"""
christine_reeves_6237	Christine Reeves	26.0	7.1	28.2	"""(Trip democratic body sell take) 	 Tv might yet sort and Shake leg before"""
bryan_aguirre_7106	Bryan Aguirre	57.0	55.1	82.2	"""Message standard relationship; Community physical 	 Class agreement evidence subject"""
angela_dds_6993	Angela Brown DDS	96.0	48.1	5.2	"""Note: Send	 then Firm community"""
taylor_burch_3291	e	50.0	60.1	92.2	"""Early effect performance consumer: Anyone manager	 My ready"""
gregory_simpson_5805	Gregory Simpson	57.0	38.1	50.2	"""Budget similar about cut beautiful: Product	 Often prove car beat conference"""
alexandra_meadows_5770	Alexandra Meadows	52.0	58.1		"""Note: Full reach	 then Owner page site need"""
pamela_munoz_8001	Pamela Munoz	29.0	26.1	60.2	"""Able agent	 Involve Way after"""
michelle_coleman_0783	Michelle Coleman	61.0	95.1	58.2	"""Note: Scientist new rule wife real	 then Fall cover forget"""
steven_hicks_6902	Steven Hicks	34.0	12.1	38.2	"""Year top; Magazine morning economy nation 	 Trouble compare approach"""
dr_miller_3745	Dr. Karen Miller	86.0	85.1	55.2	"""Participant moment suffer thank young	 Experience glass us exist serve glass Future pay authority"""
karen_schroeder_9663	Karen Schroeder	56.0	43.1	92.2	"""Note: Arm	 then Hit head expect close"""
