username;name;rating;score;remark
michelle_tucker_6064;Michelle Tucker;67.0;23.1;'''(A) ; Delectus and Ipsam dolor consequuntur'''
mr_taylor_1206;Mr Neil Taylor;53.0;32.1;'''Note: Alias; then Assumenda dolores temporibus quia id'''
emily_cox_0336;Emily Brown-Cox;20.0;60.1;'''Note: Deserunt; then Ex cum officia'''
beverley_read_6628;Beverley Jones-Read;30.0;47.1;'''(Quaerat voluptatem corporis occaecati laudantium) ; Adipisci magni and Quas blanditiis in'''
aimee_hutchinson_7890;Aimee Hutchinson;22.0;61.1;'''Rem: Hic fuga beatae deleniti; Quasi velit doloremque ratione'''
geraldine_webb_3574;Geraldine Webb;90.0;64.1;'''Note: Incidunt ducimus error adipisci quibusdam; then At sequi earum'''
rosemary_harris_4127;Rosemary Barnes-Harris;75.0;92.1;'''Ut sequi; Iste Dolores fugiat neque'''
dr_carter_4308;Dr Neil Carter;81.0;10.1;'''Autem amet voluptatem earum: Itaque; Modi minus ratione delectus ut quidem'''
dylan_harris_2664;Dylan Harris;57.0;100.1;'''Provident dolor repellendus; Blanditiis laboriosam Sit quos'''
dr_marsh_9717;Dr Shannon Marsh;77.0;;'''Quod; Nesciunt eligendi mollitia Nobis odio error amet'''
megan_scott_5768;Megan Scott;47.0;70.1;'''Note: Consequatur; then Facilis soluta magni'''
ms_lawson_2863;Ms Josephine Lawson;15.0;37.1;'''Ea culpa perferendis; Mollitia voluptatum ; Quidem corrupti aliquid voluptatum nihil'''
graeme_jennings_7643;Graeme Jennings;38.0;40.1;'''Sunt id: Reprehenderit dolore; Magni commodi'''
mr_barry_8726;Mr Guy Barry;77.0;71.1;'''(Esse voluptates quasi) ; Eum and Minima quasi hic aut'''
lisa_neill_2998;'Lisa O''Neill';33.0;76.1;'''Optio: Eius nam similique; Perferendis quia'''
dr_jackson_7252;Dr Conor Jackson;9.0;48.1;'''(Maiores nobis) ; Ipsa nesciunt and Sapiente autem impedit'''
stuart_smith_9020;Stuart Smith;5.0;12.1;'''(Dolor molestias) ; Animi molestias and Similique tempora ad illo ut'''
mr_pratt_2264;Mr Charles Pratt;20.0;91.1;'''Note: Ipsum cum iusto; then Ratione aliquid alias'''
mr_read_5202;Mr Tony Read;20.0;96.1;'''Porro veniam sapiente; Tenetur aliquam alias Ratione impedit'''
antony_freeman_3185;Antony Freeman;20.0;29.1;'''(Voluptate error quibusdam) ; Nemo doloremque dicta voluptas and Exercitationem'''
dr_watkins_9064;Dr Simon Watkins;35.0;88.1;'''In soluta: Ab necessitatibus quis; Esse'''
kate_hill_0778;Kate Hill;89.0;14.1;'''Note: Impedit; then Aperiam similique iusto dignissimos amet'''
charlie_king_3752;o;;78.1;'''Quibusdam omnis enim: Eaque pariatur vero; Labore esse excepturi reiciendis veniam'''
