# This is a comment line to skip
username,name,score,age,price,note,review
jessica_griffith_5724,Jessica Griffith,42.0,7.1,52.2,"""Note: Fine why enjoy rich so, then Study return make suddenly final""","""North will: Again, Response fund development truth"""
mary_garcia_8692,Mary Garcia,57.0,94.1,4.2,"""Though picture least: Economic boy stand can father, Defense check read""","""Admit, News onto Color just through carry safe"""
john_griffin_6374,John Griffin,2.0,38.1,25.2,"""Note: Available media small can, then Paper think occur""","""Accept suffer; Personal single leg arm , Visit forward next people"""
cynthia_clark_0099,Cynthia Clark,66.0,100.1,64.2,"""Seem citizen partner station draw: Institution here, Air various performance""","""(Section painting concern government) , Police available around economy baby public and Matter newspaper no"""
christopher_williams_3170,Christopher Williams,66.0,82.1,63.2,"""Make: Effect do carry, Physical school""","""(Nothing) , Think standard citizen and Idea knowledge entire"""
madison_soto_2644,Madison Soto,44.0,86.1,40.2,"""Program, Stock fill Movie effort who magazine""","""Note: Since remember, then Common though race ground explain despite"""
maria_page_6612,Maria Page,50.0,95.1,85.2,"""Fall well rate: Learn computer field item food, World himself""","""Never become black situation; Suggest early possible picture , Professor music"""
jordan_beck_3260,Jordan Beck,65.0,55.1,57.2,"""Note: Feel idea dark adult, then South star series management north""","""Take court into, Begin bring Tax difference focus north must"""
natasha_parker_4068,Natasha Parker,,33.1,21.2,"""Describe thing structure: Care woman catch focus nation, Trial very difference ago""","""Heart, However artist May player force whom"""
randall_park_1682,Randall Park,1.0,,87.2,"""Often than letter third, Game mean land Cut discuss painting source she enter few""","""Air material agreement change receive: Partner, Just media leave subject way"""
kyle_price_9662,Kyle Price,77.0,4.1,63.2,"""Bit state arrive: Good, Study exist improve""","""Personal should: Body cover, Decade consumer"""
jessica_clements_1430,Jessica Clements,57.0,48.1,36.2,"""Entire may around so though; Safe training , Spend born sell""","""Fire; True how such approach , Bad social"""
david_barry_8439,David Barry,62.0,95.1,23.2,"""Trip main sometimes; Might green somebody , Development arm crime operation thousand try""","""Within, Begin chair exist per Movie"""
charles_simmons_1346,Charles Simmons,42.0,33.1,2.2,"""Heavy; Data blue political , Bring""","""Administration wife capital economy be, Apply central amount owner argue Friend father guy either"""
alicia_odonnell_3996,Alicia Odonnell,44.0,78.1,74.2,"""Note: Dog three drop investment, then Forget available name""","""Note: Join air in ahead no, then Front"""
benjamin_gilmore_1287,Benjamin Gilmore,27.0,50.1,49.2,"""Stop course discussion: Pass trip his, Thousand speak player boy vote""","""While stop south push society beautiful; Rest despite any structure , Glass action expect"""
andrew_ross_0868,Andrew Ross,80.0,31.1,73.2,"""Town this; Right rest cold north , Begin still medical""","""(Thousand shoulder phone) , Method while north and Street relate series"""
raymond_robinson_3777,Raymond Robinson,70.0,93.1,8.2,"""Degree serve billion; Never feeling middle whatever southern , Mother international""","""Treatment how; Town order thought , Guess only institution seem"""
john_martinez_2567,John Martinez,77.0,39.1,,"""Else movement enough against: Result fight able, Reality stock push""","""(Call approach close exist) , Reveal and Finish"""
lance_williams_7451,Lance Williams,80.0,68.1,25.2,"""Note: Food scene, then Old ball country at""","""Mention class ago production step oil: Seat effort heart us, Position"""
jennifer_armstrong_8472,Jennifer Armstrong,90.0,17.1,100.2,"""(Various center marriage politics) , Person article and Entire million real allow""","""Note: Choose, then Commercial"""
russell_fuller_9027,Russell Fuller,7.0,53.1,78.2,"""(Most second commercial) , Add save how and Collection""","""Clearly evening media enough; Mind who character station , Live"""
jennifer_sanchez_7912,Jennifer Sanchez,96.0,39.1,43.2,"""Involve build product: Agreement reflect other, Yeah assume""","""Bank one too whole manage: Know event each husband way book, Democrat some turn across"""
hector_malone_9526,Hector Malone,72.0,4.1,59.2,"""Job pretty; Most compare name analysis movement , Administration wife cost high cause kitchen""","""Program single: Employee, Heart opportunity morning me ready"""
robert_jones_3183,Robert Jones,54.0,47.1,31.2,"""Arrive benefit father, Manager finally most have Suggest expert""","""Mention bad, Entire service People may economic"""
mr_green_2920,e,76.0,64.1,47.2,"""Old magazine bank east loss his; Store son sure , Town better""","""Only speech; Area voice , Sister Mr pressure dark"""
tracey_collier_9953,Tracey Collier,20.0,98.1,87.2,"""Note: Their over candidate important available, then Newspaper imagine""","""Student: Everyone machine well, Once who positive"""
chad_smith_8907,Chad Smith,18.0,18.1,51.2,"""Public music; Go level audience , Up son""","""Note: Term rule television, then Actually likely determine guess where population"""
kristin_oconnor_6967,Kristin Oconnor,72.0,40.1,36.2,"""(Fear market report establish) , Green under and Allow""","""Certainly: Within smile first, Radio build"""
raymond_kent_4209,Raymond Kent,11.0,78.1,6.2,"""The, Chair thus Wait tax call seek""","""Own body system late, Mr last policy Debate put"""
jacob_hansen_7564,Jacob Hansen,77.0,9.1,38.2,"""Score leg, Worker idea By""","""Election on even: Father also understand, Base shake"""
