# This is a comment line to skip
username;name;age;price;total_count;note
samantha_silva_5399;Samantha Silva;49.0;13.1;87.2;'''Line city where certain; Safe Learn particular'''
colin_evans_1065;x;;;26.2;'''Billion create sense deep particular; Clear food bring Mother case ground'''
randy_perez_9211;Randy Perez;8.0;26.1;23.2;'''(Buy some relationship ever treat sea) ; Test hospital and Partner'''
jennifer_caldwell_0503;Jennifer Caldwell;22.0;98.1;12.2;'''Still; Bill order ; Especially final watch purpose support space'''
alicia_thomas_0963;Alicia Thomas;42.0;65.1;15.2;'''Note: Quickly suddenly; then Think ready'''
juan_welch_4794;Juan Welch;47.0;11.1;9.2;'''Nice leader; Simple cell Than town'''
karen_jacobs_5293;Karen Jacobs;71.0;60.1;56.2;'''Nearly too capital right; Onto ; Nor under'''
kimberly_olson_2891;Kimberly Olson;36.0;83.1;;'''Note: Bring begin; then Officer personal'''
melissa_allen_4560;Melissa Allen;88.0;95.1;67.2;'''(West can look) ; True help and Data consumer heart necessary'''
dylan_carter_3290;Dylan Carter;49.0;66.1;29.2;'''Property brother interest; Ever their mouth Cell'''
juan_rice_4433;Juan Rice;83.0;35.1;56.2;'''Capital which in against keep; The front program teach ; Medical war exist order new'''
james_howell_0426;James Howell;79.0;86.1;27.2;'''Turn serious three; Almost job look Age begin treatment'''
alexandra_king_5573;Alexandra King;1.0;58.1;35.2;'''(Your international those model throw cause) ; Yourself positive and Front mother surface from'''
cody_lopez_5896;Cody Lopez;62.0;94.1;94.2;'''Long grow; Build truth ; Her follow'''
tina_miller_4845;Tina Miller;34.0;96.1;75.2;'''Range better: Law chair another already your less; Soldier huge'''
michelle_maldonado_4439;Michelle Maldonado;31.0;2.1;37.2;'''Product begin store: During avoid; Those knowledge'''
brendan_holland_1016;Brendan Holland;87.0;84.1;34.2;'''Know chair central; Believe water ; Center bed believe'''
heather_patton_5113;Heather Patton;62.0;82.1;24.2;'''Note: Set imagine speak beyond; then Song note analysis only task stand'''
joseph_smith_4156;Joseph Smith;23.0;88.1;34.2;'''(Particularly) ; Knowledge sister and Off major consider by'''
natasha_white_7008;Natasha White;94.0;12.1;22.2;'''Travel product mouth spend possible; History toward indeed always Nice'''
