# This is a comment line to skip
name;total_count;score;age;summary;comment
Jason Christensen;6.0;99.1;74.2;"""Commercial; Include these himself Real assume""";"""Mother forward require because high; Suffer enter Able phone"""
Daniel Thornton;87.0;60.1;91.2;"""(Wife central) ; Save compare and Face media fast outside""";"""Sense; Across lawyer last language ; Above from"""
Amanda Farmer;88.0;10.1;;"""Worry teacher reduce; Light water There interesting up last""";"""Note: Race appear pretty; then Executive"""
Paul Reynolds;74.0;57.1;8.2;"""Unit threat value speak; Quite method Control measure high practice water""";"""Bill design: End keep; The month"""
Robert Joseph;66.0;72.1;44.2;"""Financial apply behind particular: Computer catch society; Bad investment film crime buy""";"""Note: Best all challenge too start; then Exist cold"""
Jennifer Colon;70.0;70.1;30.2;"""Over live suffer; While strong begin interest ; Popular member tend difficult""";"""Education sit for talk film fast; Heavy ; Something little"""
Adam Diaz;92.0;51.1;11.2;"""(Themselves do likely month couple) ; Fight right hospital job boy and Spring professional sound""";"""Answer example; Drug society idea Congress character bring ; Charge pretty model"""
e;16.0;13.1;4.2;"""Action under central cup medical whose; Candidate remain can ; Born bad experience""";"""Off happy sometimes its; Sit buy two garden factor ; Report reach"""
Dana Newton;;11.1;14.2;"""(Let economy identify) ; Man service others and Make surface always""";"""(Treatment fine these) ; Instead doctor once bank and Attack a according bad plant yet"""
Victoria Ibarra;2.0;;97.2;"""Officer night fall list; Bank owner place once ; Visit son be""";"""Campaign last product; She different author ; Report control west suffer"""
Marcus Romero;28.0;95.1;8.2;"""(Difficult audience back exist fine) ; For image and Among source specific""";"""It; Movement positive clear goal deal Trade sure sound clearly social"""
Juan Shaw;32.0;74.1;23.2;"""Indicate first he dream; Discuss seem southern second a Participant at""";"""Note: Sister; then Institution these pass like most after"""
John Owens;69.0;24.1;31.2;"""Note: Knowledge; then Worry read full between week""";"""Travel same; Two really without area term week Across"""
Mindy Brown;23.0;33.1;60.2;"""Before public: That language power; After claim""";"""Reduce; Spend peace Policy building"""
Abigail Murillo;57.0;75.1;70.2;"""Note: Important by here food treat close; then Nor key""";"""None center war high; Group make magazine ; Similar fine around family"""
James Miller;65.0;70.1;8.2;"""Walk cup ball operation; Color artist loss film ; Hold bring design another draw""";"""(Camera certainly assume class) ; Player federal and Grow bring past somebody fish public"""
Francisco Perry;10.0;62.1;96.2;"""Note: Resource hard turn; then Rather""";"""(Talk) ; Seek yard and Congress can"""
Mary Hernandez;98.0;40.1;73.2;"""(Position ready enough) ; Defense toward remember and Physical accept concern""";"""Its between individual will nature interview; Together population adult first ; In response"""
Caitlin Parker;47.0;89.1;29.2;"""Off: Particularly young; Fill toward""";"""(Political) ; Animal career and Stop partner car stock"""
Margaret Chaney;77.0;16.1;82.2;"""Sign effect impact pass husband: Else nation now; House bag action""";"""Between: Year on; Magazine medical"""
Amy Kemp;73.0;80.1;21.2;"""Decide Mrs part listen: Voice little; Happy reality""";"""Note: Admit attorney produce; then Policy conference majority finish book"""
