name,price,total_count,salary,comment
Debbie Medina,95.0,41.1,50.2,"""Turn strategy test and, Key character Dream near"""
Diana Williams,7.0,19.1,83.2,"""Note: South whole, then Wide break"""
Danielle Dixon,45.0,5.1,,"""(Price sell) , With TV evening region newspaper talk and Law sell like probably"""
Dakota Sims,70.0,60.1,88.2,"""Assume send: Idea, Look control approach"""
Susan Neal,47.0,57.1,66.2,"""Human both, Term these Explain fine tonight investment bit coach"""
Kevin Cunningham,29.0,,89.2,"""Note: Charge generation add, then Behind ground plan role choose western"""
A,90.0,57.1,49.2,"""Top push, Southern now among contain Goal"""
Christopher Pitts,56.0,93.1,96.2,"""Note: Car, then Environmental"""
Amanda Rivera,,26.1,1.2,"""Pay activity, Check ok dinner Institution then sure born husband"""
Lauren Sanchez,31.0,45.1,81.2,"""Note: Author modern might, then Relate hundred religious candidate five"""
Scott Tran,90.0,33.1,67.2,"""Note: Brother world, then Will specific draw involve"""
Phillip Reeves,52.0,85.1,7.2,"""(Itself) , Food summer seem and Management interesting seat party"""
Casey Reese,53.0,61.1,61.2,"""By lay area foot eat, Eye listen Common"""
Gina Rodriguez,54.0,52.1,41.2,"""Note: Better fight group, then Perhaps program approach may nice"""
Samuel Hooper,53.0,35.1,13.2,"""Note: Painting choice, then Personal seek"""
James Frank,4.0,79.1,40.2,"""Put kitchen: Everybody under hair, Point shoulder"""
Jennifer Navarro,45.0,19.1,12.2,"""Note: Service sport explain small four cultural, then For four fund"""
James Collins,34.0,44.1,99.2,"""(Let provide lawyer reduce similar trial) , Value happen green probably and Actually site race"""
Wesley Logan,44.0,14.1,34.2,"""Pressure official impact conference: Congress modern I, Including put a"""
Miss Carla Frost,79.0,17.1,65.2,"""Painting: Later, Majority three we stage hotel drug"""
Ashley Zimmerman,75.0,38.1,73.2,"""Note: Fly moment reflect admit, then Focus center finish oil"""
George Patel,80.0,69.1,13.2,"""Total campaign; Structure long fly risk test , Word high local"""
Wendy Burns,38.0,85.1,13.2,"""Lay help public soldier: Technology there in, Administration born floor"""
