username;name;total_count;comment;note
rachel_walker_3177;Rachel Walker;;"""Dolores ipsa et; Possimus quae ullam ; Id animi unde vero ad""";"""(Quas similique) ; Minima consectetur praesentium iure and Dolorem repudiandae"""
mrs_barker_2833;Mrs Patricia Barker;55.0;"""Note: Earum; then Sint sit""";"""(Voluptatibus placeat) ; Enim dolore and Dicta nesciunt repellendus"""
joanne_arnold_0848;Joanne Arnold;13.0;"""Enim atque; Esse recusandae veritatis accusantium ; Quo at cumque""";"""(Quo deserunt sequi) ; Possimus id iste and Consequuntur"""
lynn_watson_3675;Lynn Watson;7.0;"""Perferendis voluptatem cum iste doloribus unde: Excepturi hic quae; Excepturi modi""";"""Ullam cum illum quibusdam; Sint ; Inventore repellendus aspernatur"""
donna_donnell_5644;Donna O'Donnell;73.0;"""Molestiae quo nesciunt aut eaque maiores voluptas: Debitis ducimus; Odit deleniti""";"""Iusto aspernatur minima quo; Consequuntur provident debitis Numquam dolores illo"""
mr_chapman_7872;Mr Elliot Chapman;96.0;"""Note: Saepe ut; then Consequuntur id""";"""Fuga tempore neque magni; Quos fugiat Est quaerat nisi optio"""
eric_frost_2364;Eric Frost;86.0;"""Note: Ad qui laborum; then Nobis nihil distinctio""";"""(Itaque quae fugiat) ; Deleniti voluptatem aspernatur and Rerum accusantium"""
dr_poole_7785;Dr Kelly Poole;6.0;"""(Consequatur fuga) ; Excepturi minus necessitatibus and Fugiat illum modi totam""";"""Note: Nihil animi sed magnam; then Quod amet"""
lesley_nolan_6106;Lesley Nolan;48.0;"""Note: Doloremque deserunt numquam tenetur magnam vero; then Vel ipsam perspiciatis blanditiis aspernatur laboriosam""";"""Labore nostrum voluptatum nulla; Nulla perspiciatis ; Quisquam amet eius sed voluptatum"""
dr_khan_2074;Dr Josh Khan;6.0;"""Facilis: Quo nostrum aspernatur; Ea ea nisi""";"""Note: Assumenda facere at; then Occaecati quam quos"""
mr_gray_5450;Mr Robin Gray;30.0;"""Note: Sapiente rem hic consectetur natus; then Adipisci doloribus saepe tempora""";"""Note: Quam adipisci; then Tempora officia quibusdam provident"""
ms_webb_9509;Ms Sally Webb;73.0;"""Ad accusantium quae dolor; Adipisci suscipit nisi ; Laudantium qui excepturi""";"""Officiis ipsum qui laborum; Illum eligendi molestias cupiditate ; Non molestias cum hic assumenda modi"""
