# This is a comment line to skip
username,price,note,remark
brenda_wheeler_8031,21.0,"""Fuga sed: Sed exercitationem officiis, Sit""","""Officia repellendus quam, Illo iure sit totam dicta Pariatur iste dolorum repellendus vel provident"""
mrs_clarke_9774,89.0,"""Note: Laboriosam, then Labore illum illum quidem cupiditate""","""(Explicabo ducimus dolorem) , Ratione ullam odit ullam and Soluta temporibus esse"""
carol_cartwright_2259,93.0,"""Note: Temporibus enim, then Veritatis accusamus""","""Deleniti est: Nisi laboriosam, Vel atque"""
marion_pearson_2147,,"""Note: Illum, then Excepturi excepturi libero""","""Note: Reprehenderit unde aspernatur, then Saepe fugiat esse"""
nicholas_white_7424,72.0,"""Porro commodi nobis ad ab; Voluptatum fugit autem magni inventore , In reiciendis""","""(Quidem blanditiis alias) , Aut quisquam modi and Odio repellat dignissimos"""
dr_wall_1582,24.0,"""(Explicabo beatae) , A corporis totam debitis and Alias dolorem et""","""Note: Ea eius aut nostrum perferendis, then Doloremque qui quis assumenda"""
stacey_patel_9957,67.0,"""Note: Itaque quaerat earum, then Cum animi autem""","""Esse autem facilis eveniet; Earum adipisci nam , Quasi unde"""
ricky_norris_3605,69.0,"""Fuga quasi quasi, Modi amet Eaque veritatis""","""Note: Quis, then Non quidem magni"""
olivia_bennett_5129,50.0,"""Note: Alias numquam omnis, then Odio quas""","""Note: Neque provident, then Aspernatur"""
wendy_brown_5948,85.0,"""(Quia facere) , Quibusdam molestias and Totam error dolor ut""","""Ullam fugit quod: Rem officiis iure laboriosam nihil earum, Ratione fugit doloremque"""
dr_cox_3244,80.0,"""(Modi dolores) , Sunt enim enim and Vel repellendus tenetur""","""(Itaque voluptatum non ullam) , Dolorum repellat and Ex quae"""
dr_henderson_7346,17.0,"""Officiis eum: Alias, Voluptatem cum quis nemo""","""Note: Ipsam mollitia, then Accusamus"""
simon_gould_8156,76.0,"""Quis a; Esse quaerat velit totam , Consequuntur voluptas at""","""Deserunt; Maxime earum sunt soluta fugit pariatur , Natus debitis pariatur"""
angela_donnell_4147,13.0,"""Occaecati sed: Optio maiores, Numquam voluptate""","""Officia nobis sunt nulla; Eum tempore explicabo asperiores , Dignissimos rem vitae aut"""
sheila_khan_2897,56.0,"""Molestias ratione maiores: Excepturi quisquam, Porro non dicta eius deleniti mollitia""","""(Quo aliquam quae) , Inventore aut and Doloremque"""
harriet_walsh_9134,33.0,"""Rerum: Molestias saepe, Accusantium itaque""","""Nobis mollitia; Suscipit excepturi ad velit quaerat atque , Facere quasi explicabo nihil"""
steven_mann_1577,90.0,"""Excepturi provident possimus nihil odio ut, Ipsa ut temporibus Qui nobis nemo""","""Quisquam incidunt eum; Eveniet itaque ab ad , Vitae quod quod"""
eleanor_parker_4560,68.0,"""(Possimus omnis) , Enim and Quidem earum perspiciatis""","""Culpa inventore, Maiores error Nam sed saepe"""
miss_howell_2928,69.0,"""(Cumque) , Rerum qui nobis consequuntur a and Repellendus itaque architecto magnam consectetur""","""Occaecati tenetur esse nemo amet, Consequatur Eligendi blanditiis at"""
rosie_burton_3442,15.0,"""In et; Fugit voluptatem , Reprehenderit voluptatum voluptas laborum libero""","""Ratione repudiandae; Placeat , Beatae voluptatibus"""
david_white_5765,42.0,"""(Quod modi) , Illum and Maxime""","""Quas commodi ullam, Eius voluptates excepturi Placeat quis facere officiis similique"""
bernard_mistry_3658,15.0,"""Quas distinctio; Minus ratione libero natus , Fuga""","""Consequatur consequatur: Blanditiis rerum, Quas suscipit"""
