username,name,price,score,salary,review,description
aaron_taylor_1709,Aaron Taylor,56.0,70.1,85.2,"""(Factor amount) , Stock and Watch summer term end""","""(Loss kitchen player) , Program and Capital try cut anything herself"""
judith_singh_7810,Judith Singh,83.0,17.1,8.2,"""Very back: Sing hope strategy, Create performance boy""","""Thought seat contain south process: Wear movement, Feel tell political page"""
aaron_hanna_0897,Aaron Hanna,73.0,7.1,38.2,"""Note: Majority theory morning, then Goal manage""","""Anyone course deep: Work worry against, Word lose if thing"""
kyle_harper_8316,Kyle Harper,12.0,97.1,61.2,"""(Almost stop) , Well sound and Be civil walk""","""(Anyone coach true I) , Add and Candidate leg Mr"""
carlos_roman_6594,Carlos Roman,78.0,98.1,55.2,"""Attention woman question; Wonder member data , Doctor design""","""Yourself site move watch entire: Hot, Blood"""
megan_wilson_0562,Megan Wilson,53.0,85.1,29.2,"""(Team language imagine itself) , Finish themselves and Any language thought""","""Between some: Scientist radio themselves real, Leader fish garden study degree determine"""
kevin_romero_1463,Kevin Romero,90.0,86.1,8.2,"""Friend executive: Story economy agree, Book""","""(Hair) , Environmental sort and Mr reach"""
eugene_phelps_7593,Eugene Phelps,28.0,47.1,2.2,"""Note: Pay light, then Service carry""","""Note: Happen, then Day on increase"""
dustin_gardner_7260,Dustin Gardner,84.0,100.1,80.2,"""(Within people) , Admit Republican and Simple matter rule list benefit should""","""(Could lead) , Member and Gun answer value group"""
tamara_barnett_9018,Tamara Barnett,13.0,98.1,48.2,"""Want lead pattern none wonder: Church, Hard bring piece about science""","""Congress class message, Bank him impact I foot general"""
aaron_smith_7749,Aaron Smith,99.0,41.1,27.2,"""Follow traditional school: Realize dog, Along draw""","""Note: Establish while run, then Never continue after business city young"""
andrea_powell_5431,Andrea Powell,43.0,64.1,48.2,"""(Computer build meet) , All and Attention partner""","""Hotel tough; Because seven , Thousand store wish center"""
samantha_barron_4029,Samantha Barron,84.0,50.1,45.2,"""Note: Why board, then Congress""","""Degree business black; Cut drop , Example one law"""
lisa_rasmussen_2180,Lisa Rasmussen,24.0,56.1,15.2,"""Note: Painting may, then Some letter""","""Central situation market identify; Life shake better affect , Condition film"""
ryan_gonzalez_6784,Ryan Gonzalez,46.0,34.1,50.2,"""Ever box indeed policy, Arrive thought marriage east almost Accept coach community radio""","""Series method court employee right; Program speech , Maintain team"""
david_escobar_0554,David Escobar,45.0,22.1,60.2,"""Sign skin want develop clear: Thus name doctor result score, Recent risk across example arm present""","""Of here painting technology, Visit factor under Economic"""
lisa_farley_3386,Lisa Farley,40.0,10.1,88.2,"""Note: Yeah ever, then Movie key buy""","""Wait good, Hotel TV beat Thus maybe occur generation become"""
tracy_johnson_0049,Tracy Johnson,29.0,26.1,77.2,"""Race such put wall: If, Court brother scientist""","""(Others marriage join free difference) , Opportunity manage action right hard and White history fear"""
keith_thompson_9376,Keith Thompson,55.0,18.1,85.2,"""(Save) , Tax produce and Star store police""","""Investment individual southern: Important could, Budget vote trade human"""
anthony_sullivan_7822,Anthony Sullivan,92.0,74.1,5.2,"""(Attention happy) , Suffer prepare arrive and Someone recently""","""Note: It, then Seek treat expect character"""
madison_smith_2646,Madison Smith,78.0,91.1,100.2,"""Note: Condition my fill, then Drug staff""","""Woman century leg: Upon, Produce citizen day"""
jacob_odom_2413,Jacob Odom,22.0,57.1,91.2,"""Note: Pressure sing, then Reflect place reach""","""Save network detail; Real discuss but spend , Support record water crime party"""
victoria_small_8327,Victoria Small,17.0,63.1,,"""(Television respond wife summer stop) , Walk discussion list and Fight week follow""","""Treat attorney former low: Smile set, Cultural anything fight"""
tiffany_baker_4626,Tiffany Baker,28.0,7.1,55.2,"""(Current better first suggest) , Often TV page and Difference southern""","""Business majority issue; Compare use yourself for , Hundred ever offer skill"""
pamela_reed_1593,Pamela Reed,83.0,26.1,13.2,"""Easy yet high; Set group , Affect evidence clear""","""Note: Certain political, then Sense attention leave"""
cameron_walker_6450,Cameron Walker,15.0,74.1,86.2,"""Speech eight instead: Father thousand, Capital will generation business sure""","""Individual card, Fish Join put"""
austin_jones_1948,Austin Jones,39.0,38.1,97.2,"""Base more ten member choose: Father college father scientist tree, Focus""","""History month above Democrat hotel; Speech kitchen baby move over , Exist evening fine size knowledge artist"""
jeffery_galvan_6552,Jeffery Galvan,56.0,60.1,62.2,"""Note: Matter argue similar, then Growth red course song""","""Note: Third big radio, then Forward century great soldier somebody which"""
tyler_robinson_5000,Tyler Robinson,36.0,77.1,19.2,"""One, Land everything soldier amount its senior Town describe including""","""Tend; Seven education success , Place move"""
erica_anderson_3623,Erica Anderson,13.0,68.1,96.2,"""Note: Many later outside, then Difficult star""","""Clearly pay best speak investment off, Throughout middle lead Question him"""
kristen_thompson_9662,Kristen Thompson,86.0,56.1,2.2,"""Herself trouble: Table environmental international of, Avoid far whole""","""Center third race; Affect hold treat moment , Conference successful around class need"""
jenna_johnson_9828,Jenna Johnson,26.0,57.1,93.2,"""Beat grow; Reach property than you real , Find education nothing often tell""","""Many vote plan along; Adult cause among entire old , Possible value"""
michael_williams_5671,Michael Williams,,26.1,58.2,"""Think glass seek: Situation still pass figure your five, Myself play""","""Card: Material take top cover, Style surface provide focus"""
heather_jordan_8721,Heather Jordan,92.0,24.1,47.2,"""None accept explain: What old summer only technology, Book television turn miss night""","""Sing certainly officer: Size reality, Management low"""
charles_johnson_2753,Charles Johnson,86.0,87.1,82.2,"""Note: Property scene, then Environmental analysis serve""","""Note: Relate air up think front, then Task Congress"""
margaret_crawford_8918,Margaret Crawford,65.0,42.1,20.2,"""Bill style support win strategy health: Myself support, Want after indeed those""","""Within cost effort course, Finish Thousand little friend"""
james_reilly_0875,James Reilly,34.0,41.1,63.2,"""How mother meeting wait same member; Finally method during , Hand across save cultural""","""Age newspaper; Sell record , Night glass although live"""
janet_ingram_2199,Janet Ingram,89.0,4.1,18.2,"""Focus, Media share value Produce know""","""Various condition data admit: Drop current all, Partner sit goal"""
