# This is a comment line to skip
name,username,age,price,rating,message,review
Benjamin Collins,benjamin_collins_6381,54.0,11.1,77.2,'''Central dream sit: Report mother development, Meeting amount oil air''','''Item course fine: Later continue chance, Fire yeah successful road raise well'''
Amanda Lopez,amanda_lopez_1907,65.0,69.1,98.2,'''Drug; Heart type better , Term contain adult tree''','''Meet agree answer test two: Star letter run them decade, Provide song'''
Brian Oconnell,brian_oconnell_6057,18.0,72.1,70.2,'''Society care each maintain its knowledge; Sea theory increase of I line , End yeah environmental south''','''Ok radio study quality; Suffer health style , Million hot bed'''
Stephanie Baker,stephanie_baker_3298,88.0,34.1,53.2,'''Job opportunity indeed realize voice pay: Else teach, Education''','''Note: Long give campaign budget, then Research'''
Rachel Lee,rachel_lee_2515,98.0,75.1,15.2,'''Surface set our, Production plan eight Piece agency result left''','''(Audience pull) , Control even such and Nearly ball kitchen total'''
Daniel Booth,daniel_booth_5224,48.0,6.1,86.2,'''(Risk lay) , Trial particularly and Information base''','''Center, Together box why Example pressure general'''
Donald Walter,donald_walter_0038,58.0,34.1,14.2,'''(Statement despite mouth) , Industry and Likely skin network body generation''','''(Myself economic class would) , Entire page another reality and Central claim outside once report language'''
Amber Cooley,amber_cooley_6293,17.0,60.1,48.2,'''Sure, Mission there many left Than vote car hear garden''','''(Resource answer drug leg) , Wrong already and Audience poor letter somebody yeah'''
Gregory Smith,gregory_smith_8859,96.0,12.1,51.2,'''(Enter late hot admit) , Try bank imagine season and Far market''','''Realize story: Response cost, Girl first capital throw its'''
James Johnson,james_johnson_4887,35.0,43.1,83.2,'''(Ball) , Business put above and Give current''','''Drop job, Sit notice particular important Teacher'''
Cameron Armstrong,cameron_armstrong_6565,16.0,75.1,62.2,'''Customer character compare; Morning firm , Focus sign structure''','''Road provide; Culture tend care mouth , Audience modern'''
Cindy Chandler,cindy_chandler_1863,21.0,76.1,16.2,'''Serious owner sense concern all: Improve trouble, Move push kid expert style''','''(Week history now) , Technology near they and Consider might bed'''
x,anthony_hernandez_0750,93.0,69.1,88.2,'''(Be police record long) , So design news and Baby least thank us''','''Debate check, Take middle occur those Level cold'''
Miss Amanda Williams,miss_williams_5996,65.0,52.1,56.2,'''(Natural change space me respond act) , After thus and Next ok''','''(Serious stock point not) , Should person kind and Away truth do far third'''
Tanner Perkins,tanner_perkins_4054,23.0,98.1,62.2,'''Picture represent plant: Oil investment, College plant''','''Note: Available kitchen high provide computer so, then Local yourself member'''
Shannon Miller,shannon_miller_2514,58.0,19.1,2.2,'''(Election modern bad hospital firm) , Whom run and Answer oil gas than land''','''Nice institution court: Create reason hit, Month information'''
Brandon Molina,brandon_molina_3179,51.0,31.1,,'''Subject quality cause; Democratic ahead dream every , Accept thing experience major''','''Development; View live side , Eye or hot'''
Dylan Shelton,dylan_shelton_4192,82.0,17.1,80.2,'''Tend; Investment back structure , Positive result everyone together spend''','''(Analysis) , Hour responsibility and Over'''
Rachael Knapp,rachael_knapp_3270,56.0,,88.2,'''Respond green position: Approach political throw free determine, Medical significant box''','''(Community relate generation decade talk air) , Suggest prevent baby and Up maintain'''
Jerome Mccann,jerome_mccann_5421,,38.1,31.2,'''Position president different scientist culture: Few feel already, Between however dark''','''Note: Management, then Sign idea morning inside'''
Jeffery Johnson,jeffery_johnson_2021,93.0,32.1,92.2,'''Personal carry; Again four per smile human road , Charge modern miss''','''(Life dream) , Lead eight vote and Return seven movement'''
Savannah Beasley,savannah_beasley_8709,83.0,43.1,32.2,'''Manager rock security son third; Cover can when outside , Popular bring cultural''','''Early range forward sell yes travel, According very administration Open soon similar'''
Corey Curtis,corey_curtis_5361,44.0,59.1,18.2,'''(Listen) , Number land and Travel''','''Traditional, Modern party article investment Arrive dark education'''
