# This is a comment line to skip
name	score	rating	age	message	note
Chad Ellis	62.0	73.1	51.2	"""(Sure child order) 	 Personal and Particular focus teacher agency clearly"""	"""Up system: Several girl	 Build"""
Laura Anderson		19.1	76.2	"""Note: Answer room	 then As able ever social home"""	"""Note: Factor catch player	 then Wife around now"""
A	20.0	60.1	66.2	"""Perform late decide its hair	 Condition fund brother Wife sing third"""	"""Edge science safe couple often more; Player practice read 	 Apply effort"""
Kevin Johnson	15.0	55.1	52.2	"""Rule pattern along; Work their fund design 	 Stay water summer"""	"""Hot operation former end yourself; Under add society 	 Local"""
Karen Pace	74.0	58.1	87.2	"""Them authority bag; Them drug than threat against call 	 Serve attorney"""	"""Note: Keep wish	 then Daughter smile nearly beyond image"""
James Thomas	19.0	48.1	87.2	"""Safe education right from	 Have finish Identify vote"""	"""(Different) 	 Catch minute and Answer"""
Franklin Cabrera	38.0	15.1	34.2	"""Popular work point; Pull 	 Because shake here"""	"""Dream: Moment anyone although	 Poor bad"""
Kimberly Reyes	79.0	49.1	96.2	"""News majority management: Case	 Well local budget bill"""	"""(Energy fact have) 	 Base brother benefit small and Sound majority"""
Stephanie Cross	96.0	29.1	1.2	"""Name image source none: Floor someone	 State seven"""	"""Raise agree Democrat; Wish nation 	 Low sister"""
Seth Willis	1.0	85.1	70.2	"""Plant yourself; Product least 	 Work project decision"""	"""(Loss structure dream) 	 Power though rest and Friend"""
William Moore	31.0	64.1	91.2	"""Child sound others truth: Very wrong health stuff door	 Husband but"""	"""Note: Attorney collection central determine most	 then Popular maintain into main"""
Brett Baker	20.0	33.1		"""Note: Believe under save real	 then City"""	"""(Base grow moment) 	 Might station well and Probably personal local since easy between sit"""
Sara Ortiz	8.0	86.1	25.2	"""Realize key economy treatment fine suddenly; Although president production 	 Bar benefit entire"""	"""Note: Line these down need	 then Usually"""
Matthew Roy	70.0		64.2	"""Standard enter company point: Prevent first grow	 Camera experience office story threat"""	"""Popular also	 Sure TV Light inside"""
Victoria Henry	40.0	79.1	50.2	"""(Son relate) 	 Provide question baby and Budget successful early throw forget moment"""	"""Matter east certain gas doctor	 Officer next Until what standard law challenge"""
Wanda Brown	30.0	26.1	38.2	"""Art	 Standard more hotel Top series back"""	"""(Significant) 	 Exist and Truth media want"""
Eric Liu	80.0	81.1	80.2	"""(Already imagine) 	 Human knowledge office and Improve floor walk"""	"""Note: This interesting back	 then Race year computer poor if"""
Breanna Adams	75.0	81.1	77.2	"""Eat wish PM its wish	 I he church day food Research why drive usually nothing"""	"""(Begin speech) 	 Under assume store color actually and Else standard yeah concern"""
Marco Harris	55.0	39.1	88.2	"""Note: Attention much the couple main society	 then Body along visit"""	"""Note: Seven population light	 then Have expect"""
Gary Lee	38.0	40.1	93.2	"""Trade discover step according wait interesting: They year staff	 Phone remain base it"""	"""(Focus travel) 	 Activity west and Fact list"""
Jesse Wallace	11.0	23.1	36.2	"""Note: Sell future	 then Better college"""	"""Without set senior serve; Near what father part 	 Parent question difference unit according"""
Ryan Evans	10.0	84.1	48.2	"""Note: Wear floor	 then Education international"""	"""Drop democratic: Mission option	 Leader happy"""
