username;salary;summary
christian_hall_2296;71.0;"""Quam exercitationem recusandae: Cumque laborum; Corporis"""
dorothy_robinson_7703;78.0;"""Rerum; Officia quas ; Culpa cum delectus officiis odio"""
kayleigh_smith_6937;98.0;"""(Voluptate) ; Placeat fugit excepturi vitae and Corporis necessitatibus optio numquam temporibus"""
jeremy_day_6448;61.0;"""Note: Ab ullam maiores iste; then Nihil nisi quia repellendus sit"""
nicholas_coles_9299;43.0;"""Ipsa quas tenetur aspernatur possimus; Dignissimos quasi Hic labore fugit"""
malcolm_jenkins_0360;55.0;"""Nesciunt tenetur maxime; Placeat dicta iure ; Velit iusto reiciendis quasi in"""
barry_tomlinson_9123;92.0;"""Note: Enim architecto aliquam; then Vel distinctio atque"""
marion_campbell_9574;20.0;"""Soluta ad; Repellendus voluptatibus ab nisi quis corrupti ; Qui mollitia aspernatur veniam facere"""
albert_fletcher_8172;51.0;"""Note: Soluta; then Architecto facilis est"""
mr_bevan_4722;73.0;"""(Architecto sit qui aspernatur) ; Minima natus maiores maxime natus and Sint"""
anna_harris_0389;87.0;"""Incidunt reprehenderit ad quas: Blanditiis non; Consequatur"""
dr_webb_1674;8.0;"""Accusamus earum iure; Delectus dolorum Pariatur"""
dr_wood_6659;88.0;"""Nisi sapiente voluptates at: Consequatur dolores; Tempore nesciunt amet officia alias"""
mr_lewis_5003;70.0;"""Note: Voluptatibus quo laudantium et; then Dolore soluta et quo sit modi"""
kieran_wright_9979;14.0;"""Consequuntur nostrum blanditiis quasi: Sequi; Facere facere illo"""
mr_robinson_5103;98.0;"""In omnis nostrum incidunt pariatur: Autem laborum; Velit maiores voluptatum fugiat"""
dale_miles_8732;22.0;"""Est porro voluptatem; Perferendis corporis dicta modi nostrum temporibus ; Facilis quo officiis tempora"""
mr_kelly_3531;48.0;"""(Totam fuga aspernatur illum) ; At consequatur omnis provident and Eum eos aliquam asperiores ipsam suscipit"""
ms_brown_7361;23.0;"""(Id culpa accusamus animi quam) ; Quas dolor and Possimus cupiditate iusto asperiores error quia"""
mr_lowe_3046;59.0;"""(Tenetur accusantium explicabo) ; Sunt labore deleniti and Ea occaecati laboriosam"""
hilary_williams_2972;91.0;"""Doloremque commodi soluta: Beatae consequatur; Pariatur explicabo pariatur tenetur"""
miss_higgins_3305;18.0;"""Adipisci magni aut ipsum; Ipsam rem ; Voluptatem laborum"""
leon_davies_6769;39.0;"""(Nemo vero) ; Earum adipisci in voluptas and Distinctio quibusdam tempora a"""
jonathan_banks_4324;24.0;"""Note: Nihil expedita deleniti; then Ipsam vel dolore"""
irene_potter_5569;72.0;"""Aliquid deleniti: Praesentium sit molestias qui; Sapiente vitae"""
connor_chamberlain_8696;79.0;"""Vitae: Voluptatum harum dolor maxime; Optio impedit quod beatae ullam"""
glen_davis_9645;46.0;"""(Sapiente quo labore consequuntur magni mollitia) ; Omnis and Expedita voluptatum"""
dr_taylor_8499;79.0;"""Ab sequi reiciendis dolorum; Distinctio possimus Velit iste dolore"""
nicola_smith_8681;10.0;"""Debitis natus veniam; Deleniti ; Natus alias ipsam voluptatem"""
abigail_evans_5714;8.0;"""Molestiae aliquam reiciendis minus error; Commodi excepturi officiis iusto ullam ; Nisi quam"""
ms_williams_6001;95.0;"""(Reprehenderit mollitia) ; Harum illum accusantium tempore molestiae ipsa and Animi"""
suzanne_williams_8334;70.0;"""Voluptates fugiat similique; Ullam commodi ullam nobis ; Nam voluptatem dolorem facere amet"""
frances_smith_0934;39.0;"""(Officiis mollitia facere) ; Dolorem and Id incidunt fugiat reprehenderit"""
dr_dodd_7607;91.0;"""Note: Minus odit; then Nesciunt sequi doloremque sapiente"""
mr_hayward_7358;10.0;"""(Perferendis laudantium) ; In doloremque natus and Quisquam quidem"""
phillip_middleton_8379;68.0;"""(Ipsam) ; Quos voluptatum provident animi and Dolorum inventore officiis"""
mrs_ali_5523;54.0;"""Hic commodi; Consequuntur blanditiis pariatur reprehenderit ; Quod aut voluptates repellat"""
dr_richardson_1598;12.0;"""Repellat officia laborum corrupti; Vel ; Sunt dolores alias"""
janet_watts_9065;95.0;"""Animi dolor dolores; Totam Aliquid quo aliquam placeat"""
mr_armstrong_9566;37.0;"""(Quia nesciunt cum) ; Totam praesentium expedita sit and Sequi commodi"""
terry_morley_1807;70.0;"""Numquam culpa totam explicabo nesciunt; Aperiam praesentium eum Mollitia"""
eleanor_kay_0774;29.0;"""Note: Harum pariatur iure; then Eius sint"""
natalie_harrison_3051;4.0;"""Recusandae; Omnis labore esse Pariatur"""
miss_holt_3765;54.0;"""(Deserunt quibusdam) ; A temporibus debitis numquam and Necessitatibus enim exercitationem velit eos consequuntur"""
ms_dale_6616;49.0;"""(Omnis deserunt quaerat) ; Saepe modi and Rem debitis iure"""
laura_burke_6526;43.0;"""Soluta saepe ex cupiditate a expedita; Veniam nostrum Incidunt facere"""
stephen_francis_3950;45.0;"""Note: Eaque quasi nobis sunt ratione; then Maxime repudiandae"""
marion_taylor_8863;;"""Note: Qui accusantium ex; then Corporis"""
bethan_lowe_5848;89.0;"""Incidunt velit voluptatem fuga; Magni officia voluptatum Magni itaque qui quae voluptas quaerat"""
