name	score	price	total_count	message
Malcolm Begum	71.0	53.1	35.2	'''Note: Repellat porro in eveniet	 then Reprehenderit exercitationem'''
Lynda Humphries-Hodgson	37.0	64.1	82.2	'''(Iure dolore facere repellat magni) 	 Repudiandae voluptatum facere and Illo consequatur enim necessitatibus tenetur recusandae minima'''
Chelsea White	54.0	50.1	77.2	'''Note: Cumque tenetur eaque	 then Aut illum'''
Margaret Brown-Harris	62.0	70.1	2.2	'''Iusto explicabo provident nam asperiores; Nulla laborum iste blanditiis quo magni 	 Cupiditate consectetur exercitationem aperiam ratione'''
Dr Maria Smith	91.0	5.1	56.2	'''Note: Distinctio architecto eius architecto	 then Provident vero voluptatem'''
Geraldine Naylor	73.0	32.1	63.2	'''Perspiciatis placeat perferendis; Pariatur in ab expedita nisi 	 Beatae ducimus ut'''
Dr Phillip Thomas	15.0	83.1	5.2	'''Odio odio saepe hic harum: Ratione saepe	 Magni'''
Valerie Wilkinson	68.0	20.1	50.2	'''Consequatur corrupti necessitatibus; Animi placeat recusandae 	 Dignissimos atque'''
Jill Morton	95.0	66.1	63.2	'''Note: Beatae enim	 then Soluta numquam'''
Elaine Smith	70.0	72.1	42.2	'''Architecto explicabo vero omnis; Pariatur veniam 	 Dolores natus consequatur ad aliquam'''
Julian Smith-Ball	97.0	18.1	61.2	'''Note: Ducimus repudiandae numquam	 then Quam'''
Antony Smith	59.0	92.1	10.2	'''(Dolorum expedita cupiditate natus) 	 Commodi and Quaerat quis magnam repudiandae'''
Ian Price-Yates	39.0	16.1	59.2	'''Eius similique dolore exercitationem: Fuga totam deserunt	 Hic facere provident laboriosam veritatis molestiae'''
Sharon Wood	28.0	71.1	79.2	'''Note: Molestiae sed	 then Ullam aliquam'''
Alexander Davies-Sharpe	80.0	72.1	100.2	'''(Ex ut sit reprehenderit) 	 Nemo natus doloremque and Nemo optio accusantium provident'''
Hazel Marshall	74.0	16.1	66.2	'''Dolor excepturi dolor inventore; Blanditiis sequi dicta minus laudantium 	 Nemo dolores veritatis'''
Barry Walton	91.0	27.1	76.2	'''(Iure aliquam vero voluptate debitis) 	 Voluptatum delectus placeat natus and Repellendus consectetur quasi tempore velit'''
Mr Owen Shaw		67.1	44.2	'''Ratione quis nisi earum; Veniam in 	 Animi assumenda enim voluptatem quidem'''
Jacob Thompson	49.0	20.1	64.2	'''Note: Recusandae voluptatibus iure quas	 then Ex beatae'''
Charlie Goodwin	26.0	71.1	96.2	'''Adipisci impedit	 Eius provident quam est Est occaecati facilis sint'''
Leah Reynolds	45.0	55.1	2.2	'''(Saepe fugiat ad) 	 Facilis ab and Blanditiis'''
Dr Christian Smith	2.0	69.1	34.2	'''Assumenda earum temporibus	 Animi Consectetur quae alias mollitia'''
e	9.0	10.1	84.2	'''Note: Rem magnam officia similique harum	 then Neque ipsa labore'''
Lawrence Matthews	58.0	40.1	21.2	'''Impedit dolore repellendus laudantium quod; Aut labore illo 	 Consequatur velit omnis'''
Mr Charlie Thomas	68.0	79.1	15.2	'''Nihil ad: Natus explicabo voluptate hic	 Nemo odit maxime'''
Diane Evans	62.0	68.1	69.2	'''(Autem deserunt aperiam) 	 Voluptatem and Maiores esse'''
Helen Morley	54.0	89.1	31.2	'''(Ea corrupti) 	 Omnis a sed consectetur vero and Blanditiis distinctio non'''
Dr Maurice Hunt	72.0	25.1	3.2	'''(Provident explicabo commodi) 	 Quidem cumque deleniti delectus eos accusamus and Quos ea dolorum'''
Maureen Farrell-Bell	10.0	38.1	90.2	'''Quo magnam facilis	 Officia ea hic at Suscipit'''
Carolyn Bruce	41.0	23.1	64.2	'''Accusamus cum minima; Mollitia non assumenda 	 Ea'''
Mr Joel Roberts	72.0		59.2	'''Sint illo odit alias autem totam: Fugiat beatae	 Pariatur omnis'''
Conor Barker	29.0	86.1	34.2	'''Modi soluta pariatur; In quae repellat maiores incidunt et 	 Minima iusto ipsum magni tenetur'''
Arthur Taylor	96.0	45.1	66.2	'''Distinctio cupiditate harum; Aliquam consequuntur quia ea 	 Recusandae aliquid dicta'''
Mitchell Robinson	29.0	68.1	43.2	'''Voluptatibus esse quae ad: Fugiat	 Molestias minus laudantium'''
Benjamin Khan-Morley	2.0	81.1	82.2	'''Inventore dignissimos repudiandae modi odio	 Eligendi unde quaerat eum libero Asperiores'''
Sheila Rogers	95.0	66.1	39.2	'''Note: Enim quod explicabo	 then Rem rem nam quae nulla'''
Miss Ashleigh Jones	53.0	52.1	51.2	'''(Ipsam totam) 	 Nisi amet and Libero ullam'''
Stephanie Khan	77.0	41.1	79.2	'''Note: Repudiandae consectetur ipsam	 then Magni ullam voluptatem aut'''
Ruth Patel	99.0	88.1	69.2	'''Cum nostrum sed ex ad: Sint consequuntur incidunt optio recusandae aperiam	 Nemo recusandae eaque saepe corrupti'''
Dale Thornton-Reed	52.0	55.1	73.2	'''Suscipit facilis ea facilis quam: Autem dolorum	 Quo consectetur'''
Owen Williams	22.0	71.1	21.2	'''Quidem ipsa	 Incidunt sequi Ab voluptatum numquam eligendi dolores'''
Dr Bradley Curtis	61.0	75.1	80.2	'''Note: Numquam	 then Soluta officia fuga illo'''
Miss Shannon Kelly	5.0	76.1	1.2	'''Rem eum minus	 Doloremque rem Repellendus reprehenderit hic necessitatibus neque'''
Elliott Evans	32.0	22.1	7.2	'''Et fugiat quam eum odit amet: Voluptatem cupiditate	 Esse sint'''
Sophie Herbert-Payne	57.0	15.1		'''Ab architecto odit quasi ut	 Vero laboriosam Porro labore fuga'''
Joan Mitchell	67.0	57.1	88.2	'''(Consequatur necessitatibus delectus) 	 Qui occaecati impedit perspiciatis adipisci et and Harum eius cupiditate doloribus'''
