username,name,rating,note
dr_robinson_7273,Dr Philip Robinson,30.0,"""At fuga: Illo repellat, Dolorem beatae neque"""
ms_andrews_8404, ,11.0,"""Reprehenderit: Recusandae magnam rem temporibus nemo nulla, Laboriosam nesciunt vitae"""
clifford_baker_2703,Clifford Baker,92.0,"""Aut dolorem libero aut quibusdam aliquid: Sapiente illum quibusdam, Perferendis quas"""
dennis_green_4345,Dennis Green,63.0,"""Note: Dolores, then Doloribus nostrum sit voluptatem"""
kyle_clark_6628,Kyle Clark,44.0,"""(Necessitatibus) , Laboriosam repellendus tenetur vel and A dolorum non"""
derek_taylor_9198,Derek Taylor,44.0,"""(Velit doloribus) , Ullam culpa and Harum assumenda nulla animi"""
dr_hayes_5797,Dr Yvonne Hayes,31.0,"""Distinctio tempore: Velit ab qui praesentium, Veniam sit fuga"""
marcus_moore_4579,Marcus Moore,71.0,"""Note: Earum quas, then Delectus voluptatibus expedita velit"""
mr_naylor_1264,Mr Jay Naylor,45.0,"""Dicta iusto: A eveniet aut, Numquam minus soluta"""
dr_jones_0044,Dr Gareth Jones,11.0,"""(Omnis) , Officiis fugit dolorum illum et labore and Illum esse error alias quaerat"""
shirley_donnelly_6844,Shirley Donnelly,67.0,"""Adipisci, Et reprehenderit eos explicabo Facilis a praesentium autem"""
dr_roberts_2215,Dr Roger Roberts,52.0,"""Note: Quasi, then Assumenda modi"""
mrs_edwards_2209,Mrs Margaret Edwards,96.0,"""Quaerat harum: Laboriosam tempora, Atque quas reprehenderit"""
dr_daniels_8654,Dr Eric Daniels,79.0,"""(Facilis tempore nesciunt eligendi id) , Veritatis ducimus voluptatibus and Deserunt officiis"""
howard_holmes_0002,Howard Holmes,40.0,"""(Amet repellendus recusandae ratione) , Molestias nostrum and Odit rem"""
mr_warner_7435,Mr William Warner,61.0,"""Alias iure saepe officia id; Animi magnam tempore quam architecto enim , Natus odio voluptate"""
jeremy_abbott_2607,Jeremy Holt-Abbott,82.0,"""Commodi vel vero: Nulla, Quas in illo repellendus"""
alison_briggs_9581,Alison Briggs,5.0,"""Note: Beatae iste dolore maxime, then Non in"""
abbie_hammond_5509,Abbie Hammond,74.0,"""Amet ipsum aliquam consectetur: Qui cupiditate facere odio, Doloremque nemo sint quos ipsam"""
vincent_pugh_2468,Vincent Pugh,96.0,"""(Fugiat debitis nostrum aut cum) , Amet magni provident facere tempora and Quae vero dicta repellat pariatur voluptatum"""
francesca_kaur_0085,Francesca Kaur,,"""Quod fuga quo sapiente unde modi, Porro harum dolores Exercitationem aperiam"""
oliver_higgins_4646,Oliver Higgins,90.0,"""Ab saepe, Earum voluptatem Ratione ratione nisi alias voluptatibus"""
