# This is a comment line to skip
username,name,total_count,price,message
daniel_mendoza_8960,Daniel Mendoza,70.0,53.1,"""(More president home become gas tax) , Cold pick main wait and Film"""
david_blackwell_8287,David Blackwell,60.0,12.1,"""Message; Will , Old mouth"""
cynthia_ashley_0081,Cynthia Ashley,,77.1,"""Attention indicate ten idea; Mother black attorney mouth , Notice democratic from"""
rebecca_may_5505,Rebecca May,40.0,64.1,"""Should; Account large high , Friend decision pay"""
charles_miller_9042,Charles Miller,35.0,69.1,"""Note: City what left, then Real move prevent edge exist"""
richard_ortiz_9195,Richard Ortiz,48.0,22.1,"""Action develop; Another word , Energy window arm"""
andres_hansen_0950,Andres Hansen,85.0,98.1,"""(Wish concern stuff) , Her behind and Determine arrive"""
james_thompson_7307,James Thompson,25.0,,"""Town hand finish; Lot strategy true ten keep family , Successful newspaper matter member tax"""
allen_jones_6989,Allen Jones,27.0,76.1,"""Note: Trial new economy page, then Accept"""
scott_barker_1663,Scott Barker,6.0,74.1,"""(Be) , Another movie and Land during popular training send"""
jennifer_hammond_8643,Jennifer Hammond,17.0,90.1,"""Language television loss perhaps land: Herself must street, Way member whose upon everybody at"""
jason_williamson_5097,Jason Williamson,86.0,25.1,"""Under look mission prepare daughter; Arrive fall character senior , Force"""
lori_golden_3190,Lori Golden,70.0,24.1,"""(Later onto) , Our our marriage now and Sign pretty"""
william_davis_5561,x,3.0,62.1,"""Drop: Room put, Fund hold"""
devon_hall_5317,Devon Hall,76.0,4.1,"""Bring many more: Man deal sound, Own"""
aaron_barron_6172,Aaron Barron,44.0,71.1,"""Evening with side physical: Window pull watch, Must detail travel local if avoid"""
abigail_jensen_9078,Abigail Jensen,18.0,44.1,"""Best mention, Site able Case image rock address force"""
michelle_king_7023,Michelle King,84.0,48.1,"""Player: Hotel series general result environment court, Should"""
helen_davis_2138,Helen Davis,44.0,53.1,"""Note: Course paper even, then Serious police pull story remain"""
daniel_fox_1324,Daniel Fox,3.0,25.1,"""Note: Front fear long, then Unit blue among alone"""
jesse_clayton_8779,Jesse Clayton,7.0,58.1,"""(Nice each) , Eight glass and Wonder eye various number"""
