name,username,rating,score,salary,description
Danny Thomas,danny_thomas_2940,92.0,65.1,22.2,'''Show current produce: Involve plant child thank word none, Ten say'''
Sandra Garner,sandra_garner_9811,17.0,17.1,76.2,'''Five; East , Some admit develop'''
Kelly Adams,kelly_adams_6018,8.0,5.1,82.2,'''Hot new kitchen research himself, In tree what life need series Yard dog pick'''
Rebecca Chapman,rebecca_chapman_2183,2.0,57.1,12.2,'''Note: Later story, then A force'''
Bobby Rivers,bobby_rivers_4425,49.0,61.1,35.2,'''Cover maybe, Into sound that field fly Spring national my himself owner now'''
Amy Norris,amy_norris_1042,72.0,72.1,4.2,'''Note: Visit to, then Experience stay hope'''
Maria Morrow,maria_morrow_2093,46.0,2.1,,'''Upon state; Argue , Energy executive fear'''
Kelly Hines,kelly_hines_2656,93.0,45.1,77.2,'''Hard democratic price find: Pull help, Go view'''
Marc Copeland,marc_copeland_8207,9.0,5.1,80.2,'''Quickly film: Bank character decide identify, Civil friend picture'''
Gregory Arnold,gregory_arnold_9991,74.0,90.1,94.2,'''(Sometimes) , Receive administration question and Outside finally some right factor trial'''
Donald Morris,donald_morris_6314,99.0,3.1,70.2,'''National family do discover, Service among American successful focus run Unit consider plan manage expect'''
Frederick Greene,frederick_greene_5386,40.0,98.1,25.2,'''New play character easy case how: Call song, Husband'''
Warren Quinn,warren_quinn_5411,42.0,59.1,71.2,'''Scene dog: Ready up green reality central, Political since'''
Lisa Ellison,lisa_ellison_2683,43.0,23.1,30.2,'''Look life: Politics fire, Station several'''
o,christopher_singleton_4914,28.0,18.1,17.2,'''Bit recent, Management marriage Listen'''
Daniel Anderson,daniel_anderson_0228,52.0,93.1,62.2,'''Note: Rise stock break, then Effort offer'''
Casey Campbell,casey_campbell_6677,69.0,,11.2,'''Eat, Five only forget Ten bag issue'''
Justin Harrison,justin_harrison_8357,23.0,71.1,33.2,'''Note: Five out, then Mind'''
Kent Ramos,kent_ramos_0705,,14.1,35.2,'''(Prevent) , Push agree and Nice mean thank'''
Benjamin Watkins,benjamin_watkins_7361,82.0,1.1,98.2,'''(Various minute) , Someone cup mention and Everything without within story month'''
Carol Garcia,carol_garcia_5008,26.0,1.1,57.2,'''(Short outside under notice up) , Possible concern from and Manager we'''
Seth Hughes,seth_hughes_3054,36.0,68.1,28.2,'''(Mrs election) , Water across none finally and His idea still detail father'''
Francisco Gutierrez,francisco_gutierrez_6004,28.0,47.1,16.2,'''Minute know less seat trade: Large clearly staff law final candidate, Heart'''
Jeffrey Morris,jeffrey_morris_1175,77.0,74.1,6.2,'''Note: Reality baby, then Great life fund decide alone beat'''
Christopher Miller,christopher_miller_3587,9.0,65.1,34.2,'''Though arm; Degree them , Himself'''
Laura Frazier,laura_frazier_5326,47.0,57.1,63.2,'''Study in improve: Professor, Compare let'''
