# This is a comment line to skip
username;name;total_count;rating;age;remark
madison_manning_5843;Madison Manning;48.0;61.1;68.2;'''Note: May each must; then Ok tax education'''
crystal_turner_8869;Crystal Turner;14.0;25.1;85.2;'''(Sister hold mention sense something least) ; Check step buy and Less see study family form whole'''
peter_moore_1245;Peter Moore;44.0;29.1;38.2;'''Themselves century brother stock; New expert improve front least ; Likely development our form would'''
kathleen_gordon_0224;Kathleen Gordon;15.0;74.1;7.2;'''Green; Particularly family ; Here analysis happen'''
tina_lloyd_0113;Tina Lloyd;76.0;69.1;73.2;'''Southern feeling run; Score I ; True spring'''
michelle_flores_1432;Michelle Flores;21.0;9.1;70.2;'''Hour exist: Single to simple; Town service'''
lori_bird_0254;Lori Bird;43.0;61.1;84.2;'''Carry thank election body; Force charge will lose return Against great staff'''
michael_johnson_4812;Michael Johnson;89.0;99.1;54.2;'''(Appear my degree respond whose pressure) ; My significant and Media a'''
bradley_sanchez_1311;Bradley Sanchez;100.0;5.1;4.2;'''Note: Quite during second whom management on; then Of land it certainly religious catch'''
wendy_gates_0640;Wendy Gates;9.0;83.1;45.2;'''Pm let; Toward manager character ; Article central'''
carolyn_roman_5831;Carolyn Roman;12.0;98.1;1.2;'''After trade; Cut billion sure city hospital Garden nothing'''
tara_montoya_3919;Tara Montoya;29.0;38.1;46.2;'''Carry education and finish weight: Serious rather; Mean picture'''
william_harvey_7170;William Harvey;9.0;60.1;69.2;'''Term unit: Impact when answer; Several'''
matthew_estrada_4820;Matthew Estrada;53.0;83.1;92.2;'''On; Late ; Democrat third democratic'''
david_lee_2846;David Lee;99.0;22.1;40.2;'''Economy that game describe car rest: Amount per newspaper game return; Throughout here run choose social'''
jason_ruiz_8548;Jason Ruiz;81.0;32.1;49.2;'''Note: Security official traditional produce bank environment; then Deep wish option reduce'''
chris_hardin_1168;Chris Hardin;6.0;34.1;83.2;'''Nice media would; Turn forget support ago day large ; Center smile arrive'''
shawn_ward_5605;Shawn Ward;3.0;84.1;79.2;'''Environment move must than our; Per east Often billion away financial better fear'''
daniel_wright_9756;Daniel Wright;94.0;4.1;52.2;'''Represent again: Hair; Station nothing again around'''
kimberly_diaz_3684;Kimberly Diaz;70.0;5.1;24.2;'''Weight section; Fund tree order blood main Civil green foreign station'''
christopher_spencer_7222;A;97.0;57.1;46.2;'''(Across) ; Well compare better and Beat piece'''
jacob_giles_5140;Jacob Giles;49.0;5.1;25.2;'''Character production attack financial data court; Raise leave employee firm Answer go'''
jackie_porter_9920;Jackie Porter;26.0;;33.2;'''(Morning give letter) ; To over up out and Laugh everything'''
michael_cruz_6572;Michael Cruz;8.0;40.1;61.2;'''Indeed benefit him moment; Already organization ask to ; Cultural help'''
danny_marshall_6183;Danny Marshall;86.0;76.1;7.2;'''Bring deal nor operation; Suffer let without three pick policy Family'''
wanda_brown_1733;Wanda Brown;36.0;32.1;21.2;'''Fall add value; Page life other board ; Exist may fast somebody'''
amy_stone_4977;Amy Stone;25.0;67.1;6.2;'''Stuff middle recently rock; Station common size unit specific important Physical detail'''
jason_king_0794;Jason King;;2.1;58.2;'''They; Until me ; Your source'''
deborah_bolton_2829;Deborah Bolton;91.0;92.1;86.2;'''Note: Song food within finish; then You practice'''
matthew_lopez_9032;Matthew Lopez;60.0;2.1;87.2;'''West difficult left; Would true can teacher Arm'''
sharon_smith_7536;Sharon Smith;49.0;32.1;;'''Book though seek character; Cup become ; Professional'''
james_hutchinson_5333;James Hutchinson;51.0;60.1;10.2;'''(Democrat fact develop) ; Visit then without particular collection set and Itself family'''
kathryn_pitts_9627;Kathryn Pitts;97.0;29.1;82.2;'''Positive front; Read wear do old Wrong hand who staff'''
michael_md_1113;Michael Lee MD;41.0;64.1;18.2;'''Strong management: Spring recent; Former majority strong operation'''
matthew_hernandez_9444;Matthew Hernandez;28.0;79.1;33.2;'''Myself board risk traditional receive land; Single beautiful board Another car'''
michelle_west_3726;Michelle West;55.0;9.1;87.2;'''Note: Action technology tree grow head; then Consider effect education walk house might either'''
zachary_mendoza_2797;Zachary Mendoza;85.0;52.1;16.2;'''Result tend early growth: Part enjoy thousand woman cause; Understand consumer social'''
ethan_rice_8004;Ethan Rice;8.0;55.1;36.2;'''Open modern affect; Country prevent send simple skill Difficult face point cultural'''
barbara_garza_0880;Barbara Garza;2.0;74.1;84.2;'''Pay; Different office Body least'''
cole_gonzalez_6090;Cole Gonzalez;19.0;91.1;31.2;'''Wind truth under think; Impact I school Reason song customer'''
zachary_rojas_4513;Zachary Rojas;23.0;37.1;40.2;'''Could team hundred reason; Else plan Me education me'''
michelle_mcdowell_9973;Michelle Mcdowell;25.0;88.1;16.2;'''(Group huge child manager serious rich) ; Various participant across and Economic at contain another popular base'''
crystal_holmes_5342;Crystal Holmes;30.0;24.1;40.2;'''One particular whole above; Tree enjoy Mean attention marriage'''
lee_espinoza_9397;Lee Espinoza;25.0;95.1;85.2;'''Tough American; Student ever Anything front'''
