# This is a comment line to skip
name;username;price;score;rating;summary;note
Heidi Bailey;heidi_bailey_0260;58.0;93.1;2.2;"""Note: Build area impact behind smile; then Look""";"""Note: To car dream argue participant particularly final; then Bank contain budget"""
James Bowman;james_bowman_5733;35.0;68.1;40.2;"""(Piece avoid soon) ; Physical allow begin side price and Face provide""";"""Note: Popular me focus conference then; then Clear game"""
Ann Chase;ann_chase_3385;60.0;44.1;62.2;"""Later discussion senior get yourself today: Send class feeling bar which product; Find party""";"""Some a: Pattern similar threat game; Sea fire"""
Samuel Fernandez;samuel_fernandez_9301;14.0;95.1;64.2;"""Song simple in; Wish single large ; Yes small""";"""Note: Hard wrong understand near will; then Left eye"""
A;maurice_norton_3997;45.0;100.1;95.2;"""(Forward tax health with million) ; Entire citizen and Fall price put phone bad""";"""Note: Identify begin; then Perform"""
Marissa Dean;marissa_dean_8170;38.0;60.1;94.2;"""Hit of early medical; Whether among participant Develop specific""";"""Ability sing; Fear plant writer ahead ; Consider southern"""
Alexander James;alexander_james_8743;14.0;67.1;82.2;"""Culture floor; Increase newspaper treat Official fact""";"""(Paper trip shake fall available) ; Trouble and See lot"""
Stephanie Thomas;stephanie_thomas_9750;64.0;31.1;5.2;"""Water suddenly building my yard carry: Should suggest; You employee""";"""Note: See interesting; then Trial get"""
Hayley Garza;hayley_garza_9457;25.0;35.1;23.2;"""Wide opportunity analysis anything: Enough oil traditional door politics film; Party year ready""";"""Note: Market protect hear side; then Write"""
Marc Sexton;marc_sexton_3238;50.0;44.1;72.2;"""Sea available actually; Style help Material when small after""";"""Note: Only reason; then Camera visit bar summer"""
Glenn Nash;glenn_nash_1980;11.0;90.1;20.2;"""Remain; Life ; Movie how learn live""";"""(Outside ago) ; Phone today school history worker and Owner mission"""
Julie Meyers;julie_meyers_9097;;1.1;78.2;"""Social company evening address site: Health yet; Possible foreign""";"""(Minute two) ; Particularly spring and Carry rather"""
Tammy Andrews;tammy_andrews_2567;70.0;2.1;96.2;"""Protect agreement; Month human ; Loss vote ground""";"""Wife church discuss fight; Modern doctor choose bag Black argue"""
Elaine Nunez;elaine_nunez_4078;20.0;26.1;6.2;"""Indicate bag; Option ; Democrat""";"""Note: Rise than need task; then Office its season"""
