# This is a comment line to skip
name;username;rating;review
Miss Janice Doyle;miss_doyle_2626;24.0;"""(Expedita amet quos incidunt fugit) ; Sequi neque nostrum eos and Veniam quasi vero"""
Danny Jenkins;danny_jenkins_2559;93.0;"""Praesentium quam: Esse voluptatibus; Minus"""
Amy Jones;amy_jones_7599;83.0;"""Praesentium; Porro iure veniam expedita cupiditate consectetur ; Fuga"""
Frederick Webster;frederick_webster_3856;;"""Expedita quos earum tempora doloribus adipisci: Placeat eum; Vero perspiciatis nostrum non praesentium"""
Kenneth Davis;kenneth_davis_0787;18.0;"""Sed vel reprehenderit: Nam alias aspernatur; Asperiores"""
Andrea Morgan-Edwards;andrea_edwards_9754;57.0;"""(Nulla) ; Quidem cumque debitis eveniet vitae and Architecto ex"""
Ruth Gallagher;ruth_gallagher_0419;85.0;"""Iusto; Mollitia ; Nihil cupiditate corporis"""
Dr Ricky Roberts;dr_roberts_3095;82.0;"""(Corporis maxime totam sed) ; Sed ad ut and Quibusdam quibusdam dolores"""
Mrs Hayley Marshall;mrs_marshall_6026;50.0;"""(Molestias corrupti) ; Magnam and Dolor distinctio officia modi"""
x;stuart_kirby_2585;6.0;"""Facilis quo tempora facere dolorem et; Natus non repellendus cumque ea Accusamus blanditiis"""
Nathan Smith;nathan_smith_4480;8.0;"""Non odit; Mollitia aliquam quisquam ; Corrupti temporibus"""
Amy Davis;amy_davis_6162;66.0;"""Impedit at quibusdam illum; Nesciunt nobis quidem fuga ; Vitae dignissimos sit"""
Clive Hargreaves;clive_hargreaves_0974;81.0;"""Reprehenderit; Aut sit voluptate Provident qui"""
Miss Aimee Green;miss_green_5682;82.0;"""Voluptatem natus; Nobis totam magni tempora voluptatem ; Accusantium modi veniam"""
Joel Thomson;joel_thomson_2603;2.0;"""Note: Explicabo placeat amet eveniet; then Ipsum delectus necessitatibus ex"""
Mrs Jasmine Reynolds;mrs_reynolds_4608;29.0;"""(Reprehenderit nemo) ; Dicta assumenda quaerat cupiditate dolorum and Velit itaque"""
Dr Sandra Pritchard;dr_pritchard_9792;66.0;"""Et repudiandae: Ab; Rerum"""
Miss Sophie Harris;miss_harris_7444;60.0;"""Note: Quo provident mollitia amet; then Excepturi iste"""
Diana Griffiths-Patel;diana_patel_5435;3.0;"""(Ullam) ; Eligendi harum veritatis and Eaque tempore quos nisi"""
Timothy Coles;timothy_coles_2821;58.0;"""Illo alias; Libero iure iste pariatur Nisi quia pariatur hic at"""
Mr Craig Wilson;mr_wilson_6840;35.0;"""Note: Nemo possimus eius; then Sit harum"""
Samuel Smith;samuel_smith_8949;35.0;"""Aut quasi; Veritatis odio Numquam"""
Jeremy Davis;jeremy_davis_8410;49.0;"""Sint neque repellendus impedit facere: Quis iste blanditiis; Dignissimos accusamus"""
Maurice White;maurice_white_6861;72.0;"""(Ducimus eum omnis) ; Quasi doloribus itaque and Eius molestias iusto cum cumque"""
