username	name	score	rating	review	description
dr_dean_5730	Dr Peter Dean	82.0	62.1	'''Eligendi iste magni: Qui id	 Modi fuga'''	'''Esse atque iusto quia	 Architecto adipisci deleniti nulla ratione Suscipit veritatis explicabo'''
duncan_edwards_7478	Duncan Perry-Edwards	21.0	86.1	'''(Excepturi corporis consectetur id aut) 	 Iste explicabo sit ex veritatis laudantium and Inventore delectus voluptatibus'''	'''(Nesciunt) 	 Doloremque cumque voluptas quaerat and Cupiditate'''
liam_gray_8296	Liam Baldwin-Gray	5.0	3.1	'''Neque ipsa soluta: Placeat	 Veritatis omnis vel quam vitae'''	'''Eos et	 Impedit voluptas dolor laborum Esse quam ipsam ipsam tempore'''
ms_connor_1616	Ms Kathryn Connor	4.0	75.1	'''Consectetur eaque	 Quam nesciunt commodi repellendus similique omnis Temporibus'''	'''Note: Perspiciatis quo doloribus incidunt recusandae	 then Expedita cupiditate'''
denise_hall_7080	e	14.0	25.1	'''Debitis minus	 Numquam exercitationem distinctio facilis perferendis necessitatibus Enim quia vero delectus error'''	'''Distinctio: Voluptatibus enim corrupti vitae modi	 Consequuntur hic'''
miss_page_7365	Miss Amelia Page	100.0	64.1	'''Dolor veritatis veniam nemo itaque illum	 Tenetur nihil rerum consequuntur iusto Repellendus expedita voluptate vero'''	'''(Modi similique) 	 Incidunt ex inventore nostrum consequatur libero and Reiciendis nostrum'''
jane_goodwin_2896	Jane Goodwin	84.0	73.1	'''(Recusandae veniam inventore) 	 Nam temporibus culpa consequuntur perferendis and Tenetur facilis provident'''	'''(Iure) 	 Officiis officiis and Sunt optio explicabo ex sit cum'''
bethany_green_6132	Bethany Green	43.0	74.1	'''Eos repellendus	 Minima earum id adipisci Non deserunt sit'''	'''(Vero esse) 	 Dicta iure and Repellat tempora'''
lee_mitchell_5233	Lee Mitchell	75.0	91.1	'''Note: Reprehenderit ipsum	 then Optio magnam aliquam culpa'''	'''Sapiente veniam dolores delectus non: Iusto aut non	 A eos eum vitae aliquam'''
patrick_singh_3096	Patrick Singh	51.0	82.1	'''Iusto maiores; Nam error 	 Qui quo inventore'''	'''Fugiat soluta nobis; Facilis 	 Expedita asperiores'''
jayne_davies_9567	Jayne Davies		86.1	'''Ea voluptate facilis	 Temporibus Voluptas sed'''	'''Note: Quod eligendi odio	 then Quaerat eos repudiandae nam similique'''
miss_davies_6154	Miss Tracy Davies	97.0	38.1	'''Soluta illo dolorem: Suscipit quas animi tenetur	 Maxime voluptate'''	'''(Laboriosam sunt) 	 Tempora and Saepe quia quidem'''
ricky_patel_9918	Ricky Patel	61.0	61.1	'''Enim soluta magnam; Quisquam dolores cum 	 Quos iure tempora'''	'''Mollitia: Quidem eum	 Odio est ducimus laboriosam sed'''
barbara_roberts_7934	Barbara Roberts	29.0	53.1	'''Note: Quas	 then Fugiat enim explicabo'''	'''Note: Temporibus	 then A odit'''
dr_foster_9597	Dr Lisa Foster	68.0	17.1	'''Veritatis laborum	 Incidunt voluptate rerum labore Neque repudiandae numquam'''	'''Note: Odit atque	 then Eius suscipit beatae maxime'''
mohammad_turner_7650	Mohammad Turner	59.0	17.1	'''Debitis voluptates; Optio 	 Maiores adipisci optio quaerat molestias libero'''	'''Note: Quod id quaerat aspernatur	 then Occaecati'''
dr_hughes_9112	Dr Francesca Hughes	2.0	53.1	'''Ratione temporibus magni; Commodi reiciendis molestias 	 Qui ad'''	'''Note: Sequi	 then Ad possimus'''
mrs_gardner_6612	Mrs Bethany Gardner	6.0	44.1	'''Assumenda labore	 Vel incidunt quibusdam eveniet Nesciunt placeat magni recusandae excepturi asperiores'''	'''Ipsum explicabo dolores culpa	 Consequuntur architecto sequi distinctio porro aperiam Repudiandae quas atque fugit'''
lesley_holland_8813	Lesley Holland	33.0	94.1	'''Minima fuga eligendi rerum numquam: Laudantium iusto adipisci vel nemo hic	 Sed harum'''	'''(Recusandae laboriosam laboriosam nesciunt debitis blanditiis) 	 Magni eius and Veniam saepe'''
josh_johnson_1593	Josh Johnson	6.0		'''(Rerum tenetur) 	 Exercitationem veniam expedita error laboriosam and Impedit fuga tempora'''	'''Debitis culpa asperiores eius: Nam	 Praesentium pariatur quae'''
georgia_parker_8352	Georgia Johnson-Parker	94.0	48.1	'''Doloribus alias natus voluptas: Ut alias voluptate	 Quos laborum'''	'''Note: Modi similique	 then Animi eveniet'''
dr_howard_7324	Dr Ross Howard	77.0	79.1	'''Sunt beatae temporibus	 Itaque porro adipisci Quas nostrum quaerat perspiciatis'''	'''Mollitia aut voluptas: Accusantium	 Eum'''
mrs_cox_8822	Mrs Holly Cox	100.0	39.1	'''Quas quibusdam: Nam neque	 Facere praesentium vero'''	'''(Ipsum ipsa incidunt) 	 Reprehenderit dolorem and Aspernatur neque'''
mr_perry_3425	Mr Richard Perry	53.0	53.1	'''Cum nihil voluptatem eligendi perspiciatis: Iure	 Facere ullam vitae voluptatem velit ea'''	'''(Similique illo) 	 Vitae hic and Provident soluta doloribus'''
miss_bell_3129	Miss Paula Bell	49.0	11.1	'''Note: Illo	 then Est unde'''	'''Note: Assumenda deserunt	 then Vitae commodi'''
leigh_webb_3462	Leigh Webb	47.0	29.1	'''Corporis et	 Est consectetur illo ipsam porro odit Ratione recusandae ex'''	'''Note: Id at	 then Voluptatum inventore'''
