name,username,salary,total_count,price,comment
Dr Joshua Barber,dr_barber_6520,73.0,66.1,7.2,"""Vero assumenda reiciendis: Fugiat qui, Quia cupiditate"""
Denise Matthews,denise_matthews_8261,88.0,82.1,40.2,"""Nam at; Dolore eius itaque neque , Explicabo"""
Bradley Gordon,bradley_gordon_3304,32.0,15.1,72.2,"""Note: Ut ut cupiditate, then Quam nam veniam doloribus laboriosam"""
Danielle Palmer,danielle_palmer_9265,76.0,67.1,52.2,"""Nisi: Vel atque cupiditate corrupti modi, Perspiciatis libero magnam"""
Mrs Emily Sutton,mrs_sutton_5739,96.0,13.1,24.2,"""Note: Rem exercitationem velit, then Molestias"""
Joan Godfrey,joan_godfrey_2270,18.0,20.1,61.2,"""Soluta voluptatem error aliquam; Maiores hic laboriosam non , Nobis laudantium saepe quos"""
Elliott Burton,elliott_burton_6456,72.0,36.1,28.2,"""Similique magni totam ut officiis nobis; Culpa iste , Voluptas dolorum animi alias libero sunt"""
Katie Riley-Jones,katie_jones_5862,59.0,52.1,2.2,"""Accusamus reprehenderit quibusdam: Libero, Dolore quod quia blanditiis"""
Graham Blake,graham_blake_4794,62.0,90.1,67.2,"""Odit voluptatum veniam: Tenetur voluptate explicabo, Iure laudantium exercitationem"""
Dr Vincent Jones,dr_jones_5950,33.0,45.1,20.2,"""Note: Quia veniam accusantium occaecati numquam, then Optio doloremque"""
Conor Chambers,conor_chambers_5899,98.0,18.1,48.2,"""(Odit laborum iste sit) , Veritatis porro pariatur est and Debitis quasi"""
Miss Hannah Price,miss_price_8926,57.0,72.1,69.2,"""Iste earum explicabo vero; Facilis facere nulla recusandae magnam debitis , Amet possimus earum enim error"""
Rhys Berry,rhys_berry_9103,84.0,55.1,72.2,"""Note: Quasi dolorum maxime, then Nulla porro"""
Rosie Ali,rosie_ali_9779,95.0,97.1,50.2,"""Aliquam ducimus: Veniam saepe aliquam, Esse repellat"""
Jacob Howarth,jacob_howarth_5919,97.0,6.1,72.2,"""Note: Ipsam cum odio necessitatibus, then Consequuntur accusamus ipsum harum"""
Susan Mitchell,susan_mitchell_0371,48.0,25.1,16.2,"""Quisquam ea voluptatem perspiciatis, Nisi Quas incidunt temporibus voluptates officiis"""
Rita Jones-Rees,rita_rees_1883,50.0,72.1,70.2,"""(Quia quidem praesentium in) , Repellat culpa voluptatibus and Beatae"""
Kathryn Wall-Taylor,kathryn_taylor_9160,29.0,39.1,47.2,"""Soluta harum nesciunt: Quasi harum sed neque voluptates, Neque cumque quasi"""
Mr Clive Bates,mr_bates_9919,83.0,,,"""Dicta reiciendis nemo quam; Odio , Repudiandae error odio velit"""
Christine Smith,christine_smith_0400,38.0,34.1,82.2,"""(Accusantium fugiat officia) , Optio quis soluta and Ea nulla"""
Amanda Connor,amanda_connor_1613,54.0,98.1,100.2,"""Voluptatum nam, Iste vel sit molestiae veritatis assumenda Porro tempora"""
Frederick Griffiths,frederick_griffiths_9360,42.0,66.1,81.2,"""Note: Temporibus voluptas porro sapiente hic, then Perspiciatis"""
Amanda Steele,amanda_steele_0090,29.0,37.1,15.2,"""Architecto eius reiciendis veritatis, Maxime iure totam unde illo Dignissimos ea saepe"""
Elliott Gibson,elliott_gibson_0546,75.0,46.1,5.2,"""Fuga ad sed, Voluptatum Ducimus veritatis id"""
Patricia Hill,patricia_hill_4867,12.0,57.1,35.2,"""Laborum eligendi commodi: Quos, Aperiam at"""
Stacey O'Neill,stacey_neill_7104,,58.1,87.2,"""Perferendis eum; Et assumenda quis fugit , Dolorem"""
Shaun Carter-Mason,shaun_mason_3512,26.0,73.1,94.2,"""Deleniti nihil, Quo impedit explicabo eos Accusamus consequuntur dicta consectetur soluta iusto"""
A,clive_ferguson_8713,71.0,87.1,90.2,"""Nisi vitae; Voluptate deserunt vel , Quos cumque"""
Miss Melanie Hewitt,miss_hewitt_7816,12.0,67.1,11.2,"""(Eaque nemo molestiae praesentium) , Saepe and Voluptate eaque"""
Bruce Lawrence,bruce_lawrence_0409,66.0,60.1,94.2,"""Perferendis dolorem, Sed modi aperiam Expedita non"""
Ms Marilyn Robinson,ms_robinson_6243,84.0,14.1,43.2,"""Eaque velit quibusdam et; Quo eveniet , Unde natus quisquam"""
Damian Khan,damian_khan_7153,67.0,49.1,86.2,"""Adipisci odit amet cum reprehenderit; Unde consectetur , Officiis eveniet perferendis saepe"""
Steven Newton,steven_newton_7751,88.0,44.1,39.2,"""Fugit; Repellendus numquam , Aperiam ipsum"""
