name	salary	price	total_count	review
Judith Reynolds	56.0	55.1	71.2	'''Incidunt expedita aliquam; Assumenda laboriosam voluptas 	 Eum voluptas est'''
Leah Page	75.0	20.1	96.2	'''Note: Odio non	 then Quia soluta'''
Dr Denis Taylor	23.0	83.1	97.2	'''Dolore eum autem	 Eius molestiae ipsa reprehenderit Et enim magni sequi'''
Ms Julie Skinner	69.0	47.1	63.2	'''(Aperiam) 	 Nobis culpa architecto and Expedita deserunt dicta'''
Adam Jones	30.0	44.1	59.2	'''Amet facere provident; Ullam repellat 	 Perspiciatis'''
Charlie Matthews	34.0	92.1	77.2	'''Note: Veritatis ea	 then Quaerat maxime aliquid'''
Jessica Clarke	40.0	16.1	89.2	'''Dolorem	 Alias debitis architecto ad dolorum Voluptatum nemo officiis'''
Naomi Mason	17.0	18.1	7.2	'''Numquam porro autem	 Eveniet vel Dolorem'''
Jodie Briggs-Gordon	74.0	47.1	72.2	'''(Corporis animi) 	 Autem aliquam and Debitis nobis'''
Mrs Helen Holmes	75.0	19.1	82.2	'''Laudantium asperiores: Id magnam	 Rem accusantium blanditiis'''
Maureen Peters	49.0	87.1	49.2	'''Hic id; Labore culpa debitis 	 Debitis'''
Lawrence Cook	92.0	8.1	95.2	'''Odio sint; Officiis minus 	 Fugit minima porro'''
Stanley Fry-Lee	3.0	92.1	33.2	'''(Laudantium eum sed) 	 Iste and Molestias quas similique'''
Dean Wilson	34.0	67.1	3.2	'''(In esse cupiditate) 	 Nesciunt and Sapiente optio'''
Mr Damien Cox	5.0	71.1	64.2	'''(Molestiae eos praesentium) 	 Quasi fuga and Reiciendis velit'''
Grace Smith	70.0	65.1	28.2	'''Magni iste; Perferendis 	 Dicta hic molestias dolorum'''
Tina Black-Walker	44.0	26.1		'''Voluptate nulla tempora cum	 Quod eaque eaque culpa dolore laborum Ipsum expedita'''
Danielle Murphy	60.0	76.1	2.2	'''Consectetur ut; Delectus praesentium assumenda 	 Optio'''
Bernard Edwards	19.0		15.2	'''Nam; Quisquam 	 Quod atque'''
x	17.0	82.1	33.2	'''Note: Et	 then Eligendi esse quasi impedit blanditiis'''
Ms Megan Barker	57.0	26.1	59.2	'''Magnam explicabo ipsum delectus: Adipisci fugiat officia iure delectus	 Rem accusamus'''
Lesley Thompson	57.0	71.1	22.2	'''(Magni) 	 Praesentium and Repellat quos sit quia'''
Adrian Taylor	56.0	95.1	74.2	'''Ipsa molestias	 Earum impedit ad Similique occaecati'''
Hilary Conway		28.1	72.2	'''Cum: Iure	 Adipisci adipisci incidunt ipsum'''
Sam Howell	36.0	89.1	5.2	'''Note: Quidem at provident ad praesentium reiciendis	 then Saepe error ipsa ad maxime'''
Matthew North-Wells	94.0	89.1	83.2	'''(Quos) 	 Atque quisquam ab and Rem nam nobis corporis laudantium'''
Howard Goodwin	92.0	47.1	4.2	'''Note: Eius tenetur facilis voluptatem	 then Itaque ex quo'''
Jeremy Metcalfe-Johnson	94.0	47.1	34.2	'''(Esse labore iure eius) 	 Aut nulla pariatur possimus dignissimos quisquam and Enim quibusdam'''
Joyce Dixon	100.0	80.1	68.2	'''Perspiciatis nisi repudiandae	 Alias dolores autem Vero'''
Dr Julian Green	59.0	47.1	25.2	'''Autem saepe consequatur	 Iusto dicta quas Atque tempore'''
Neil Fuller	6.0	68.1	61.2	'''Voluptas libero exercitationem reprehenderit; Quis 	 Impedit sapiente'''
Chelsea Simpson	27.0	12.1	20.2	'''(Vero) 	 Fugiat sint hic and Accusantium ratione laborum'''
