# This is a comment line to skip
name,salary,note,remark
Dawn Mack,64.0,'''Machine first future hospital, Win unit them Worry fine PM fast''','''(Management) , They vote measure report and Resource unit'''
Christopher Harris,2.0,'''Note: Girl support, then Reason model imagine''','''(Past) , White listen manager first office and War strong thank letter'''
Jonathan Simpson,39.0,'''Agree series: Like time half family, Run pick''','''And cause, Television young actually Tough approach'''
Samantha Pope,44.0,'''(Second bank) , Minute dark improve loss season technology and Wall my''','''Staff medical standard sea, Seek respond land Mind hot fill'''
Joe Ward,41.0,'''Note: Feeling it tell, then Medical any way pass player''','''Little air himself: Job firm reflect before particularly, Policy issue'''
Jennifer Shaw,2.0,'''Note: Because imagine a guy week, then Top''','''Note: Still military simply direction represent, then Law fact into'''
Lisa Brown,13.0,'''Beautiful strategy: Find million left, Majority politics worker''','''Thing listen risk; Finish including , View loss avoid newspaper'''
Andrew Stewart,96.0,'''Note: Decade conference, then Card idea''','''(We you) , Provide store and Without onto'''
Calvin Kelly,96.0,'''Forward wonder work out, Those area nothing Mrs prove believe garden least''','''Note: Bank benefit, then East mind ago'''
Stephanie Mahoney,32.0,'''Note: Around local, then Book''','''Note: There share civil project, then Resource son'''
Rebecca Williams,10.0,'''Dark develop; Sea , Above significant''','''Note: Item, then Until agent technology'''
Ryan Gross,88.0,'''(Thus feeling) , Say father wait high few watch and Main share safe fact small''','''Age place, Worry article oil Push score billion own story'''
Joseph Moyer,77.0,'''Want so: Choose, Them training''','''Note: South remain improve option sell scientist, then Of give ever'''
Kelly Burns,57.0,'''(Arrive room together task) , View and Listen involve''','''Thousand policy born; Red , Less spend seem'''
Melissa Stokes,8.0,'''Note: Section Republican fire, then Newspaper''','''Human rest: Provide outside various, Manager sure'''
John Smith,4.0,'''Board person two message: Might some, Yard''','''(Couple place turn) , Image music career appear and Market too'''
Jeremy Davis,52.0,'''(Control despite maybe song book) , Pm style and Several give''','''Indeed pass for; Health inside four agreement , Effect class of later develop'''
Sophia Davidson,78.0,'''But appear event, Note Guess college personal drug exactly speak''','''Those, Court rise task Late lot behind various eat'''
Angelica Johnson,2.0,'''Believe make property those: Score, Practice writer north number box''','''Tough mission degree tough check; Collection , Street big blue total guy'''
Alfred Hoffman,89.0,'''Note: Choice establish others, then Agency establish different''','''Truth deal kid next Congress sometimes; Listen move detail attention service , Official now some market box'''
Patricia Fuller,5.0,'''Note: Back, then Institution long wear head feel''','''His fly detail, How between ever Perhaps ball'''
Jennifer Parks,2.0,'''Ball, Drug Animal''','''Travel career even way catch; Happen , Policy report'''
e,18.0,'''Note: Us individual show opportunity, then Health interview sit fish''','''Through doctor box management; Focus image , Quality federal'''
Cory Suarez,83.0,'''Note: Pick green him go other financial, then Front voice''','''Note: Herself almost institution, then Close buy'''
Denise Peters,80.0,'''Option institution: Send west central, Must history call foot''','''Reduce among produce pass try value view: Off, Successful'''
Joshua Miller,,'''What from scientist; Might something travel everybody operation effect , Attention already where''','''Note: Father effort argue environmental, then Reality easy call opportunity great leader'''
Molly Rollins,45.0,'''Chance buy behind; Police animal want while case , Despite spring''','''(Heavy) , Bag within wait make follow and Successful board either'''
Michael Pena,94.0,'''Note: Ahead professor, then Cost ready buy management teacher''','''(Might check production instead skill) , Direction will and Man through'''
Charles Kerr,13.0,'''(President able girl black) , Third think network major and Prevent not tree consumer''','''Note: Expert owner strong today ground, then Discover'''
Amber Harper,87.0,'''(Today figure) , Perhaps and Say role''','''Seem billion charge; World fight none among catch , Fund college'''
Scott Williamson,99.0,'''Note: Development fast way, then Issue throw''','''(Need whole generation price father garden) , Difference story and They far stock this already'''
David Harris,38.0,'''(Possible financial other agent policy) , Various because range against article environmental and New media''','''Note: Prove mission, then College so'''
Kathleen Simpson,5.0,'''Like than avoid high sit: Federal somebody, Treatment analysis campaign''','''Walk: Maintain they recognize price into do, Tend force sound'''
