name;rating;total_count;price;description;comment
Valerie Smith;60.0;18.1;11.2;"""Similique deserunt expedita excepturi accusantium; Esse veritatis excepturi ; Natus iusto perspiciatis""";"""Vero ad quo quam vero; Accusantium quasi ; Architecto facere"""
Mitchell Leach;64.0;92.1;44.2;"""(Magni iure) ; Reiciendis ipsa temporibus quia quo natus and Labore voluptatem""";"""(Veritatis ratione) ; Temporibus sit and Cupiditate assumenda porro sit impedit"""
Colin Wong;100.0;95.1;24.2;"""Cupiditate fugit nemo perferendis; Laboriosam Veritatis pariatur""";"""Note: Nihil quidem quod; then Quam hic porro"""
Harriet Robinson-Moore;4.0;80.1;100.2;"""Repellat officia; Ullam laborum Ullam deserunt impedit fugit""";"""Architecto hic est: Sit; Minima accusantium"""
Alison Riley;51.0;36.1;25.2;"""Note: Repellendus; then Quis provident praesentium optio sed occaecati""";"""Ullam tenetur; Consequatur at quis est ; Explicabo"""
Ashleigh Smith;43.0;78.1;32.2;"""Note: Molestias quibusdam saepe aperiam quibusdam dolor omnis; then Modi velit nostrum odit animi""";"""Minus; Magni fugiat reprehenderit Delectus"""
Dr Carl Holmes;11.0;30.1;42.2;"""Dolorem fuga; Earum sapiente ; Facilis doloremque cumque quos""";"""Aspernatur porro dolor excepturi; Iure tempora adipisci Distinctio ullam officiis"""
Michael Owen;18.0;61.1;73.2;"""Note: Unde natus; then Autem eligendi neque nostrum dolorem ipsum""";"""Rem possimus officiis: Perspiciatis natus provident; Tenetur fugiat praesentium"""
Dr Michael Hawkins;11.0;94.1;75.2;"""Note: Illo suscipit; then Consequuntur inventore""";"""(Odio eveniet voluptate) ; Vel and Soluta quod ipsum in porro"""
Nicola Walker;64.0;93.1;72.2;"""Earum: Cum quasi nulla repellat quisquam deleniti; Assumenda quas laudantium""";"""Quibusdam dolores exercitationem cupiditate reprehenderit: Officiis tempora velit; Debitis"""
Mohammed Taylor;37.0;43.1;65.2;"""Note: At; then Atque doloremque debitis""";"""(Nobis quaerat) ; Sint rem and Sequi dolorem ea perferendis"""
Samuel Moran;78.0;8.1;66.2;"""Aperiam iste perspiciatis: Exercitationem corrupti eligendi dolorem ea; Distinctio atque""";"""Note: Sed libero voluptate; then Soluta"""
Alison Hughes;91.0;22.1;86.2;"""Perspiciatis maxime: Dolor; Architecto veniam""";"""Architecto ad iure deserunt rerum occaecati porro; Maiores ipsam in ; Quibusdam labore"""
Dr Russell Adams;40.0;17.1;14.2;"""Nostrum pariatur quis; Laborum ; Est harum""";"""Note: Quis culpa reprehenderit; then Iste dolorem eum"""
Mr Sam Hall;64.0;2.1;59.2;"""(Rem reprehenderit) ; Qui mollitia and Velit minima beatae""";"""Fuga incidunt: Nostrum ratione; Maxime soluta"""
Catherine Webster;28.0;4.1;;"""Explicabo dolore: Recusandae aliquam architecto; Sed cupiditate deserunt voluptate odio""";"""Ab necessitatibus alias autem: Reiciendis consequatur natus sit; Optio aut iste recusandae"""
Brian Fox;96.0;;59.2;"""Similique nihil ea: Laboriosam; Voluptatibus""";"""Impedit illo: Inventore laborum; Similique quo esse mollitia"""
e;13.0;58.1;90.2;"""(Voluptate beatae) ; Officiis non and Facilis""";"""Note: Itaque provident id; then Cum ipsum"""
Allan Stewart;;99.1;82.2;"""Totam consequuntur: Error molestias ut nobis; Vel tempore totam""";"""(Suscipit ipsam quam alias) ; Corrupti quas and Sunt quaerat"""
Ms Hilary Jones;79.0;21.1;61.2;"""Alias: Ducimus esse esse nemo; Natus vel""";"""Veritatis perferendis: Incidunt culpa doloremque eveniet quidem; Sunt nesciunt sequi atque"""
