name;username;price;salary;rating;summary
Sheila Baxter;sheila_baxter_3359;10.0;63.1;45.2;'''Quas: Est nobis; Illo ducimus minus exercitationem'''
Ricky White-Taylor;ricky_taylor_1033;81.0;79.1;;'''(Doloremque et totam dolorum) ; Nemo possimus deleniti illo and Pariatur rerum dignissimos ipsa'''
Joshua Price;joshua_price_3346;44.0;64.1;27.2;'''Dolore placeat; Voluptas accusantium facilis Cupiditate cupiditate ipsum'''
Dr Henry Rogers;dr_rogers_1846;11.0;45.1;45.2;'''Earum error; Quasi occaecati sapiente earum earum Quibusdam dolorum consequatur repellendus'''
Mathew Brown;mathew_brown_3368;40.0;7.1;75.2;'''Ipsum reiciendis nobis vero hic: Sapiente neque; Beatae quidem'''
Jade Rees;jade_rees_7257;92.0;41.1;75.2;'''Non iste rem dolore; Ex expedita minima incidunt nisi Debitis exercitationem nulla veritatis'''
Gail Wallace;gail_wallace_6016;91.0;57.1;30.2;'''Aspernatur facere: Quos ad soluta ratione occaecati; Temporibus reiciendis'''
Lorraine Fisher;lorraine_fisher_3391;84.0;31.1;24.2;'''(Quae quod placeat temporibus) ; Ipsa iste and Mollitia pariatur'''
Dylan Edwards;dylan_edwards_3754;75.0;43.1;78.2;'''Molestiae occaecati: Magnam voluptates; Ratione quaerat'''
Dr Julian Green;dr_green_2210;26.0;59.1;91.2;'''Accusamus inventore quod: Provident debitis nesciunt ipsa laudantium; Quibusdam quasi'''
Josephine Singh;josephine_singh_2218;22.0;10.1;40.2;'''Autem vero; Ea laudantium ; Quis provident voluptatum molestias nisi'''
'Ashley O''Brien';ashley_brien_2671;26.0;36.1;25.2;'''(Fugit vitae sint) ; Esse and Veniam qui veniam aliquid non'''
Nicholas Parsons-Clark;nicholas_clark_4392;78.0;88.1;76.2;'''Note: Nesciunt nam error; then Placeat mollitia'''
Dr Clive Davies;dr_davies_9966;60.0;;28.2;'''Maiores quis; Eligendi voluptatibus odit natus aut Distinctio'''
Sandra Owen;sandra_owen_8024;18.0;49.1;62.2;'''(Provident unde itaque libero dolorum) ; Sequi aut and Fuga repellendus'''
A;tina_wilson_7694;47.0;44.1;95.2;'''Note: Dolor inventore; then Tenetur'''
Miss Sophie Moore;miss_moore_9801;91.0;62.1;77.2;'''Nostrum alias voluptatem; Asperiores quibusdam Recusandae totam hic'''
Ms Lesley Johnson;ms_johnson_8488;66.0;59.1;27.2;'''Doloribus pariatur maxime: Voluptatem aperiam quibusdam officiis; Reprehenderit id amet'''
Eleanor Jordan;eleanor_jordan_3946;95.0;39.1;55.2;'''(Sunt laudantium) ; Nisi ipsum laborum and Quibusdam libero'''
Georgia McDonald-Reed;georgia_reed_6616;;51.1;91.2;'''Note: In illum; then Amet amet non'''
Stephanie Turner;stephanie_turner_8933;50.0;23.1;16.2;'''Odit dicta sint voluptatibus minima: Debitis voluptatum dolores; Maxime quia quos excepturi'''
Elliott Green;elliott_green_8266;41.0;15.1;15.2;'''Quo tempore unde libero: Beatae numquam; Nemo eveniet'''
Dr Geraldine Sims;dr_sims_6102;16.0;16.1;48.2;'''Provident; Ipsam occaecati Alias explicabo sapiente cumque'''
Mathew Dixon;mathew_dixon_3575;77.0;23.1;81.2;'''Sint asperiores distinctio inventore placeat: Exercitationem ex incidunt consequatur atque; Maiores'''
Jean Kerr-Richardson;jean_richardson_2250;42.0;9.1;83.2;'''Expedita maxime nobis aliquid: Dicta suscipit consequatur voluptate; Vel architecto autem'''
