name;username;age;total_count;review
Diane Clark;diane_clark_7123;33.0;6.1;"""Current change tell direction adult guy: Cause want college special especially; Happy key this along"""
Craig Byrd;craig_byrd_9544;29.0;46.1;"""Interest they; Stop experience pretty ; Pull box"""
Alexandra Acosta;alexandra_acosta_4984;83.0;97.1;"""(As) ; Beyond peace well team and Military answer a accept"""
D;deborah_nolan_9930;19.0;97.1;"""Television: Girl style; Serious along same true recently fly"""
Joy Adams;joy_adams_2158;98.0;55.1;"""(Now arm) ; Garden piece structure herself point yeah and Attorney record soldier whether"""
Kevin Cole;kevin_cole_3986;94.0;93.1;"""Note: Commercial property same clearly back; then Score interview"""
Diana Shaw;diana_shaw_8253;85.0;46.1;"""(Analysis) ; May lot whether despite other and Half pay yeah"""
Cory Mclaughlin;cory_mclaughlin_7964;38.0;36.1;"""Attorney look like; Section specific small ; Give land or green economy"""
Michael Flowers;michael_flowers_0666;79.0;46.1;"""Believe concern ever; Machine capital ; Air everybody city option threat"""
Kelsey King;kelsey_king_1091;40.0;;"""Note: Standard book know; then Clear through matter"""
Barry Williams;barry_williams_0583;100.0;74.1;"""Stand; Box member treat loss Report reflect"""
Scott Bennett;scott_bennett_8241;5.0;76.1;"""Maintain low white; Grow Yard what effect help organization"""
Heather Beasley;heather_beasley_4900;96.0;8.1;"""Institution each computer move east middle: Such evening behavior; Recognize"""
Nicholas Johnson;nicholas_johnson_3960;;65.1;"""Note: Blue night bill perhaps together; then With skill"""
Michael Shepherd;michael_shepherd_7561;16.0;64.1;"""Top seek; Section Discuss cost"""
Jeremy Trujillo;jeremy_trujillo_3950;73.0;35.1;"""Practice often wall red message level; Test one ; Think carry he long way"""
Jennifer Castillo;jennifer_castillo_0076;90.0;20.1;"""Fear future: Trade girl pretty; Agreement writer yes"""
Lisa Powell;lisa_powell_5038;87.0;10.1;"""Bag right; Ready agency especially concern mother help ; Chance article"""
Nancy Gray;nancy_gray_7644;65.0;24.1;"""Defense heart ball: Begin method itself weight; Blue test above"""
Kathryn Navarro;kathryn_navarro_1523;20.0;60.1;"""You day; Song soon position question thank Newspaper put care name"""
Amy Garcia;amy_garcia_1181;33.0;27.1;"""Sell: Focus account; Crime study year rest"""
Heather Sanchez;heather_sanchez_4907;36.0;54.1;"""Note: Large range like always place; then Happy"""
Mrs. Denise Solis DDS;mrs_dds_1359;78.0;51.1;"""Note: Generation ability student those goal five; then Peace street article across travel"""
Deanna Allen;deanna_allen_3341;1.0;31.1;"""(Suggest religious employee new quality) ; Choose move source and Fish return"""
Angelica Sanders;angelica_sanders_8498;34.0;96.1;"""Guess beyond; First Line drop"""
