name;age;rating;salary;comment
Kristina Allen MD;34.0;91.1;13.2;'''Night: Woman suffer couple final conference; Actually understand key add network'''
Jessica Day;71.0;51.1;39.2;'''Note: Study itself; then Yet institution'''
Brian Richardson;74.0;2.1;100.2;'''Sort defense success brother left force; Indicate ; Hot manage style'''
Courtney Gonzalez;43.0;65.1;72.2;'''Many kitchen second necessary: Money trip; Not story'''
Robert Stevens;10.0;22.1;32.2;'''Industry: Resource woman role fast; Such first benefit wait'''
Jeffrey Smith DDS;92.0;42.1;56.2;'''(I traditional) ; Couple rest and Put base'''
Laura Watson;99.0;93.1;86.2;'''(Employee assume yard miss) ; Scientist indicate and Majority position simple'''
Michelle Reyes;43.0;96.1;9.2;'''(Enter boy president) ; Save senior research and Its green'''
Joseph Adams;22.0;;1.2;'''Contain clear national president free movement: Color oil a traditional; Bit anything medical'''
Adam Hansen;64.0;30.1;3.2;'''What main station former seat; Officer wonder plan three Policy'''
A;59.0;60.1;41.2;'''Others think: Stand hard; Party allow strategy road past minute'''
Yvette Blair;96.0;96.1;24.2;'''Total reach agreement so; Million program reason major ; The produce especially wear child make'''
Wendy Berg;62.0;64.1;;'''Sure mother: Measure half interest; Either'''
Amanda Taylor;2.0;33.1;14.2;'''Oil remember: Above will require fill; Together will wife beautiful'''
Lisa Travis;36.0;2.1;21.2;'''Note: Among; then Common actually'''
Bryan Gomez;56.0;96.1;51.2;'''Note: Like high; then Among north who'''
Bruce Villegas;28.0;76.1;81.2;'''Note: Offer edge rather; then Age parent whose'''
Misty Johnson;48.0;32.1;91.2;'''Argue that sea: Four chance understand room; Meeting often'''
Dean Smith;42.0;47.1;22.2;'''Note: Lawyer; then Prove'''
John Hughes;;88.1;73.2;'''(Be really thus manager case) ; Ground increase and Future live'''
Gabriella Davis;41.0;8.1;65.2;'''Note: Stop lay; then Goal outside hand'''
Natasha Adams;99.0;33.1;92.2;'''Article likely too source; Catch buy Mrs ; Kind ahead'''
