# This is a comment line to skip
username,name,salary,age,score,review
tiffany_le_4346,Tiffany Le,83.0,79.1,12.2,"""Why suggest police skin citizen beat: Late enjoy heart reason without, No"""
susan_payne_9020,Susan Payne,21.0,66.1,4.2,"""Note: About alone, then Wife across face dog life"""
richard_rush_9193,Richard Rush,95.0,94.1,70.2,"""Table price, Expert need Enough reflect old"""
karen_tanner_7234,Karen Tanner,72.0,19.1,68.2,"""Note: Something issue something rest decision, then Tv fire"""
jesus_cook_3582,Jesus Cook,36.0,80.1,26.2,"""Explain window direction follow into: Time will sea, Nothing candidate"""
janice_west_5044,Janice West,33.0,79.1,60.2,"""Assume wife: Your space finally mission, Interview plant effect"""
jesse_glass_5681,Jesse Glass,61.0,96.1,92.2,"""Note: Contain man, then You none any"""
joshua_austin_1362,e,78.0,56.1,75.2,"""Like key of: Maybe speech also, Ago local prove"""
patrick_weeks_0615,Patrick Weeks,61.0,,29.2,"""Police show; Else respond , Care ask live economy which"""
melissa_cunningham_6057,Melissa Cunningham,6.0,77.1,32.2,"""(Feel production according institution manage) , Strategy and Control involve this least"""
gary_long_8353,Gary Long,11.0,57.1,51.2,"""Begin catch: Production suggest, Say likely throw allow side thus"""
kylie_bowman_7402,Kylie Bowman,14.0,77.1,61.2,"""(Next least center) , None indicate per loss center and Service agent say"""
todd_johnson_4325,Todd Johnson,36.0,19.1,56.2,"""(Above carry mouth figure collection) , Cell yet address and Find social animal"""
jacob_gonzalez_7672,Jacob Gonzalez,89.0,89.1,89.2,"""Me world: Determine thus direction chance eat, Why"""
adam_welch_9728,Adam Welch,9.0,100.1,100.2,"""Note: Under back whom, then Fill same"""
mary_hayes_6796,Mary Hayes,9.0,54.1,34.2,"""Note: Federal serious, then Reduce ahead work floor"""
cassandra_clark_7120,Cassandra Clark,15.0,38.1,60.2,"""Cultural hospital information; Break safe , Assume"""
kelly_diaz_4765,Kelly Diaz,47.0,86.1,,"""(Decision science process) , War himself she moment teach and Statement"""
michael_hall_6290,Michael Hall,29.0,78.1,58.2,"""Note: Forward price bring week method part, then Despite language find financial"""
darlene_herring_2801,Darlene Herring,82.0,13.1,74.2,"""Lead: Image summer write, Report"""
tyler_torres_1381,Tyler Torres,90.0,72.1,73.2,"""Ever administration stop turn; All pull , Air"""
kristen_jones_6537,Kristen Jones,37.0,48.1,63.2,"""Per situation attention fine authority: Benefit dinner, This parent son too hope"""
dylan_travis_6667,Dylan Travis,,39.1,35.2,"""Note: Newspaper energy, then House"""
rachel_kelly_7364,Rachel Kelly,14.0,50.1,20.2,"""Note: Stop road, then Rock create agree either city perhaps"""
kelly_howell_5555,Kelly Howell,64.0,61.1,22.2,"""Note: Foot story adult, then Treatment kitchen skill"""
dr_baker_0428,Dr. Jacob Baker,57.0,82.1,60.2,"""(Power parent impact night condition) , Back yeah and Material marriage away"""
heidi_martinez_0530,Heidi Martinez,5.0,25.1,81.2,"""(Sound try economy plant) , Week result deal conference father and Husband such another"""
leslie_alvarez_9556,Leslie Alvarez,47.0,11.1,89.2,"""Note: Shoulder eight dog particular, then Must course total position month improve"""
krystal_meyer_0907,Krystal Meyer,49.0,39.1,1.2,"""Mouth very response, Reason something Which skin"""
theresa_sullivan_7822,Theresa Sullivan,44.0,61.1,73.2,"""(Board shoulder compare imagine) , Necessary against business use work back and Board pass through again model explain"""
michelle_ellis_0302,Michelle Ellis,21.0,27.1,78.2,"""Technology soon; Create rather draw , Point design"""
melissa_dds_6537,Melissa Martinez DDS,39.0,41.1,3.2,"""Arrive: Anyone these, Full TV move home"""
olivia_kelly_7506,Olivia Kelly,8.0,89.1,26.2,"""Note: Natural trouble per agent, then College during"""
amy_dds_6617,Amy Johnson DDS,70.0,4.1,56.2,"""Hear religious force; Other her help under us , Large they figure"""
alisha_scott_1729,Alisha Scott,34.0,14.1,43.2,"""(Ask individual) , Development and Room significant stock south lay"""
