# This is a comment line to skip
name	salary	rating	price	remark	comment
Francisco Stephens	96.0	53.1	74.2	"""Election: Job deal official	 Top member"""	"""Resource	 Relationship term take five Name"""
Jennifer Miller	97.0	28.1		"""(Hold six sense center I sometimes) 	 Each fear and Girl down"""	"""Note: Father mean at but	 then Action"""
Alexander Vargas	88.0	63.1	57.2	"""Economic; Pay sister 	 Similar easy they consider war"""	"""Note: Energy character be	 then Attorney them feeling"""
Gary Hart	24.0	96.1	2.2	"""Place; It what 	 Positive get"""	"""Mr across international rest: Drop majority	 Heart manager expert task although time"""
Jessica Fritz	37.0	58.1	96.2	"""Can; Through never 	 Not then end year concern"""	"""A these people model; Less some imagine age you 	 Education boy friend skill according"""
Jacob Patel	53.0	67.1	36.2	"""(Also Republican good democratic) 	 Play major knowledge and Interview record without former owner age"""	"""Note: Nearly manager lay	 then Stand"""
Erik Vaughan	72.0	16.1	86.2	"""(Suggest) 	 Down bring film side three and Political million upon career probably"""	"""Official work; Arrive ago 	 Week quickly"""
Charles Cruz	65.0	98.1	75.2	"""News those out hundred; Own such 	 Do child he large discuss ago"""	"""Other a beautiful line; Style 	 Something sense"""
Tina Smith	94.0	68.1	12.2	"""One blood center number hear: Blue real	 Someone check seek tree"""	"""Note: Key PM	 then Without explain read"""
Gregory Blake	31.0	5.1	42.2	"""Fish somebody crime society article	 Perhaps national Second sure Democrat"""	"""Station improve stuff north mean	 Class Term"""
David Wright	56.0	23.1	65.2	"""(Some cause cause theory prove edge) 	 Major and Leg experience upon"""	"""Hundred score: Want reach hospital	 Tell develop"""
Mark Sanchez	26.0	94.1	6.2	"""Study prove dark how	 Compare strong moment Off game"""	"""Major next she; Share stock increase movie 	 Difficult smile"""
Marcus Castillo		19.1	9.2	"""(Eight color conference address option) 	 Change allow consider north mother show and Change life most"""	"""Catch	 Back And family government"""
Michael Reyes	87.0	24.1	62.2	"""Tell; Source once often 	 World contain"""	"""Design particularly can down: While strategy	 Strong fund factor candidate likely"""
Elizabeth Gonzales	27.0	95.1	95.2	"""Production off: Now similar produce	 Determine contain"""	"""Note: Even out	 then Him prepare"""
Stephanie Nguyen	5.0	6.1	29.2	"""Loss speak: Between military camera focus	 Set follow cell"""	"""Blood professional	 Happen military Again resource"""
e	49.0		5.2	"""Explain figure	 Responsibility example Last process get catch reflect article"""	"""(Against actually marriage) 	 Phone major despite ask and History claim"""
Julie Johnson	57.0	77.1	60.2	"""Go today plant	 Statement general Southern special outside"""	"""New note; Include my environmental 	 Together value table return"""
Jessica Sanchez	74.0	24.1	70.2	"""Debate occur	 Bring life For just"""	"""Training west total soon despite: Effect under phone	 Both rest"""
Lauren Bradshaw	56.0	66.1	33.2	"""Contain per most; Always at music artist 	 Agency"""	"""Woman company keep; Bad arm charge from 	 Child laugh cover each"""
Charles Bradshaw	94.0	46.1	19.2	"""Peace important: West military	 Number eight"""	"""Herself individual health	 Agency environmental myself None rule collection trip provide"""
