name;score;rating;age;review
Dana Burke;13.0;25.1;74.2;'''Effect rock add; Sign run ; Market goal leave pattern'''
Joseph Robinson;14.0;25.1;89.2;'''Let next hold PM claim century; Art some use arrive open relate ; Those watch performance all'''
Lisa Cooper;82.0;92.1;17.2;'''Note: Better per summer; then Father service'''
Brenda Leon;94.0;85.1;93.2;'''Federal trouble risk provide: Member reveal; Work'''
Jason Lee;77.0;14.1;88.2;'''Different wait nothing interesting; Specific charge enough Admit behavior present buy expert'''
Robin Price;55.0;69.1;100.2;'''Step yet senior white card to; Dream prevent ; Charge head'''
Austin Davis;8.0;67.1;62.2;'''Different president product; Huge community According Mr woman star'''
Ashley Cooper;69.0;65.1;24.2;'''Note: Visit mind minute; then Responsibility know through'''
Natalie Mason;84.0;30.1;53.2;'''Final air: Election; Set'''
Andrew Harper;3.0;82.1;96.2;'''Note: Provide safe wrong window; then West contain'''
Dr. Veronica Day DDS;5.0;23.1;27.2;'''Century; Eight adult South respond political'''
Todd Hill;79.0;42.1;11.2;'''Defense; Then analysis huge read federal Least challenge board protect'''
Joel Bridges;65.0;96.1;18.2;'''Then: Couple as; Home through tonight scene'''
John Russell;72.0;;24.2;'''Red end; Finish assume ; All feel'''
Mary Cohen;66.0;25.1;69.2;'''Situation natural: Law there foreign; Difficult now continue newspaper'''
Nicole Shelton MD;93.0;74.1;100.2;'''Customer bank program; Take can ready ; Leader eight fact'''
Theresa Reid;26.0;97.1;40.2;'''Window realize feel future later; Skill skill hospital government here theory ; Story positive out water thousand'''
Cassandra Hanson;18.0;55.1;64.2;'''Note: Process war industry worker; then Drug run market'''
Nichole Sharp;2.0;37.1;;'''Note: Agreement; then Media'''
Susan Schroeder;94.0;54.1;55.2;'''Artist perform half plan something war; Cut certain across wrong fast ; Find feeling'''
o;88.0;97.1;68.2;'''(Box radio economy) ; Factor mission behind quickly maybe and Every future attention'''
Benjamin Brown;48.0;9.1;94.2;'''(Out loss church) ; Decade business and Station for peace meet'''
James Williams;51.0;31.1;42.2;'''Note: Job still animal perhaps blue; then Exactly'''
Brittany Dunn;70.0;64.1;39.2;'''List American: Hand cell arm today safe; Wind individual'''
Christopher Anderson;;65.1;43.2;'''Note: System example compare; then Road account carry'''
Anita Shaw;96.0;31.1;64.2;'''Note: Down; then Memory business kitchen'''
Caitlyn Sanchez;4.0;52.1;71.2;'''(Health challenge data) ; Special miss study all focus and Property oil'''
