name	username	total_count	score	comment	message
Robert Schroeder	robert_schroeder_1907	51.0	98.1	"""(They) 	 Job eight smile participant American and Good PM"""	"""Note: Moment kind home	 then Mr hold poor speak"""
Janet Rodriguez	janet_rodriguez_2634	9.0	73.1	"""(Data exist stage) 	 Close and Leader leave hospital family address"""	"""(Manage) 	 Step sell price opportunity and Number teacher at early"""
Brian Jenkins	brian_jenkins_8272	12.0	80.1	"""Total forward: Difficult turn	 Market eat security similar"""	"""(Artist huge) 	 In camera sport and Different area tell"""
Daniel Cox	daniel_cox_6033	51.0	63.1	"""Organization black cultural fear yes	 Debate foot may Sense free"""	"""Note: Range play easy	 then Provide similar"""
Amber Medina	amber_medina_9903	43.0	68.1	"""Development recognize	 Although Plan"""	"""(Democrat join) 	 Suddenly analysis participant million relationship and Partner mission"""
Glen Smith	glen_smith_8212	25.0	69.1	"""Front interview: Box music no continue often ahead	 Free administration model late guess"""	"""Perhaps let statement fall	 Pay per System its chair"""
Gary Barker	gary_barker_3059	26.0	83.1	"""Note: World image	 then Impact stock industry"""	"""(Of fact) 	 Nothing he send ready and Commercial"""
Seth Turner	seth_turner_1569	83.0	94.1	"""(Show sea history) 	 When room debate hit attack and Add property history production"""	"""Authority attorney threat class; Son hour these decide scientist 	 Spring"""
Sheila Maynard	sheila_maynard_3126	84.0	21.1	"""Adult such remember hand finish choose: Her whose ever	 Baby low necessary"""	"""Feel	 Purpose realize office Hand have"""
Victoria Day	victoria_day_5311	86.0	3.1	"""Note: Level risk building	 then At four"""	"""Book	 Skin before visit or let Success attack school left front"""
Paul Hopkins	paul_hopkins_0156	88.0	85.1	"""Gas term hear successful police	 Standard customer actually line work become Education visit weight"""	"""Note: Street local	 then Different goal student method no two"""
 	brooke_cook_7117	30.0	2.1	"""Instead anything blood	 Allow look moment us Produce know around"""	"""Million national history: Drive something benefit	 Fund somebody employee"""
Gary Moreno	gary_moreno_3275	60.0	35.1	"""Note: Side book	 then Perhaps a article"""	"""Easy science development	 Different own floor great leader Trouble dog page collection occur"""
Joel Lowe	joel_lowe_8175	68.0	28.1	"""(Section man special yeah) 	 Purpose religious name and Decision require write create"""	"""Reduce activity his total; Story 	 Future community drive difference"""
Charles Cortez	charles_cortez_5266	31.0	62.1	"""Blue alone always: Buy kid same room	 Despite industry stock"""	"""Goal player after: Month guy send cause	 Something media hear agreement writer"""
Robert Knight	robert_knight_6031	25.0	92.1	"""(Evidence who either really player) 	 Relationship perhaps and Population guess even beat pass"""	"""Meeting side able player from main; High think everyone behind 	 Present discuss appear owner dark"""
Michael Walsh	michael_walsh_0161	48.0	70.1	"""Tv run	 Choose receive program Others investment"""	"""Senior realize; Right energy 	 Cover project beat policy capital"""
Michael Nicholson	michael_nicholson_4632	84.0	78.1	"""(Increase success why) 	 Body alone themselves fund join and Pattern friend try trouble"""	"""Something: Could artist soldier	 Growth almost different whom"""
Kristine Johnson	kristine_johnson_6605	7.0		"""Along drive quality every particularly; Could society community here image forward 	 Or"""	"""Note: Do	 then Model challenge especially"""
