# This is a comment line to skip
name,rating,score,comment
Mary Robles,,52.1,"""Note: Personal rather, then Training"""
Janet Walker,57.0,77.1,"""Different central avoid director, Congress writer Compare establish"""
x,59.0,88.1,"""Upon fire, Black state down note environment Cup southern"""
Caitlyn Perez,32.0,79.1,"""(Another in available) , Sea out Congress garden and Still town idea fact"""
Jason Patterson,71.0,29.1,"""(Similar around) , Pass oil poor her and Within develop"""
Zachary Padilla,48.0,,"""Measure tree catch trouble after: Office along heavy last, Morning one but"""
Juan Miller,42.0,77.1,"""Note: Foot member relate oil concern, then Week"""
John Hernandez,70.0,23.1,"""Class expect region; Everything structure at , Consumer product foreign structure first avoid"""
John Cole,84.0,27.1,"""Cold line: People instead offer, Color peace hope visit last approach"""
Reginald Hudson,70.0,40.1,"""Collection always of; Near among end , American wonder risk significant hold significant"""
Robert Spears,58.0,41.1,"""Trade hundred avoid election blue boy: Or skin sea create, Building beat statement sign"""
Patrick Taylor,37.0,59.1,"""Lose; Around guy population seek suddenly would , Change enter itself"""
Vicki Navarro,12.0,22.1,"""(Doctor purpose receive where) , Inside country meet least either and Degree state factor responsibility"""
Michele Rowe,89.0,76.1,"""Small major perform be, During Student court"""
Cameron Olson,92.0,49.1,"""Cultural almost recent growth, Practice environmental point Despite become business"""
Adam Schneider,20.0,32.1,"""Hot; Notice dinner past , Approach shoulder"""
Diana Keller,100.0,69.1,"""City service back; Baby , Ask test strong"""
Kimberly Crawford,41.0,61.1,"""(Form measure) , Security represent state traditional and Leave loss"""
George Hutchinson,81.0,72.1,"""Close probably remember away its player: They trade similar card recent, Will music away"""
David Luna,23.0,68.1,"""Account health; Learn whom within , Six develop point knowledge"""
Kristine Reynolds,6.0,58.1,"""Note: Would way record, then Partner"""
Carlos Mata,56.0,39.1,"""Benefit: Evening draw reveal wrong south, Perhaps boy"""
