username;name;price;age;rating;description
lindsey_coleman_6108;Lindsey Coleman;79.0;88.1;57.2;'''(Adult) ; Assume and Often want leader'''
jessica_stephens_8183;Jessica Stephens;97.0;82.1;49.2;'''Note: Author finally; then Kind'''
lauren_chase_6364;Lauren Chase;10.0;31.1;97.2;'''(Act young allow growth) ; Serious kid and Serious'''
leah_atkins_8055;Leah Atkins;81.0;23.1;68.2;'''(Research) ; Expert food best pretty bed and Leave left'''
matthew_brown_2382;Matthew Brown;82.0;79.1;94.2;'''Skin cover street; Republican ten practice Little'''
phillip_vaughn_7000;Phillip Vaughn;36.0;77.1;73.2;'''Fish herself: Week sound; Class unit ever'''
brittany_davis_0410;Brittany Davis;73.0;17.1;91.2;'''Note: Another book fast century member there; then Message design before right'''
sherri_flowers_8309;Sherri Flowers;32.0;38.1;69.2;'''Note: Glass third cover tough; then Area step source total player short'''
rachel_white_0659;Rachel White;99.0;95.1;49.2;'''Word; Southern fight Mrs However within agency candidate rule hold'''
amber_winters_0114;Amber Winters;58.0;43.1;96.2;'''Dark TV no office; Water do through serious if ready Require role decide'''
andrew_obrien_0309;Andrew Obrien;52.0;15.1;;'''Send line official my; Weight feeling whom picture everybody To experience'''
joseph_neal_3392;Joseph Neal;58.0;13.1;21.2;'''Final lose mother child: Decide; Go remain treatment'''
ricardo_white_9852;Ricardo White;54.0;2.1;72.2;'''Act last arm; Two can Speak physical'''
lauren_dominguez_1096;x;18.0;17.1;80.2;'''Need wait many stand skin his; Term ; At'''
brittany_wilson_1787;Brittany Wilson;72.0;20.1;60.2;'''Step end; Land always girl financial memory ; Son long'''
scott_duncan_2439;Scott Duncan;16.0;27.1;31.2;'''Note: Tough exactly arm enough; then Become to'''
christina_hicks_6692;Christina Hicks;89.0;10.1;16.2;'''Ability team operation money more; Step position show usually explain Worry police'''
raymond_nguyen_5226;Raymond Nguyen;;32.1;28.2;'''(Above every) ; Street and Anything visit condition'''
nancy_guzman_4991;Nancy Guzman;33.0;23.1;87.2;'''Ready inside address: Although doctor force science; Box whatever'''
david_schmidt_3720;David Schmidt;77.0;13.1;20.2;'''(Sea opportunity) ; Alone unit those and Spring'''
jason_rush_7344;Jason Rush;84.0;;57.2;'''Agree family; Lead space ; Different most medical'''
thomas_miller_2546;Thomas Miller;18.0;34.1;58.2;'''Raise; Bad involve Deep rather school'''
jeffery_finley_7143;Jeffery Finley;74.0;12.1;57.2;'''Lose science: Be term; Apply trial tough necessary town'''
wayne_case_0741;Wayne Case;20.0;81.1;37.2;'''Seven much; Factor cell plan improve Raise thousand them'''
glenn_davis_3441;Glenn Davis;77.0;39.1;44.2;'''Note: Available student recently way watch grow; then Later lose bed'''
stephen_morris_1681;Stephen Morris;10.0;43.1;41.2;'''Represent level dinner; Method raise move Husband party'''
christopher_iii_3359;Christopher Martinez III;35.0;56.1;57.2;'''Arm; Available under ; Single operation'''
scott_morgan_9670;Scott Morgan;34.0;78.1;3.2;'''(Project interest reflect write professor) ; Success event Mrs and Evening'''
jeffrey_hamilton_5070;Jeffrey Hamilton;9.0;19.1;7.2;'''(Guy picture) ; Kid look game play talk and Different'''
joel_baker_8664;Joel Baker;53.0;16.1;59.2;'''Toward particular; Against few whom ; Record wrong notice'''
