username;name;rating;total_count;note
clifford_gregory_8306;Clifford Gregory;28.0;23.1;'''Perspiciatis odio similique; Aspernatur natus libero laudantium quasi nostrum Amet saepe laborum voluptatibus esse'''
wendy_bishop_1189;Wendy Bishop;94.0;100.1;'''Note: Dolor aspernatur; then Iure harum inventore'''
mr_harris_4320;Mr Stuart Harris;76.0;37.1;'''(Neque tempore natus aliquam) ; Tenetur numquam illo et est at vitae and Libero'''
dr_holland_0935;Dr Linda Holland;90.0;92.1;'''(Odio esse) ; Impedit debitis and Officia nisi laboriosam qui molestiae'''
dr_stone_6799;Dr Antony Stone;70.0;73.1;'''Note: Rerum dolor repudiandae hic eum; then Nisi autem'''
georgina_dyer_6183;Georgina Taylor-Dyer;100.0;95.1;'''Note: Nesciunt; then Ex provident'''
dr_hill_5277;Dr Amber Hill;28.0;81.1;'''Reprehenderit veniam cumque sapiente accusantium; Consectetur distinctio quis veritatis impedit ; At'''
josh_whittaker_7124;Josh Whittaker;52.0;2.1;'''(Impedit possimus quo neque) ; Minus atque repudiandae modi ab animi and Eligendi quae'''
tracy_robertson_7018;Tracy Doherty-Robertson;34.0;20.1;'''(Adipisci cupiditate) ; Temporibus and Et et'''
joseph_mccarthy_7087;Joseph McCarthy;22.0;;'''Note: Cum laboriosam; then Nemo atque animi nihil'''
gillian_carter_7680;Gillian Carter;50.0;81.1;'''Quis expedita omnis nostrum eos magnam; Amet repudiandae commodi blanditiis necessitatibus ; Laboriosam nemo'''
dr_adams_4054;Dr Rhys Adams;34.0;92.1;'''Iusto alias: Dolorum dolorem modi dolorum necessitatibus autem; Ut at ex qui ipsum'''
ms_rhodes_0527;Ms Megan Rhodes;27.0;27.1;'''Note: Repellendus sunt; then Laborum quisquam ex tempora'''
keith_kelly_3447;Keith Kelly;54.0;17.1;'''Officiis ducimus; Id tempora sed ; Aspernatur mollitia'''
aaron_cross_4914;Aaron Roberts-Cross;16.0;99.1;'''Est; Ullam placeat Officiis molestias odio praesentium'''
bernard_griffin_2414;Bernard Harrison-Griffin;62.0;32.1;'''Hic explicabo dolor; Dolores occaecati ; Harum tenetur error placeat'''
hilary_taylor_1127;Hilary Pugh-Taylor;33.0;71.1;'''(Porro commodi) ; Error and Minima accusamus'''
carol_reed_7528;x;52.0;2.1;'''Beatae blanditiis; Id velit sit sapiente officiis Eaque magnam facilis rem officiis labore'''
garry_nicholls_1072;Garry Nicholls;;77.1;'''Note: Officiis sit similique suscipit aliquid; then Accusantium doloribus earum'''
lynda_evans_7227;Lynda Campbell-Evans;27.0;6.1;'''Optio: Eligendi incidunt dolores; Officiis consectetur'''
mr_patel_2790;Mr Maurice Patel;84.0;96.1;'''Eius et est; Eligendi in praesentium Consequuntur corporis'''
shannon_brookes_7450;Shannon Brookes;90.0;24.1;'''Hic autem; Debitis sequi aperiam ad ; Veniam sint labore in'''
duncan_wright_5481;Duncan Wright;71.0;23.1;'''(Rem maiores) ; Vitae aut impedit and Fuga et architecto iure optio'''
maureen_coleman_1102;Maureen Coleman;62.0;48.1;'''Cum quisquam nemo debitis minus: Vitae veniam nihil excepturi blanditiis quas; Temporibus cum'''
ashleigh_davies_8424;Ashleigh Davies;58.0;74.1;'''Note: Praesentium eveniet; then Impedit rerum dicta distinctio ex aut'''
grace_edwards_5345;Grace Edwards;82.0;36.1;'''Officiis deleniti quia: Maiores; Delectus nisi sapiente'''
antony_hardy_0515;Antony Hardy;86.0;52.1;'''Labore eius dolore: Delectus nulla modi; Reiciendis dolor'''
denis_freeman_2611;Denis Freeman;24.0;93.1;'''Distinctio delectus iure; Ad delectus ; Cupiditate similique iure'''
dr_gregory_1892;Dr Linda Gregory;32.0;90.1;'''Note: Iure; then Nesciunt at pariatur'''
