name;rating;age;salary;review
Connor Walker;23.0;49.1;98.2;'''Quia assumenda; Dolorem sit Numquam nulla quae'''
Alice McKenzie;37.0;90.1;50.2;'''Repellat consequuntur itaque; Beatae fugiat harum In repellendus optio harum vero'''
Darren Howell;74.0;29.1;44.2;'''Tenetur porro; Assumenda doloribus cum reiciendis Voluptatum et'''
Pauline Watson;67.0;77.1;64.2;'''Note: Voluptas; then Blanditiis incidunt delectus'''
Joseph Jackson;1.0;95.1;72.2;'''Note: Quam tempore non; then Maxime omnis'''
Shannon Chapman-Roberts;27.0;94.1;46.2;'''Provident totam: Hic a qui; Cumque suscipit facilis'''
Ms Marion Burke;47.0;22.1;35.2;'''Rem facere; Rerum ; Minus'''
Diane Harding-Shaw;80.0;37.1;82.2;'''Doloribus quisquam rerum porro: Ut placeat culpa laudantium; Ipsam magni'''
Mr Simon Francis;30.0;87.1;48.2;'''(Reiciendis repudiandae) ; Veritatis praesentium neque and Quasi voluptate doloremque'''
Amber Begum;52.0;33.1;9.2;'''(Commodi at vitae deserunt) ; Veniam vel officiis placeat and Natus adipisci maxime dicta'''
Carl Green;;;74.2;'''Culpa et omnis; Dignissimos iusto atque consequatur inventore Minima veniam beatae qui mollitia esse'''
Thomas Hart;75.0;84.1;46.2;'''Note: Officia; then Commodi recusandae minima consequuntur consectetur'''
Carol Arnold-Phillips;81.0;96.1;13.2;'''(Iure) ; Doloribus porro suscipit and Mollitia ullam officia voluptatem totam commodi'''
Geoffrey Alexander;94.0;92.1;100.2;'''(Consectetur illum id) ; Error quam and Doloremque distinctio fugit aut'''
Mrs Eileen Lloyd;64.0;94.1;50.2;'''Rerum quis dolorem accusamus; Hic illum ; Similique nemo velit'''
Mohammed Lucas-Marshall;86.0;5.1;9.2;'''Note: Nemo totam dolorem; then Voluptate tenetur'''
Miss Mary Morris;11.0;4.1;66.2;'''Cum adipisci a dignissimos amet dicta; Officia vitae reprehenderit Eum qui quibusdam'''
Dr Catherine Francis;3.0;36.1;30.2;'''Exercitationem quas optio quod illo vero; Explicabo aspernatur Excepturi laborum'''
Marion McKenzie;83.0;57.1;39.2;'''Note: Quos praesentium architecto alias; then Deleniti facere'''
Abdul Reid;32.0;9.1;75.2;'''Note: Officiis tenetur; then Fuga aliquid distinctio'''
Mrs Ellie Gibson;28.0;78.1;50.2;'''Tenetur dignissimos odit: Officia eius neque nulla; Sint'''
Mrs Kate Waters;25.0;23.1;83.2;'''(Voluptates eveniet incidunt optio) ; Alias nam and Voluptates'''
Danielle Banks;58.0;58.1;10.2;'''Libero pariatur at officiis: Fugiat velit; Quae'''
David Fox;9.0;2.1;75.2;'''At deserunt: Eum suscipit ad omnis quisquam; Tempora ad earum occaecati'''
Marc Cox;18.0;98.1;40.2;'''(Ullam vero) ; Quo accusantium and Quibusdam possimus doloremque adipisci'''
 ;22.0;22.1;98.2;'''Note: Suscipit magni similique; then Perferendis ducimus'''
Mr Sean Curtis;11.0;78.1;97.2;'''(Quod minima reprehenderit) ; Corrupti exercitationem nemo odio voluptatibus and Architecto quod'''
Ross Harding;9.0;32.1;88.2;'''Inventore beatae ipsam; Vel at repellendus Atque suscipit animi voluptatum'''
Stephanie Clark-Ball;19.0;8.1;;'''Sapiente laboriosam doloremque minima; Eligendi Accusantium'''
Elliott Hale;14.0;78.1;26.2;'''(Perspiciatis) ; Quasi repudiandae and Necessitatibus deleniti ullam'''
