name,age,price,review
Matthew Patrick,88.0,24.1,"""(Mention less) , Surface style and Responsibility major happen"""
Emily Cabrera MD,61.0,34.1,"""Note: Majority however, then Watch production stuff"""
Steven Reed,89.0,18.1,"""Fact claim majority energy central stay, Image military smile Mouth sit"""
Karen Johnston,1.0,97.1,"""(Society year) , Western kitchen and Step eat want must understand"""
Kenneth Donovan,80.0,33.1,"""Same line over: Above down gas purpose, Station"""
Brittney Davis,86.0,3.1,"""(Threat develop scene few) , Hard and Point scene cold"""
Albert Mann,89.0,54.1,"""Cut table, Section game miss Safe image arm"""
e,85.0,29.1,"""(Safe another) , Measure trial early across and Almost every"""
Timothy Meyer,19.0,60.1,"""Note: Note create newspaper, then Five whose thought"""
Haley Adams,95.0,38.1,"""Medical individual type, Physical pass Task"""
Jacqueline Monroe,50.0,23.1,"""Develop work huge serve; Deal , Consider"""
Corey Sherman II,,1.1,"""Always around feeling, Think strategy Husband cold"""
Carlos Boyle,74.0,,"""Class form, Answer go thing Training five enter"""
Aaron Williams,35.0,2.1,"""Score its dog record few, Suggest Describe act"""
Anthony Morales,100.0,17.1,"""Note: Him seek walk law, then Common onto maybe within"""
Denise Haas,2.0,32.1,"""Outside listen PM, Across Story whose television"""
Christina Miller,81.0,46.1,"""Memory: Many since discuss both around, Man war"""
Colleen Donaldson,17.0,42.1,"""Peace strategy history cost into; Bed reflect case growth enter , Billion in"""
Meagan Lowery,97.0,55.1,"""(Weight ahead adult) , Dark and Any ten help reason"""
Ann Rodriguez,70.0,12.1,"""A determine star already lot: Future group, Positive television officer night"""
Lindsey Anderson,33.0,54.1,"""Note: Computer, then Cultural factor white"""
Jeffrey Hill,29.0,63.1,"""(Check stop finally performance six) , View situation and Animal child coach remain"""
Jake Nguyen,27.0,98.1,"""Note: Here glass instead into, then Education shoulder"""
Jeanette Mitchell,83.0,72.1,"""Rock administration computer respond; Themselves performance painting need , Dinner senior do sea"""
Evan Brown,48.0,41.1,"""At for give defense conference, Heart heavy Event step term"""
Debbie Sloan DDS,39.0,39.1,"""Look consider: Well write watch, Five fight your law"""
Paul Hamilton,90.0,10.1,"""(Media) , Continue impact and Which"""
Christine Rice,28.0,68.1,"""Art data: Surface beautiful imagine, Choice"""
Jennifer Potts,3.0,15.1,"""Effect model pass create; Man friend , College crime hot"""
Jacqueline Wilson,26.0,77.1,"""Their safe professional sing nearly machine; To artist dog pay image , Voice station there break raise"""
