# This is a comment line to skip
name,username,salary,total_count,score,remark
Andrew Park,andrew_park_8258,32.0,12.1,75.2,'''Note: Leave card bill at ability situation, then Goal leg'''
Kenneth Stokes,kenneth_stokes_4722,26.0,85.1,10.2,'''Run debate: Population listen which rock, Teach share'''
Bradley Richards,bradley_richards_8185,28.0,11.1,46.2,'''Agreement sea; Republican himself nor area drop court , Rise receive full sit'''
Andre Evans,andre_evans_7619,21.0,96.1,32.2,'''Three build; Dark evidence once across , Successful card improve participant'''
Shelby Thomas,shelby_thomas_0382,77.0,32.1,75.2,'''Language seat; Give continue , Husband try range'''
Kayla Berg,kayla_berg_4942,81.0,88.1,26.2,'''Note: Term speak hour doctor, then Card general mind he'''
Justin Merritt,justin_merritt_3722,92.0,57.1,9.2,'''Three, Though store foot Still top'''
Gregory Stout,gregory_stout_5238,87.0,84.1,78.2,'''Run ago what rise: Camera consumer, Exist'''
Robert Ingram,robert_ingram_4675,36.0,24.1,72.2,'''Wind, Property when foreign cover Near hear fear three'''
Ashley Nash,ashley_nash_4908,80.0,65.1,1.2,'''Note: Onto particularly, then Amount staff probably government'''
Anna Mcmillan,anna_mcmillan_9521,65.0,10.1,41.2,'''Section purpose floor big information table; Visit , Away'''
Isaiah Fox,isaiah_fox_8864,61.0,82.1,28.2,'''(Establish hour) , Before young back and Catch collection leader enjoy blood per'''
Lindsay King,lindsay_king_6270,74.0,78.1,72.2,'''Group beautiful: And, Those'''
Nancy Johnson,nancy_johnson_0119,87.0,93.1,4.2,'''Heavy: Common difficult, Rule foreign'''
Joshua Cuevas,joshua_cuevas_8614,70.0,46.1,19.2,'''Exist great: Tonight likely may election, Huge exactly human'''
Jack Harrington,jack_harrington_0380,79.0,72.1,82.2,'''Data plant accept; Her finish blood its , Future'''
James Diaz,james_diaz_8310,74.0,38.1,57.2,'''Painting north quality, Subject Sing fill'''
Mary Vance,mary_vance_4444,59.0,44.1,67.2,'''Part dream necessary; Former , Carry language air'''
Jessica York,jessica_york_3417,33.0,54.1,26.2,'''Note: Magazine make should, then None mean loss some approach'''
Amy Garcia,amy_garcia_8779,22.0,31.1,51.2,'''(Start performance weight recent visit) , President such and Second thing why best'''
Darrell Schultz,darrell_schultz_4594,62.0,86.1,98.2,'''Best meet third crime themselves: Tree article increase, Stuff moment agree color'''
Dorothy Williams,dorothy_williams_8261,85.0,11.1,71.2,'''Southern out keep; Ask writer though between produce , In'''
Elizabeth Pineda,elizabeth_pineda_1372,67.0,36.1,51.2,'''Strong cold whatever ball music, Stuff billion education Beautiful star act'''
Dustin Smith,dustin_smith_3750,52.0,54.1,14.2,'''Note: Clearly central, then Play'''
Ricky Gonzalez,ricky_gonzalez_5636,91.0,4.1,68.2,'''Democrat water serious boy speech; Evening official quickly indeed , Could unit'''
Matthew Dorsey,matthew_dorsey_4385,22.0,17.1,99.2,'''Point; Just third production particular develop , Difference later professional budget note'''
Riley Choi,riley_choi_3791,25.0,7.1,79.2,'''Local modern: Hope hit, Against radio reduce crime'''
Aaron Young,aaron_young_2168,65.0,12.1,26.2,'''(Growth strategy fast line) , Picture them and Official your'''
Emily Chambers,emily_chambers_6669,4.0,90.1,10.2,'''Occur measure interview economy old way; Lose ball also between , Against account'''
Mr. Steven Evans,mr_evans_1815,8.0,64.1,86.2,'''Note: Side usually send human, then Class federal nation'''
Brian Henry,brian_henry_5821,87.0,21.1,20.2,'''Present leave, Stay list world All assume without down west'''
Belinda Allison,belinda_allison_0102,14.0,38.1,69.2,'''Note: Others through party, then Start head better politics community'''
l,rose_landry_1001,18.0,65.1,75.2,'''(Statement) , Include and Tree there respond each nature'''
Shannon Duran,shannon_duran_5036,95.0,32.1,2.2,'''(Mrs action) , Threat believe and Soldier social'''
Chad Bray,chad_bray_5679,4.0,16.1,55.2,'''(Buy spend) , Country most along summer yet and Instead recently'''
Dawn Brock,dawn_brock_8808,44.0,96.1,17.2,'''Off until hospital, Too nearly here physical check decide Standard read meet case'''
Bernard Russo,bernard_russo_7327,15.0,48.1,97.2,'''West character: Per box long research, Success you'''
Eugene Chen,eugene_chen_4901,97.0,92.1,83.2,'''(College heart choose read) , Successful give and Indicate suddenly ten discussion consumer him'''
Deborah Alvarado,deborah_alvarado_5355,85.0,2.1,85.2,'''Exactly Mrs reflect change; Worry shoulder , Suggest'''
Deborah Oconnor,deborah_oconnor_5120,73.0,89.1,98.2,'''Note: Standard turn, then Crime strategy store dark space'''
Sabrina Smith,sabrina_smith_0976,90.0,29.1,12.2,'''(Center pass) , Quite check and Owner'''
Anthony Anderson,anthony_anderson_6957,82.0,48.1,,'''Billion head task decision, Notice spend Add'''
Kyle Smith,kyle_smith_5497,3.0,58.1,71.2,'''Note: Movement almost outside change, then Sister yourself throw'''
Gina Stewart,gina_stewart_5555,5.0,90.1,36.2,'''Note: Paper, then Face family toward court pressure stage'''
Gary Brown,gary_brown_3391,44.0,51.1,90.2,'''Note: Phone, then Food hair later'''
Cheryl Avery,cheryl_avery_0335,37.0,,43.2,'''Throw maybe conference mind her; Deal hope , Nothing money some future him factor'''
Gina Woodard,gina_woodard_0594,,39.1,31.2,'''Real thing, Figure compare green Mind machine quality'''
Wayne Gregory,wayne_gregory_0908,1.0,26.1,40.2,'''Such agent; Trial think everybody , Cost involve beyond while'''
Robert Banks,robert_banks_2104,44.0,11.1,45.2,'''(Data anything) , Such challenge woman necessary soldier determine and War along win so raise'''
