name	rating	total_count	summary
Leslie Smith	73.0	69.1	'''Successful enjoy surface	 Yourself phone Pass office early matter account'''
Shannon Gordon	22.0	25.1	'''Enjoy population computer: Cause miss free	 Day north east pull how statement'''
Terry Robinson	38.0	79.1	'''(Discussion identify) 	 Congress specific and Because class term set simple'''
William Martin DDS	30.0	1.1	'''Develop long nor entire: Public	 Although material trade security in enough'''
Lauren Myers	31.0	8.1	'''(Entire create) 	 System Democrat and Form benefit'''
Leah Benjamin	98.0	16.1	'''Pass should pass budget data design: Only soldier	 Out'''
x	8.0	98.1	'''(Cultural imagine) 	 Spring bad move and Attack prove certainly responsibility'''
Elizabeth Huynh	56.0	3.1	'''Bad; Social church the own 	 Success evening vote'''
Joshua Jones	28.0	79.1	'''Note: Community	 then Forward'''
Troy Thomas	72.0	35.1	'''View space result plant: Value	 Who rate'''
James Ford	93.0	6.1	'''Be dark: More my	 Market bar fact individual'''
Harry Gonzalez	65.0	58.1	'''Front share way film	 Study whose person own Table speak partner explain visit movie'''
David Kelly	34.0	26.1	'''Our anything; During add 	 Read son'''
Betty Bates	49.0	69.1	'''Own catch a	 Young bring bring fire Term letter off'''
Zachary Gonzalez	76.0	66.1	'''Note: Network seek guy its once plant	 then Security'''
James Norris	38.0	51.1	'''(Statement hundred) 	 Trouble air fish project and Participant natural'''
Rebecca Taylor	46.0	62.1	'''Note: Establish north be	 then She try state'''
Allison Cruz	97.0		'''Approach remember human	 City Executive'''
Patricia Taylor	6.0	53.1	'''Middle fire; Strong professor myself 	 Clearly plan support among'''
Robin Mcmillan		56.1	'''Them include behavior tree she: Possible head until heart such	 Court say miss value'''
Maria Harvey	20.0	61.1	'''(Everybody not leader) 	 Prepare break else and Special draw reach'''
Frank Carroll	85.0	58.1	'''Effect nothing him trip: Deal pass store	 Institution wonder'''
Erica Lane	53.0	45.1	'''(Him trouble anything without) 	 Local and Loss especially'''
Stephen Morgan	27.0	98.1	'''Note: Control	 then Show opportunity'''
Susan Wilkinson	96.0	21.1	'''Participant trouble: Lot agency camera country small	 Night sense receive consider process feeling'''
Ebony Ramos	14.0	74.1	'''Couple wait others last	 His than Animal value'''
Wanda Wood	74.0	95.1	'''Total once child it knowledge position	 Congress eat full Full can check myself environmental'''
Jacob Bell	88.0	67.1	'''Serve course force player meeting: Leader point garden drop final leg	 Hold story fast'''
Tracey Maxwell	56.0	81.1	'''Card family sister; Hospital ability born Congress glass 	 Society'''
Bill Martinez	31.0	2.1	'''Certainly	 Interview bad Relationship hair example you eight'''
David Lopez	86.0	42.1	'''Will I; Long provide reflect 	 What keep theory movie'''
Carol Peters	39.0	10.1	'''Note: Former season add	 then Really story'''
Kevin Perez	69.0	72.1	'''Attack never whom between hundred	 Speech serious huge market memory election Cause discuss trial'''
Robert Barker	80.0	96.1	'''(Pm until dog) 	 Factor suffer recent event something and Her act'''
