# This is a comment line to skip
username;name;total_count;age;price;comment;review
john_chavez_0859;John Chavez;9.0;19.1;79.2;"""Still main what; Value carry Certain together""";"""Easy room avoid police away; No human ; Either or bed price develop"""
christina_hudson_7826;Christina Hudson;81.0;9.1;88.2;"""Note: Investment the yeah different agent; then Board""";"""Your white imagine stop: Source prepare skill middle; Involve together"""
matthew_romero_3992;Matthew Romero;21.0;6.1;76.2;"""Note: Teacher black; then Fast choice contain lot recently""";"""Source health maybe: Hard; How"""
wendy_dougherty_2779;Wendy Dougherty;77.0;54.1;69.2;"""One: Clear measure difficult; These top many state quite""";"""Note: Energy run space pick; then Dog evening look great respond"""
john_perry_5928;John Perry;19.0;65.1;41.2;"""Open; Dog yet budget Evening""";"""Author positive; Point Yeah"""
ashley_barker_5247;Ashley Barker;61.0;63.1;93.2;"""Single less; Fine other American""";"""(Wide though tax) ; Situation cell and How"""
scott_anderson_1444;Scott Anderson;1.0;19.1;87.2;"""Note: Life mention major; then Friend simple direction policy""";"""(Economy add hit beyond tend) ; Lead actually order and Raise usually"""
anne_nielsen_8817;Anne Nielsen;94.0;30.1;92.2;"""Note: Usually simply example; then Where few agreement""";"""Usually visit; Sign place Head reflect"""
aaron_weeks_9369;Aaron Weeks;93.0;71.1;23.2;"""Red who: Drop glass tell beyond name; Involve store teach medical""";"""Note: Certain; then Try draw"""
stanley_sanchez_1757;Stanley Sanchez;14.0;75.1;64.2;"""Note: Risk direction remember number people; then Rock suddenly popular of""";"""Treatment: Audience trip he response; Member if story it box"""
aaron_buck_3935;Aaron Buck;;75.1;74.2;"""Simple else reality question call; Second suddenly same class rock enough Term account""";"""(Recent beautiful) ; Provide until seek happy and Economic action"""
amy_vance_0520;Amy Vance;24.0;35.1;5.2;"""President move physical computer do only; Age Level security interesting""";"""Majority agency walk raise; Likely instead your possible song well Drug direction"""
lisa_dickson_2162;Lisa Dickson;86.0;60.1;48.2;"""Moment outside; Sure recognize star Speak image forward""";"""(Director affect behind likely) ; Senior project prevent rule and Player money"""
michael_palmer_6384;Michael Palmer;97.0;97.1;94.2;"""Expert from; Student main ; Sound""";"""Note: Training; then Business sure tonight"""
brandy_mercado_0887;Brandy Mercado;8.0;;;"""Fact apply federal drop; And prevent military mission president consider ; Modern list modern""";"""Note: Teacher; then Carry garden industry"""
danielle_adams_1828;Danielle Adams;97.0;67.1;38.2;"""Radio each news; Music simple piece despite gas such Our either deep for""";"""Mother happen need ago: Stand speech long traditional sport; Audience leave wall trial many spend science"""
kimberly_lester_9660;Kimberly Lester;59.0;36.1;93.2;"""Safe eight company actually send; Why Lose""";"""Nation space feel soon: Father rich film reality field; Smile"""
joseph_williams_8245;Joseph Williams;93.0;6.1;6.2;"""(Occur) ; Share cup else manage and Into indicate treatment modern together under""";"""This generation nor book; I ; Attack bill hospital land produce defense"""
kenneth_alexander_4840;Kenneth Alexander;17.0;70.1;22.2;"""Level soldier young; Past away ; Operation keep word ready child""";"""Leg identify: Bad item chair as its agent; Social"""
ashlee_castaneda_9387;Ashlee Castaneda;35.0;69.1;14.2;"""Note: Include rather by; then According trade quickly year""";"""(Anyone individual former leg) ; Still strong meet effect now and Individual"""
michael_harper_5516;Michael Harper;24.0;74.1;12.2;"""Maybe; Use land ; Security machine agency""";"""Wonder save leg budget: Take former behavior; Field station catch though"""
mark_stevens_4648;Mark Stevens;58.0;31.1;83.2;"""Note: Level technology war north; then Wall ability chance age doctor debate""";"""Apply experience; Purpose age answer Either kind page"""
john_zamora_8363;John Zamora;17.0;4.1;69.2;"""Note: Current piece various report; then Ground clear""";"""Check audience; Leg until thing occur memory run ; Painting class billion particular big week"""
jason_noble_1783;Jason Noble;48.0;63.1;53.2;"""Light arm politics figure seat; Get black Performance become risk music bring""";"""Note: Suddenly; then Daughter employee"""
gwendolyn_oneill_0733;Gwendolyn Oneill;47.0;12.1;100.2;"""(Unit six particularly) ; Star and Century including fine film church""";"""Note: Century strategy conference; then Great make ball"""
toni_chapman_5027;l;34.0;41.1;78.2;"""Note: Government network; then Probably""";"""(Truth) ; Last front and Both"""
nicole_terry_8793;Nicole Terry;34.0;83.1;89.2;"""Wonder deep none stay: Cover interest partner anyone; Seek many old certain""";"""(Reality create movie wind) ; Heart and Send glass fund reason green"""
brian_ball_0815;Brian Ball;74.0;35.1;85.2;"""(Nor soldier) ; Writer practice and Soldier mouth""";"""(Find) ; Out buy and Respond trade newspaper treat"""
