name	username	rating	total_count	comment
Sandra Williams-Hamilton	sandra_hamilton_2683	46.0	59.1	"""Note: Reiciendis cupiditate aperiam	 then Similique harum voluptas"""
Kim White	kim_white_2122	3.0	43.1	"""Note: Itaque nostrum sapiente eaque	 then Occaecati mollitia"""
Chloe Slater	chloe_slater_9411	29.0	52.1	"""Note: Dolore hic	 then Voluptate neque molestias ipsam fugit quam"""
Tony Nash	tony_nash_0694	46.0	94.1	"""Aspernatur	 Excepturi vitae eaque Nobis"""
Miss Barbara Griffiths	miss_griffiths_6307	54.0	32.1	"""(Nesciunt nesciunt dicta) 	 Explicabo and Quod non fugiat voluptatum vel assumenda"""
Louis Collins	louis_collins_4057	28.0	71.1	"""Hic inventore aliquid harum suscipit	 Vitae quo pariatur A hic"""
Ronald Mason	ronald_mason_4511	95.0	15.1	"""Note: Asperiores debitis possimus magni	 then Quia repellat rerum"""
Barry Barnett	barry_barnett_4121	36.0	51.1	"""At fugiat quidem nihil libero iure: Earum nemo molestiae	 Sit autem quam"""
Bryan Hewitt	bryan_hewitt_0712	61.0	10.1	"""(Eligendi quos cum dolorem modi) 	 Dolore quibusdam nisi quidem consequatur and Tempora facere"""
Ms Anne Thorpe	ms_thorpe_0743	86.0	19.1	"""Eligendi hic quos iste perferendis	 Velit esse Quo"""
Marie Sharp	marie_sharp_6632	37.0	58.1	"""Note: Ratione consequuntur rerum sequi	 then Eius fugit a dolorem ipsam"""
Mr Ashley Ferguson	mr_ferguson_9105		11.1	"""Note: Velit sed corrupti	 then Dignissimos"""
Jessica John	jessica_john_6025	27.0	39.1	"""Note: Possimus	 then Libero deleniti voluptas culpa"""
Miss Marie Sharpe	miss_sharpe_2299	85.0	6.1	"""Note: Perferendis	 then Esse animi inventore nemo maiores autem"""
Glenn Turner-Lucas	glenn_lucas_3841	24.0	3.1	"""Vitae placeat eveniet provident iste: Nemo at autem blanditiis	 Ullam quia nam eum quo ad"""
Callum Kirk	callum_kirk_0025	85.0	56.1	"""Ratione alias nemo	 Tempora nihil Reprehenderit pariatur fugiat"""
Martyn Cox	martyn_cox_1177	40.0	2.1	"""Note: Vero incidunt id praesentium	 then Pariatur"""
Dr Alexander Jackson	dr_jackson_0841	27.0	56.1	"""Note: Debitis	 then Voluptatem ipsam"""
Dr Jodie Morgan	dr_morgan_1058	86.0		"""Delectus harum fuga: Occaecati dicta molestias	 Incidunt voluptatum"""
Rosie Stevenson	rosie_stevenson_6222	3.0	4.1	"""(Aliquam itaque) 	 Omnis asperiores asperiores and Qui perferendis porro"""
Paige Lees	paige_lees_1643	23.0	48.1	"""Amet labore velit: Placeat deleniti eveniet quia	 Blanditiis sapiente animi veniam id"""
Mrs Beverley Rose	mrs_rose_3069	49.0	79.1	"""Amet voluptatibus dolore; Ea facilis accusamus nihil molestias occaecati 	 Similique repudiandae alias vel doloribus perferendis"""
Dr Amber Evans	dr_evans_2144	38.0	38.1	"""Consequuntur quod	 Odio nulla Quibusdam necessitatibus"""
Kayleigh Fraser	kayleigh_fraser_9357	29.0	28.1	"""Quia	 Nisi sequi perferendis Impedit magnam cum voluptatem"""
 	bethan_shah_8125	99.0	30.1	"""Eius sit laborum: Enim suscipit harum consequuntur deleniti	 Vel adipisci ex"""
Gerald O'Connor-Smith	gerald_smith_2066	41.0	13.1	"""(Excepturi quaerat quibusdam aperiam) 	 Eius dolorem dicta and Tenetur"""
Valerie Campbell	valerie_campbell_4463	5.0	32.1	"""(Voluptatum) 	 Illum and Ex numquam"""
