# This is a comment line to skip
username	name	age	total_count	score	note
tracey_thomas_2720	Tracey Thomas	77.0	82.1	5.2	"""Example theory: Technology threat for	 Summer establish"""
mrs_evans_0905	Mrs. Mary Evans	12.0	46.1	83.2	"""Practice explain deal	 Party race behavior Party pretty house head"""
michael_walker_7141	Michael Walker	58.0	83.1	54.2	"""Huge really; Cell among big how score which 	 Somebody"""
tony_walker_1514	x	70.0		87.2	"""Make how	 Note between attack artist Cost lawyer international truth"""
mr_whitaker_8905	Mr. Larry Whitaker	49.0	90.1		"""Face garden major develop; Fund article past improve marriage 	 Detail he writer"""
timothy_hobbs_7720	Timothy Hobbs	78.0	58.1	21.2	"""Poor kind range budget: Article	 History"""
mark_rivera_9730	Mark Rivera	40.0	3.1	30.2	"""Note: Together nothing past phone hard	 then Value life"""
lisa_jarvis_2605	Lisa Jarvis	90.0	4.1	55.2	"""Note: Bad thank option lot on	 then Reveal whole main"""
kimberly_bryant_2279	Kimberly Bryant	25.0	63.1	25.2	"""Side last since choice	 Positive challenge exactly its those If majority participant"""
joy_dvm_0802	Joy French DVM	49.0	3.1	98.2	"""Note: Arm stop too arrive money	 then Gun often nor"""
hunter_cunningham_1905	Hunter Cunningham	36.0	50.1	79.2	"""Note: Job total	 then Send country"""
aaron_booker_0967	Aaron Booker	55.0	14.1	51.2	"""Note: Forget	 then Nation public another"""
ana_cohen_1336	Ana Cohen	53.0	99.1	44.2	"""Station debate	 Scientist Former gas religious"""
henry_larson_4979	Henry Larson	16.0	49.1	46.2	"""(Assume each million) 	 However every involve easy yet write and Itself market"""
tracy_johnson_0422	Tracy Johnson	80.0	92.1	5.2	"""Because job water guess series number: More	 Understand month"""
keith_dds_6169	Keith Lewis DDS	61.0	24.1	81.2	"""Five tell imagine; Rich 	 Save financial however role"""
mary_rojas_2063	Mary Rojas	65.0	100.1	26.2	"""Role middle focus	 Seven difficult Couple book participant cultural"""
tamara_bruce_0496	Tamara Bruce	45.0	31.1	44.2	"""Note: Road they different rather	 then Everyone citizen act next ago"""
dawn_marquez_0624	Dawn Marquez		81.1	6.2	"""Character; Up face while painting 	 Month coach practice item cell"""
sharon_fowler_7190	Sharon Fowler	62.0	54.1	24.2	"""(Security road firm) 	 Better strategy floor oil and Play"""
amanda_mason_0624	Amanda Mason	37.0	12.1	25.2	"""Director individual land: Ask than nice risk red	 Daughter tree more ahead"""
samantha_wilson_2002	Samantha Wilson	68.0	73.1	79.2	"""Memory teach today issue idea	 Exist no main Nearly"""
