# This is a comment line to skip
name;rating;score;note;comment
Ana Avery;64.0;86.1;"""Us remember; Treat you meeting rule Clearly hit realize""";"""Note: Charge whatever; then Agent system"""
Jessica White;57.0;25.1;"""Note: Soon day policy environmental day; then Mr reason phone clear issue example""";"""Candidate; Serious ; Speech short green"""
Jennifer Juarez;76.0;9.1;"""Soon; Share shoulder really Support growth""";"""Several; About strong together recent Decade cost customer"""
Brian Bryan;73.0;34.1;"""Guy left; Need same stand already ; Development manager meet""";"""Under investment; Behavior world Section give build news Mr"""
Jennifer Lewis;99.0;79.1;"""Future among; Fund technology ; Water""";"""(Pick reduce government camera sense) ; Land and Although mind"""
Richard Anderson;25.0;86.1;"""(Trouble doctor magazine form) ; Federal budget discuss and Assume voice""";"""Note: Artist center; then Try issue"""
Alexis West;54.0;42.1;"""Your available start attack; Great everybody age senior ; Arrive best writer""";"""Color oil let word blue government; Public TV office whole ; Movie"""
Dakota Peterson;69.0;54.1;"""More over character stage; Candidate fly Possible lose five itself society action""";"""Gun guy eat; Discussion perhaps occur Some effect"""
Robert Simpson;17.0;80.1;"""Win baby development: Free watch; Just argue design""";"""Wrong trip avoid economic; Particular although ; Point conference article"""
Daniel Duran;99.0;35.1;"""Reduce no; Poor range ; Speech ok""";"""Ok price; Listen board cut Book teacher road"""
Kathryn Sanchez;21.0;;"""Main; Quite whose Blood language red mean family""";"""Example couple although: Over push; Huge"""
Bradley Mcdowell;;69.1;"""Return serious back that will; Fill affect ; Drug evening director stock""";"""Note: Card skill conference chair; then Crime"""
Kathleen Fleming;35.0;23.1;"""Mother six seat realize: Blue a else six; Day religious""";"""Note: Free attack newspaper might; then Evidence determine"""
Amber Brooks;11.0;89.1;"""Speak address; Thing ; Material alone move wrong""";"""Action laugh; Treat ; Myself south"""
Jody Bonilla;39.0;44.1;"""(Project final) ; Risk and Provide""";"""Growth rule; Your Store movie"""
Miss Amanda Knight;96.0;89.1;"""(Will music real) ; Accept total and Also oil end floor""";"""(Floor floor forward) ; Peace walk moment same and Account"""
Joseph Hudson;79.0;67.1;"""Hear positive; Save and safe serious moment All fast""";"""Note: National same add thus far; then Marriage instead return listen"""
Joseph Humphrey;44.0;74.1;"""Magazine weight maintain; Citizen minute appear Upon job glass""";"""Summer industry; Night across character either tax ; President risk"""
Gabriel Reyes;40.0;21.1;"""Employee; Change indeed fact after ; Fast modern smile""";"""Note: Social standard; then Chair social whose"""
Christina Murray;76.0;28.1;"""Ten popular could; Human dark animal ; Which we whatever""";"""(Total) ; Necessary and Protect staff"""
Virginia Daniel;10.0;19.1;"""Rich return; Explain feel five ; Best north""";"""Large he: Stay treat; End"""
Todd Bennett;4.0;31.1;"""Attention; Over practice prevent According magazine condition""";"""(Large indeed) ; Them example and Mean former safe expert"""
Brenda Baker;64.0;65.1;"""Stand should call country contain: Born effort; How program enjoy now all""";"""(Sign north plant) ; Local pretty task and This step each"""
Mrs. Karen Carroll;100.0;10.1;"""Near: Second box site; Fish card above""";"""National stay: Best charge; Agent majority deep low"""
Brendan Bailey;71.0;8.1;"""Note: Car nearly think group than; then By officer truth""";"""None catch strategy: Another then reach mission; Radio"""
Nathaniel Vaughn;83.0;67.1;"""Note: Experience nearly almost hot write scientist; then Alone until""";"""Note: Arm minute black tonight state board; then Program garden"""
Kevin Clark;58.0;72.1;"""Before weight despite; Agree but ; Several time machine through""";"""Note: Although run herself usually bill free; then Investment only"""
o;49.0;6.1;"""Born; Approach hand may Well professional""";"""Prepare; Those require ; See open"""
Nicole Morris;99.0;50.1;"""Better future skill whom; Fight give reason ; Center herself Mr teacher""";"""Act rise first study; Item ; Chance current"""
Harry Carter;6.0;55.1;"""Note: Interview right; then Window who offer speak hand""";"""Note: Significant eat lose; then Daughter Democrat"""
Stephanie Blankenship;30.0;13.1;"""Note: Visit; then Nice family""";"""Leader school property; Explain ; Phone discover power rest"""
Antonio Vasquez;54.0;38.1;"""Popular herself store reduce; Share front ; Foot mother""";"""Staff smile: Make put former; Political phone"""
Matthew Reyes;2.0;89.1;"""Left: Course north decide; Reach certain will""";"""Open: Buy international bag court project; So condition sometimes interview"""
Gary Johnson;79.0;31.1;"""Mother management treat size nation; Character road ; Task above join""";"""Note: Region go; then Yet positive indeed outside spend"""
Rachel Mcdowell;12.0;93.1;"""Star building; Direction mother administration finally ; Look""";"""Bag participant; Require commercial ; Model road including"""
Debra Davis;25.0;14.1;"""Police meet at development: Total mention finish; Town tend""";"""Bar herself less; Attorney whatever test especially world life Letter air result"""
