name	salary	rating	price	comment
Robert Webb	40.0	22.1	97.2	"""Certainly whom yes; Some face 	 Effort"""
Michael Larson	22.0	37.1	15.2	"""Parent evidence	 Professor education coach fly nothing Recognize base"""
Elizabeth Swanson	43.0	48.1	56.2	"""Visit part hope: Bag stock	 Industry anyone"""
l	38.0	42.1	61.2	"""Choose school support think	 Blue Authority"""
Kathy Henry	9.0	51.1	49.2	"""Note: Hotel product project support	 then Positive office"""
Kyle Burton	18.0	60.1	18.2	"""Conference big carry	 Economic every Mrs both Century growth husband"""
Dr. Carrie Lewis	74.0	5.1	46.2	"""Note: Itself leave today	 then Box"""
James Smith	60.0	50.1	76.2	"""Note: Claim official trade particular history	 then Environmental name research decide"""
Terri Miller	37.0	92.1	37.2	"""Civil food	 Right get international seat arrive Million somebody"""
Calvin Anthony	47.0	29.1	42.2	"""Note: Toward	 then Mention read test"""
Lori Allen	40.0	9.1	19.2	"""Pay suffer which eight: Soldier heavy billion	 Strategy response"""
Mary Davis DVM	39.0	16.1	85.2	"""Strong minute class around less	 Dream behavior Nice"""
Robert Norton	22.0		92.2	"""(Scientist step cause kid) 	 Very some discussion this and Religious direction cover"""
Courtney Anderson	93.0	38.1		"""(Agent sense) 	 Allow leader commercial opportunity see and Around system fast"""
Rodney Harris	98.0	53.1	24.2	"""Note: Me focus	 then Day Congress first"""
Kaitlin Nielsen	78.0	64.1	38.2	"""Note: Notice imagine shake lot teach	 then East billion lawyer rise able"""
Terri Duarte		95.1	37.2	"""Reflect mother; Recently community bed kitchen newspaper 	 Step military stand"""
Kimberly Wu	17.0	66.1	1.2	"""Special three type law politics	 With ahead require final She floor democratic head recent"""
Jordan Meyers	36.0	5.1	23.2	"""(Treatment child) 	 There and Million score pattern you treat prevent"""
Jacqueline Freeman	61.0	96.1	80.2	"""(Medical) 	 Activity process act add thought including and Step source employee keep one room"""
Rodney Montoya	59.0	49.1	72.2	"""Purpose level wait offer certainly	 Experience clear recent organization Almost"""
