username	name	total_count	score	rating	review
julie_jackson_9735	Julie Jackson	85.0	24.1	75.2	'''(Dark hold role) 	 Score rise subject field and Morning local because will pull'''
rachel_williams_8335	Rachel Williams	11.0	51.1	23.2	'''Note: Chair only	 then General focus region'''
anna_whitehead_0026	Anna Whitehead	30.0	65.1	73.2	'''Up: She out book	 Boy'''
victoria_ross_3367	Victoria Ross	35.0	37.1	42.2	'''Figure several television measure; Place around can ground investment 	 Shoulder price position'''
christopher_norton_8565	Christopher Norton	13.0	58.1	86.2	'''Treat college	 Probably second beyond type expert there Walk'''
elizabeth_walker_9668	Elizabeth Walker	97.0	13.1	90.2	'''Investment institution write seek: Have race to shoulder	 Family bill fine career poor himself'''
eric_anderson_7156	Eric Anderson	8.0	33.1	75.2	'''(Response old maybe) 	 Community machine back wonder so guy and Ball sort gun'''
cheyenne_bryant_3133	Cheyenne Bryant	72.0	74.1	83.2	'''Free show meet; Kind nor 	 Yet around suggest space'''
paul_dean_1124	Paul Dean	24.0	46.1	92.2	'''(Choice spend stock) 	 Reach subject and Air including painting'''
robert_harrison_1242	Robert Harrison	14.0	82.1	1.2	'''Serve information before important pressure; Such none 	 Out real state get'''
miguel_stephens_9655	Miguel Stephens	33.0	79.1	31.2	'''Couple visit sign; Program both cultural visit 	 Alone serious employee rich'''
anne_christian_2064	Anne Christian	59.0	96.1	42.2	'''Item decide line second particular	 Her including pattern step prove herself Bar point not'''
cassie_walker_3374	Cassie Walker	61.0	84.1	88.2	'''(Recent indeed administration voice) 	 Responsibility baby measure raise and Reality team interesting'''
denise_morales_3909	Denise Morales	59.0	82.1	4.2	'''Bad leave ago; Close parent race purpose 	 Everything always'''
joshua_ross_0109	Joshua Ross	6.0	96.1	62.2	'''Wear important attorney fear establish ask: Forward with event Mr note	 Morning where'''
erin_bennett_4324	Erin Bennett	52.0	49.1	82.2	'''Brother statement; Field defense 	 Time act'''
latoya_schmidt_8383	Latoya Schmidt	59.0	50.1	73.2	'''Value western collection	 Enough individual Market near'''
thomas_rodriguez_1292	Thomas Rodriguez	80.0			'''Something wear	 Involve power Quality Congress sometimes hospital'''
joel_martin_9900	Joel Martin		28.1	98.2	'''Note: Direction fact	 then Price watch mother'''
haley_parker_8316	Haley Parker	58.0	27.1	76.2	'''Camera several involve; Arm development avoid 	 Marriage the sea television difference'''
olivia_montgomery_9663	Olivia Montgomery	19.0	13.1	20.2	'''Note: Involve	 then Coach wrong beyond'''
katherine_dorsey_4129	Katherine Dorsey	20.0	18.1	46.2	'''(Five mission) 	 Third model and Quite necessary'''
peggy_gonzalez_2128	Peggy Gonzalez	39.0	29.1	50.2	'''Note: Yeah	 then Need democratic expect'''
erika_johnson_6380	Erika Johnson	29.0	17.1	71.2	'''Answer citizen lay; Right point shake 	 Need collection peace issue'''
vincent_rodriguez_7965	Vincent Rodriguez	54.0	18.1	33.2	'''(Step subject upon) 	 Military trial price near and Trip rather'''
tammy_porter_2806	Tammy Porter	48.0	26.1	99.2	'''Note: Opportunity offer	 then Indicate PM mother fight accept'''
james_dixon_8798	James Dixon	73.0	10.1	28.2	'''(Product reveal news) 	 Draw and Per yes'''
amber_huang_1017	e	36.0	49.1	7.2	'''Seem; Bar instead 	 Development'''
michelle_kelley_5410	Michelle Kelley	1.0	14.1	52.2	'''Between future: Avoid strategy stop civil let	 Different movement'''
