# This is a comment line to skip
username;price;rating;salary;summary;remark
laura_manning_6885;99.0;1.1;79.2;"""Middle; Along course do eight ; Skin section consumer painting investment""";"""And senior item: Enjoy wait body; Turn outside game"""
michael_curry_4769;93.0;91.1;66.2;"""Professional general; Number when Leg pick cover""";"""My realize; Everyone upon question face American activity ; Picture free rest plant film"""
alyssa_gonzalez_4993;;27.1;52.2;"""(Rise paper prove population station teach) ; Rich tough business feeling and Religious event""";"""Guess above; Imagine pattern ; Help pressure personal staff sure action"""
douglas_rich_7597;21.0;51.1;14.2;"""Note: Create; then Sport common either""";"""Event report young; Painting condition about Of would"""
jeremiah_snyder_6815;28.0;63.1;6.2;"""Statement; Reach Care throughout""";"""House whatever degree bad: Create network want Mr; Write"""
joseph_bruce_6979;31.0;74.1;58.2;"""Recently positive short; Thus land page Allow""";"""(Outside over standard) ; Community great away despite and Prove home"""
marc_mann_7623;12.0;17.1;82.2;"""Foot large other very: Social sport; Word""";"""Population growth key: Price PM during; Gun until"""
paul_wilson_6664;51.0;;32.2;"""Note: Nature step; then Whatever discover hour""";"""Control study; Family partner early allow research ; Seem able response city"""
janice_hill_6247;20.0;12.1;;"""(World catch stage) ; Nation rest and Send""";"""Note: Surface including heart science; then Table although probably"""
jordan_bender_9225;24.0;9.1;57.2;"""(Opportunity conference senior surface different mind) ; Above ask land first quickly and Purpose easy show""";"""Discussion quality; School large attack million Employee area ok TV"""
crystal_white_1656;17.0;97.1;81.2;"""Note: Such young drug yeah special away; then Star seat""";"""First paper field; Sister better few Discover machine matter"""
william_green_3058;98.0;67.1;36.2;"""Note: Any operation bill have; then Work apply""";"""(Home stop according ago believe) ; Second factor little free mission parent and One owner"""
donald_johnson_2964;30.0;45.1;28.2;"""Reach: Edge use; Life question fear""";"""Note: Summer drop myself for cell; then It suddenly place gas wear"""
stephanie_chapman_3463;40.0;6.1;82.2;"""Note: Professional; then Newspaper boy write energy three people""";"""Note: Hospital notice story; then Do too leader suffer alone turn"""
christopher_barnett_8005;56.0;34.1;32.2;"""Note: Two role; then Industry hotel stay""";"""Note: Difficult movie difference; then Cell usually treatment"""
leslie_patterson_9018;58.0;11.1;81.2;"""That share watch politics: Resource our order; Campaign traditional stage""";"""Speech just because money: Report treatment; Lay step"""
robert_delacruz_9291;57.0;29.1;35.2;"""Note: Call thus commercial send receive exist; then Goal require focus total""";"""(Central else different) ; Yeah civil and Because almost"""
jose_elliott_9148;60.0;5.1;27.2;"""Wall live how everybody; Such I Listen different produce""";"""Contain including plan argue; Admit ; Person"""
brittany_jones_5658;24.0;80.1;89.2;"""Sell claim often compare effect assume; Act ask young ; General these""";"""Note: Soon; then Box effort let yet read"""
danielle_ramirez_3611;22.0;40.1;80.2;"""Reveal record deal; Note sometimes throughout enough beyond establish ; Prepare join few at""";"""Discuss smile heart; She leg check ; Join attention center"""
john_hensley_7782;93.0;46.1;86.2;"""Note: Yeah prove economic anything management understand; then Sign each grow cause director police""";"""Everyone: Effect season; All church over paper"""
daniel_gibson_2278;72.0;64.1;47.2;"""Today game do think; Instead international ; Suggest imagine""";"""Note: Administration; then Couple democratic"""
jenna_klein_2640;84.0;52.1;4.2;"""Something: Against his; Analysis court us""";"""Note: Need indicate safe; then Though"""
jeffrey_edwards_1184;34.0;29.1;33.2;"""Outside toward know military run; Team have ; Alone finally must""";"""Matter; Card Suggest boy might hand toward"""
john_swanson_0602;11.0;13.1;64.2;"""Southern join eat; Evidence throughout suggest ; Break send""";"""Certain people; Across ; System big"""
steven_melendez_2781;53.0;90.1;54.2;"""Note: Enough possible cover artist either; then Data raise their start""";"""Total; Serve ; Light story something many"""
mandy_zavala_0608;64.0;80.1;23.2;"""Form write under; Way score Study describe professional""";"""Note: Course push cause drive; then Cause alone"""
heather_wallace_5536;75.0;26.1;41.2;"""(Seven agent learn each) ; Center strong specific and Worker improve""";"""(Meeting resource sense) ; Inside test note and Agree"""
lauren_bennett_7353;41.0;29.1;57.2;"""Play: Hard professor guess; Trade tree remain""";"""Whose; Successful though what ; Everyone side then increase as"""
cathy_mccoy_8883;20.0;83.1;81.2;"""Note: Seem; then Later our glass quite""";"""Win water these; Test thing teach Public road"""
jennifer_sharp_6885;46.0;36.1;86.2;"""Hotel lawyer area: Someone within; Natural pretty""";"""(Win) ; Through growth and List quickly"""
jorge_rojas_1085;78.0;52.1;32.2;"""Explain work example brother; Since plan room Work anything town""";"""Fight law culture feel; Perform standard Feeling put tax in"""
nancy_davidson_7399;74.0;6.1;57.2;"""Note: Figure reveal; then Board""";"""Eye natural hit after any: Run them mean; Letter important"""
patricia_key_3904;70.0;66.1;13.2;"""Note: Discover money; then Letter near across""";"""Option since garden our; Whom huge ; Than every moment gun others most"""
judy_fields_1411;62.0;47.1;23.2;"""Note: But morning draw crime like; then Born seek""";"""Agent sister life turn computer environment; Recognize state ; Thought accept would however more"""
robin_baker_7426;38.0;24.1;6.2;"""Three boy: Civil forward; Physical""";"""Yes pattern defense recognize reason; Consumer kitchen ; Include well sort read"""
william_perry_0113;30.0;42.1;52.2;"""World somebody; Relate window ; Represent allow star""";"""Know collection current relate road approach: Certainly down hand; Card box leader crime"""
brandon_hammond_1685;96.0;63.1;64.2;"""Sound who kid just small: Structure section follow; Those thank exactly road""";"""(Skin exactly) ; Discuss card eye fight another glass and Then probably parent understand"""
amy_boyer_1075;60.0;92.1;80.2;"""Interview: Against standard; Keep force relationship""";"""Move late total; Wonder improve even Successful light assume could imagine change"""
sandra_smith_8074;1.0;96.1;50.2;"""Recently book claim; Section they around guess Never student""";"""Choice: Season eye; Couple"""
tracy_york_5933;63.0;55.1;79.2;"""Wonder provide yes yes fast thousand; Property identify wife morning ; Thought""";"""Sell; Gun Establish might weight series"""
wendy_mccoy_3572;23.0;89.1;97.2;"""(Film message) ; Ok program turn and Goal enter none imagine friend""";"""Better better lay if college performance; Throw many even group stock New responsibility miss"""
aaron_huynh_6824;71.0;97.1;54.2;"""Baby despite hotel; Me cause Speak""";"""(End agent none) ; Specific down and Nothing reveal"""
lindsey_brown_1034;53.0;59.1;13.2;"""(Safe piece change) ; Recently piece and Speech prevent""";"""Parent information store month avoid; Center while sense sister Everyone above particularly maintain"""
