username;name;score;age;summary
justin_weeks_8753;Justin Weeks;52.0;20.1;'''According: Idea; Interview citizen'''
anita_mckay_6613;Anita Mckay;60.0;30.1;'''Position play; Should seat green leader particularly agent Development final'''
angela_ray_2706;Angela Ray;25.0;66.1;'''Entire fill: Other civil; Meeting'''
omar_davis_0641;Omar Davis;12.0;8.1;'''Note: Lead; then Thought painting'''
evan_lawrence_7662;Evan Lawrence;55.0;44.1;'''Prove: Grow skin politics glass house; Threat hour rather'''
christopher_gutierrez_0765;Christopher Gutierrez;10.0;;'''Whether however girl doctor mission lose; Republican ; Minute detail'''
jennifer_frazier_5628;Jennifer Frazier;39.0;76.1;'''Get anyone smile write; New general establish Their his'''
dawn_conley_8101;Dawn Conley;60.0;48.1;'''Skin cause; Program what Threat left upon'''
brenda_nelson_8235;Brenda Nelson;90.0;19.1;'''Around recognize happen: Scene project fact school; Be one message increase'''
nancy_holmes_2170;Nancy Holmes;69.0;8.1;'''Point involve community now manage: Above catch; Stop ever opportunity'''
scott_crawford_5680;Scott Crawford;86.0;45.1;'''Note: Line movie tell; then Thus begin'''
john_cannon_1614;John Cannon;94.0;72.1;'''Note: Close believe physical; then Use sound him strategy keep end'''
diana_lane_2477;Diana Lane;74.0;51.1;'''Card eight: Example strong do; We stage pretty half'''
mark_peterson_8069;Mark Peterson;38.0;83.1;'''Defense boy reflect question win; Along wife television Help history miss control mother main hit'''
lisa_olson_8677;Lisa Olson;45.0;70.1;'''Authority nothing second until; Buy sea have Difficult'''
brandon_vaughn_9255;Brandon Vaughn;62.0;87.1;'''(Technology door meet) ; Save her and Join east time'''
travis_higgins_1724;Travis Higgins;63.0;32.1;'''Sea direction manage; Even ; Fact'''
tami_raymond_4024;Tami Raymond;10.0;84.1;'''Often or street: Industry type situation baby; Decision range training within join stop black'''
casey_wood_0607;Casey Wood;70.0;31.1;'''Eye question; Choose data within forget market any Mr want scientist hard first tree'''
george_martin_5679;George Martin;18.0;94.1;'''(Ever standard fine) ; Season and Coach product ten'''
kathy_carrillo_6421;Kathy Carrillo;16.0;7.1;'''Note: Window adult; then List street what present'''
megan_perry_7383;Megan Perry;68.0;65.1;'''Man meet; Hear ; Lead camera effect hundred would'''
bradley_davis_3578;Bradley Davis;25.0;7.1;'''Day red; Event food subject well dinner Center'''
nicholas_horton_2397;Nicholas Horton;52.0;53.1;'''Behavior machine his dog those edge; Order serve positive reveal set Professor audience executive hot'''
william_cross_3254;William Cross;22.0;2.1;'''Note: Boy ok century tend; then Radio ahead'''
ryan_valencia_3624;Ryan Valencia;77.0;72.1;'''Environmental type attention; Response example international ever mission ; Management consider'''
tanya_stevens_6582;e;25.0;60.1;'''Institution that wait your: Worker else agent little off animal; Reality'''
roger_sandoval_3684;Roger Sandoval;17.0;79.1;'''There field; Maintain crime money Person'''
yolanda_montoya_8237;Yolanda Montoya;17.0;41.1;'''(Visit shake again) ; Choose and Mr fine ball item'''
jamie_curry_4095;Jamie Curry;67.0;83.1;'''Admit; Quickly mouth forward everyone throughout big ; Officer threat process'''
jasmine_schwartz_9583;Jasmine Schwartz;;67.1;'''Ready admit: Avoid; Find score'''
carol_rodriguez_1694;Carol Rodriguez;24.0;11.1;'''Note: Project night try institution; then Pull send'''
angel_johnson_4767;Angel Johnson;6.0;77.1;'''(Doctor dog card) ; Area both and Because quality recently'''
scott_park_8878;Scott Park;92.0;51.1;'''Able which plan line long: Meet wide; Wind yes third quality'''
elizabeth_underwood_7785;Elizabeth Underwood;43.0;61.1;'''(Structure) ; Even think and Interest'''
sara_craig_8414;Sara Craig;13.0;74.1;'''Be; Head drive Mrs campaign arm project Manager will mouth'''
jeffrey_kelly_7834;Jeffrey Kelly;71.0;81.1;'''Follow company research television general send; Physical country notice ; Thought goal'''
edward_martinez_5539;Edward Martinez;70.0;35.1;'''Determine; Operation For per heavy'''
ross_ashley_1843;Ross Ashley;24.0;72.1;'''(Early outside) ; Reach system discussion himself computer and Police coach ground tell'''
jacob_mcintosh_2327;Jacob Mcintosh;2.0;65.1;'''Note: Prevent; then Executive trip'''
kelsey_barber_1349;Kelsey Barber;68.0;29.1;'''(Real hard simple) ; Serious and Interview position bit'''
amber_flores_5237;Amber Flores;24.0;81.1;'''Far: Clear industry soldier family walk; Wish cup'''
