name,username,score,price,age,note
Dr Stewart Bowen,dr_bowen_3185,23.0,1.1,39.2,"""Deleniti exercitationem repellendus; Eos quam maxime aut , Iste architecto iusto"""
Lesley Mann,lesley_mann_7209,7.0,95.1,3.2,"""Note: Voluptas odio a animi, then Reiciendis iusto in modi tempora sint"""
Jonathan Barton,jonathan_barton_8133,45.0,46.1,90.2,"""(Odit cum praesentium) , Ex molestiae necessitatibus veritatis and Excepturi"""
Dr Harriet Williams,dr_williams_1534,8.0,98.1,74.2,"""(Consequuntur pariatur) , Ex at ratione exercitationem and Ab accusantium delectus"""
Hayley Thomas,hayley_thomas_7456,62.0,21.1,18.2,"""Sit nemo recusandae deserunt, Omnis reiciendis impedit quod Commodi"""
Mr Graeme Dyer,mr_dyer_5952,7.0,6.1,25.2,"""Asperiores error aspernatur nihil alias deleniti; Voluptatibus architecto quos voluptatum aut debitis , Qui voluptatibus occaecati"""
Mr Josh Bell,mr_bell_3027,86.0,6.1,100.2,"""Incidunt mollitia, Voluptas expedita omnis eligendi Quasi praesentium"""
Mr Gareth Smith,mr_smith_7228,69.0,95.1,46.2,"""Eos: Sunt dolores numquam ipsa, At consequuntur recusandae in"""
Denise Simpson,denise_simpson_4960,96.0,8.1,71.2,"""Note: Harum nemo ratione culpa iste, then Tenetur cum"""
Kate Pearson,kate_pearson_0206,37.0,65.1,53.2,"""(Mollitia quibusdam modi voluptates) , Fuga ipsam quod and Ex eveniet"""
Barbara Griffiths-Cole,barbara_cole_1286,43.0,45.1,51.2,"""Recusandae; Natus , Eaque"""
Heather Khan-Andrews,heather_andrews_0280,77.0,50.1,63.2,"""Sint odio ad, Laboriosam ipsum a Accusamus id voluptas aliquid"""
Kayleigh Byrne,kayleigh_byrne_7546,,16.1,27.2,"""Note: Quo magnam minima assumenda mollitia, then Reprehenderit"""
Gerard Summers-Doyle,gerard_doyle_9161,80.0,27.1,20.2,"""Note: Veritatis suscipit, then Laborum laudantium exercitationem"""
Mr Luke Cooper,mr_cooper_1290,58.0,47.1,50.2,"""Note: Rem iste esse, then Illo facere"""
Dr Marcus Jackson,dr_jackson_2278,11.0,28.1,47.2,"""Note: Excepturi doloribus fugit, then Nisi nam exercitationem odio"""
Hollie Harrison-Adams,hollie_adams_4347,11.0,2.1,60.2,"""Ab perferendis, Tempore provident explicabo Enim aut fugiat"""
Miss Ellie Kerr,miss_kerr_8764,92.0,29.1,12.2,"""(Perspiciatis) , Tempora sit rerum and Aspernatur consequatur nobis"""
Melanie Perkins,melanie_perkins_5231,5.0,49.1,66.2,"""Note: Id accusamus nulla corporis, then Animi enim voluptates quasi"""
Mr Gerald Shepherd,mr_shepherd_6050,41.0,69.1,16.2,"""Odio occaecati, Qui porro Cumque"""
Teresa Martin,teresa_martin_8907,28.0,21.1,24.2,"""Quam itaque aut; Quod repudiandae , Quia consequatur dolores"""
Amanda Turner,amanda_turner_5411,86.0,61.1,,"""Ipsam reiciendis possimus, Tenetur aut Nostrum laborum laudantium"""
Marc Morris,marc_morris_4707,97.0,93.1,32.2,"""Quisquam similique: Consequuntur dolore adipisci placeat nam, Labore rem nulla maxime"""
Gillian Henry,gillian_henry_0257,41.0,75.1,67.2,"""Necessitatibus rerum repellat: Placeat nobis deserunt nulla modi, Molestias commodi placeat numquam a eaque"""
Dr Michael Hussain,dr_hussain_0499,59.0,97.1,20.2,"""Note: Adipisci sint nihil quidem minus reiciendis, then Tenetur illo"""
Kerry Edwards,kerry_edwards_3051,5.0,,40.2,"""Cumque ex; Libero dicta veniam aperiam , Illum ab atque fugiat repellat reiciendis"""
Nicole Hall,nicole_hall_1550,85.0,23.1,37.2,"""Dolorum quidem, Est Possimus totam corrupti doloribus"""
Mark Parkinson-Burns,mark_burns_4541,16.0,4.1,48.2,"""(Excepturi vel) , Minima and Esse autem quod similique ab"""
David Tucker,david_tucker_9718,95.0,92.1,66.2,"""Note: Quas maxime reiciendis accusantium, then Iusto omnis quaerat"""
Elaine Collier,elaine_collier_9210,37.0,79.1,71.2,"""Earum ut; A , Nobis aliquid alias"""
Clive Davies,clive_davies_6365,24.0,78.1,51.2,"""Et quas quia numquam cum; Eveniet a sed , Ratione iure eius repellat dolore iste"""
Jay Wyatt,jay_wyatt_7527,34.0,5.1,18.2,"""Note: Aliquam fugit minima, then Quam aspernatur"""
Christine Marsh,christine_marsh_8868,51.0,84.1,25.2,"""Quibusdam cumque harum expedita: Distinctio aperiam, Accusantium asperiores"""
Lorraine Weston,lorraine_weston_7661,87.0,48.1,96.2,"""Note: Asperiores commodi esse, then Vitae dicta unde"""
x,hayley_khan_0205,60.0,71.1,62.2,"""Ut veniam fuga; Iusto , Voluptatum"""
Miss Bethan Williams,miss_williams_5191,86.0,56.1,87.2,"""Iusto cum, Beatae occaecati harum Saepe"""
Mr Francis Adams,mr_adams_8891,74.0,92.1,60.2,"""Ab voluptas; Alias sit , Id labore"""
Kimberley Davies,kimberley_davies_9635,47.0,55.1,88.2,"""(Quaerat accusantium) , Voluptatem vero quod and Beatae ut nulla"""
Jamie Clarke-Clarke,jamie_clarke_5809,79.0,87.1,27.2,"""Dicta dolorem aut: Molestias architecto non, At cumque"""
Sophie Perkins-McCarthy,sophie_mccarthy_4393,64.0,29.1,45.2,"""(Error iure iste) , Distinctio impedit quam doloribus and Quis error"""
Colin Potter,colin_potter_6666,53.0,38.1,57.2,"""(Porro labore blanditiis) , Fuga inventore and Dicta aspernatur optio asperiores"""
Dr Jodie Roberts,dr_roberts_1343,27.0,76.1,98.2,"""Soluta ad deleniti dolorem magni suscipit, Repellat quas Dolor"""
