name;score;message
Kate Wallis-Griffiths;75.0;'''Note: Velit maiores distinctio quod quo facilis; then Inventore voluptate modi'''
Ms Margaret Davis;32.0;'''Note: Iusto atque ullam voluptate; then Mollitia dicta exercitationem'''
Dr Harry Wilson;43.0;'''Ab earum nihil; Adipisci at harum iusto tenetur Aspernatur natus'''
Deborah Thomas;69.0;'''Ratione consequatur molestias; Consequatur ipsa totam veritatis ; Sapiente officia ad'''
Kathleen Hart-Williams;11.0;'''Aspernatur voluptates; Iure fuga inventore Cumque incidunt quae'''
Rosie Elliott-Cross;96.0;'''Optio possimus quia; Sunt atque ; Laborum adipisci eius eaque'''
Ben Bennett;84.0;'''Ex nam asperiores laudantium nobis quisquam; Nemo neque eos placeat aliquam Nihil'''
Marcus Ross;15.0;'''Sed quae tempore quam: Occaecati assumenda; Earum excepturi'''
Henry Rose;88.0;'''Note: Aperiam ab; then Doloribus'''
Dr Timothy Pugh;38.0;'''Note: Est natus voluptatum consectetur; then Suscipit animi incidunt'''
Stanley Williams-Carter;98.0;'''Voluptatem placeat aliquid accusantium minus; Nulla Architecto saepe iure'''
Miss Rita Rowley;93.0;'''(Vitae) ; Dolores explicabo and Recusandae illum'''
Lynn Hall-Jones;75.0;'''Ipsa alias harum: Laudantium iste; Doloremque expedita ipsum quos aspernatur'''
Teresa Spencer;89.0;'''Dolores labore; Nemo distinctio exercitationem expedita officia Est dolor'''
Brian Byrne-Weston;37.0;'''(Odit aliquam dolor) ; Sit consequuntur provident and Animi'''
Ms Denise Davies;92.0;'''(Cumque cumque) ; Molestias corrupti dignissimos tempore veniam aspernatur and Quod suscipit corporis'''
Martin Middleton;11.0;'''(Deleniti repellendus sint suscipit) ; Nemo and Nostrum'''
Dr Lynn Lane;;'''Note: Officia ex; then Eligendi'''
e;100.0;'''Animi impedit animi; Est quaerat Harum'''
Mr Justin Smith;43.0;'''Corrupti officia recusandae; Fugiat reiciendis numquam dignissimos ; Vero dolores adipisci'''
Denise Nelson-Parsons;13.0;'''(Beatae assumenda) ; Placeat nihil quia and Nesciunt'''
