name;total_count;comment
Kevin Gallagher;27.0;'''Next view better yes: Leader west; Also strategy ever'''
Adam Walker;6.0;'''Such bar; Spring reason week tree Resource development art'''
Amy Cuevas;66.0;'''Over; Gun she may prepare rise Rock reach'''
Christopher Martin;60.0;'''Lot read; Market pay school ; Table chance take'''
Ryan Koch;70.0;'''Value purpose necessary; Pass ; Official rate'''
Tara Garcia;10.0;'''Likely after industry practice; Middle be discuss Environment our suddenly range out'''
e;30.0;'''Across even: Floor together face so despite your; Light artist shake mention within investment pattern'''
Dustin Morris;91.0;'''Note: Property third adult; then Song reach put'''
Melvin Rivera;37.0;'''Note: Then; then Half notice hotel save'''
Christopher Kelly;99.0;'''He trade; Discuss culture Choice piece debate father spring business'''
Bill Pratt;42.0;'''(Arm party scene) ; Scientist staff material range and Fire lot less take'''
Gina Hernandez;21.0;'''Individual friend; Ok message force reach ; Picture there'''
Scott Dean;60.0;'''Note: Simple far conference; then Fire range sell college'''
Aaron Nash;12.0;'''Money animal idea her with: Out; Training'''
Stephanie Navarro;20.0;'''(Special school range person) ; Amount benefit and Throw be'''
Christopher Mendoza;98.0;'''(Eye need) ; President share senior world staff sport and Both most this'''
Danielle Wells;34.0;'''Note: Hour people take; then Partner near coach quality note'''
David Harper;40.0;'''Performance commercial: Coach affect should analysis; Effect guy'''
Anne Johnson;26.0;'''Note: Commercial trouble group; then International field'''
Kristen Carroll DVM;39.0;'''Realize population toward election; Very Plant treat later alone'''
Robert Nelson;74.0;'''Note: Full; then Law senior suggest'''
Jane Dillon;78.0;'''(Office American) ; Until fight operation difficult and Foreign personal manage as'''
Jennifer Hill;17.0;'''(Seven with there approach rate) ; Instead and Night appear board everybody threat'''
Jonathan Avila;3.0;'''(Woman play) ; Save senior yeah and Project home test customer take'''
Mary Mejia;97.0;'''There itself; That article PM move ; Organization'''
Daniel Johnson;98.0;'''(Most community) ; However and Him figure'''
Lisa Hunt;;'''Carry wrong writer social; Its what fish ; Training fight its'''
Antonio May;68.0;'''Little lot; Single force matter point economy behavior For hope why travel'''
Danny Hester;37.0;'''(Religious clear) ; Seek western member and War catch'''
Suzanne Kane;3.0;'''(Beyond management wish talk) ; Notice well knowledge and Require high ever share road it'''
